t	u	lambda	p	e
0	0	0	0	-30
0.01	0	0	0	-30
0.02	0	0	0	-30
0.03	0	0	-0.0879	-30
0.04	0	0	-0.0879	-30
0.05	0	0	-0.0879	-30
0.06	0	0	-0.0879	-30
0.07	0	0	-0.0879	-30
0.08	0	0	-0.0879	-30
0.09	0	0.01191	-0.0879	-30
0.1	0	0.025031	-0.0879	-30
0.11	0	0.032778	-0.0879	-30
0.12	0	0.037353	-0.0879	-30
0.13	0	0.048405	-0.0879	-30
0.14	0	0.064579	-0.0879	-30
0.15	0	0.074129	-0.0879	-30
0.16	0	0.084163	-0.0879	-30
0.17	0	0.10369	-0.0879	-29.891
0.18	0	0.11522	-0.0879	-29.891
0.19	0	0.13394	0	-29.891
0.2	0	0.15108	0	-29.891
0.21	0	0.16121	0	-29.891
0.22	0	0.18518	0	-29.891
0.23	0	0.19934	0	-29.891
0.24	0	0.21961	0	-29.891
0.25	0	0.23766	0	-29.782
0.26	0	0.24833	0	-29.782
0.27	0	0.27262	0.0879	-29.782
0.28	0	0.28696	0.0879	-29.782
0.29	0	0.30735	0.0879	-29.782
0.3	0	0.32547	0.1758	-29.673
0.31	0	0.34452	0.1758	-29.673
0.32	0	0.36542	0.1758	-29.673
0.33	0	0.38215	0.1758	-29.673
0.34	0	0.40564	0.2637	-29.564
0.35	0	0.4239	0.2637	-29.564
0.36	0	0.44829	0.3516	-29.564
0.37	0	0.46708	0.3516	-29.456
0.38	0	0.49178	0.3516	-29.456
0.39	0	0.51828	0.4395	-29.456
0.4	0	0.54001	0.4395	-29.347
0.41	0	0.56476	0.5274	-29.347
0.42	0	0.58545	0.5274	-29.238
0.43	0	0.60603	0.6153	-29.238
0.44	0	0.62782	0.6153	-29.129
0.45	0	0.64509	0.6153	-29.129
0.46	0	0.66888	0.7032	-29.02
0.47	0	0.70094	0.7911	-29.02
0.48	0	0.72821	0.7911	-28.911
0.49	0	0.75396	0.879	-28.802
0.5	0	0.77752	0.879	-28.802
0.51	0	0.80108	0.9669	-28.693
0.52	0	0.8269	0.9669	-28.693
0.53	0	0.84824	1.0548	-28.584
