t	u	lambda	p	e
0	0	0	0	-30
0.01	0	0	0	-30
0.02	0	0	0	-30
0.03	0	0	0	-30
0.04	0	0	-0.0879	-30
0.05	0	0	-0.0879	-30
0.06	0	0	-0.0879	-30
0.07	0	0	-0.0879	-30
0.08	0	0	-0.0879	-30
0.09	0	0	-0.0879	-30
0.1	0	0.015114	-0.0879	-30
0.11	0	0.026923	-0.0879	-30
0.12	0	0.033896	-0.0879	-30
0.13	0	0.038013	-0.0879	-30
0.14	0	0.048795	-0.0879	-30
0.15	0	0.064809	-0.0879	-30
0.16	0	0.074265	-0.0879	-30
0.17	0	0.088199	-0.0879	-30
0.18	0	0.10607	-0.0879	-29.891
0.19	0	0.11663	-0.0879	-29.891
0.2	0	0.14086	-0.0879	-29.891
0.21	0	0.15517	-0.0879	-29.891
0.22	0	0.17553	-0.0879	-29.891
0.23	0	0.19364	-0.0879	-29.891
0.24	0	0.20433	0	-29.891
0.25	0	0.22864	0	-29.891
0.26	0	0.243	0	-29.782
0.27	0	0.25983	0	-29.782
0.28	0	0.27941	0	-29.782
0.29	0	0.29933	0	-29.782
0.3	0	0.32073	0	-29.782
0.31	0	0.33777	0.0879	-29.673
0.32	0	0.36143	0.0879	-29.673
0.33	0	0.3754	0.0879	-29.673
0.34	0	0.40165	0.1758	-29.673
0.35	0	0.4255	0.1758	-29.564
0.36	0	0.44923	0.1758	-29.564
0.37	0	0.47836	0.2637	-29.456
0.38	0	0.49844	0.2637	-29.456
0.39	0	0.5283	0.3516	-29.456
0.4	0	0.54593	0.3516	-29.347
0.41	0	0.57434	0.3516	-29.347
0.42	0	0.60302	0.4395	-29.238
0.43	0	0.62605	0.4395	-29.238
0.44	0	0.65155	0.5274	-29.129
0.45	0	0.6727	0.5274	-29.02
0.46	0	0.6971	0.6153	-29.02
0.47	0	0.7176	0.6153	-28.911
0.48	0	0.7477	0.7032	-28.911
0.49	0	0.77382	0.7032	-28.802
0.5	0	0.7989	0.7911	-28.802
0.51	0	0.82561	0.7911	-28.693
0.52	0	0.84747	0.879	-28.584
0.53	0	0.87838	0.9669	-28.584
