t	u	lambda	p
0	0	3.1416	0
0.25	0	3.1416	0
0.5	0	3.1416	0
0.75	0	3.1416	0
1	0	3.1416	0
1.25	0	3.1416	0
1.5	0	3.1416	0
1.75	0	3.1416	0
2	0	3.1416	0
2.25	0	3.1416	0
2.5	0	3.1416	0
2.75	0	3.1416	0
3	0	3.1416	0
3.25	0	3.1416	0
3.5	0	3.1416	0
3.75	0	3.1416	0
4	0	3.1416	0
4.25	0	3.1416	0
4.5	0	3.1416	0
4.75	0	3.1416	0
5	0.23507	3.1416	0
5.25	0.059943	3.1416	0
5.5	0.5236	3.1416	0.5236
5.75	0.5236	3.1416	0.5236
6	0.5236	3.1335	0.5236
6.25	0.5236	3.1174	0.5236
6.5	0.5236	3.0931	0.5236
6.75	0.5236	3.0608	0.5236
7	0.5236	3.0204	0.5236
7.25	0.5236	2.972	0.5236
7.5	0.5236	2.9155	0.5236
7.75	0.5236	2.8508	0.5236
8	0.5236	2.7782	0.5236
8.25	0.5236	2.6974	0.5236
8.5	0.5236	2.6086	0.5236
8.75	0.5236	2.5116	0.5236
9	0.5236	2.4067	0.5236
9.25	0.4708	2.2936	0.5236
9.5	0.3912	2.1724	0.5236
9.75	0.27283	2.0432	0.406
10	0.064818	1.9059	0.14108
10.25	-0.1267	1.7624	-0.087989
10.5	-0.23839	1.6166	-0.19944
10.75	-0.30263	1.4723	-0.25725
11	-0.36625	1.331	-0.32926
11.25	-0.43289	1.1936	-0.41198
11.5	-0.48251	1.0614	-0.47327
11.75	-0.50786	0.93546	-0.50422
12	-0.51819	0.81686	-0.5169
12.25	-0.52149	0.70604	-0.52178
12.5	-0.51934	0.60319	-0.52341
12.75	-0.51284	0.50839	-0.52236
13	-0.50046	0.42166	-0.51356
13.25	-0.4804	0.34299	-0.4946
13.5	-0.45556	0.27224	-0.47024
13.75	-0.42916	0.20912	-0.44483
14	-0.40192	0.15325	-0.4186
14.25	-0.37334	0.10424	-0.3904
14.5	-0.34361	0.061695	-0.36044
14.75	-0.31368	0.025167	-0.33009
15	-0.28436	-0.0058011	-0.30034
15.25	-0.25593	-0.031678	-0.27138
15.5	-0.22844	-0.052922	-0.24317
15.75	-0.20208	-0.06998	-0.21595
16	-0.17711	-0.083288	-0.19008
16.25	-0.15373	-0.093264	-0.16578
16.5	-0.13198	-0.10031	-0.1431
16.75	-0.11188	-0.1048	-0.12205
17	-0.093429	-0.10708	-0.10265
17.25	-0.076644	-0.10747	-0.084946
17.5	-0.061501	-0.10629	-0.068919
17.75	-0.04794	-0.10379	-0.054514
18	-0.035892	-0.10023	-0.041663
18.25	-0.025282	-0.095834	-0.030297
18.5	-0.016029	-0.090792	-0.020341
18.75	-0.0080463	-0.085282	-0.011709
19	-0.0012384	-0.079459	-0.0043057
19.25	0.0044898	-0.073455	0.0019654
19.5	0.0092322	-0.067384	0.0071984
19.75	0.013081	-0.061344	0.011487
20	0.016127	-0.055415	0.014923
20.25	0.018458	-0.049663	0.017598
20.5	0.020156	-0.044141	0.019597
20.75	0.021302	-0.038891	0.021002
21	0.021967	-0.033943	0.021889
21.25	0.022221	-0.029319	0.02233
21.5	0.022127	-0.025032	0.022391
21.75	0.021742	-0.02109	0.022132
22	0.02112	-0.017494	0.02161
22.25	0.020307	-0.014239	0.020874
22.5	0.019345	-0.011317	0.01997
22.75	0.018273	-0.0087166	0.018937
23	0.017121	-0.0064247	0.017809
23.25	0.015919	-0.0044248	0.016617
23.5	0.014691	-0.0026996	0.01539
23.75	0.013458	-0.0012308	0.014148
24	0.012235	6.8107e-07	0.012909
24.25	0.011037	0.0010139	0.011686
24.5	0.0098747	0.001828	0.010496
24.75	0.0087562	0.0024619	0.0093531
25	0.0076872	0.0029339	0.0082605
25.25	0.0066716	0.0032616	0.0072094
25.5	0.0057113	0.0034618	0.0062004
25.75	0.0048067	0.0035509	0.0052598
26	0.0039568	0.0035444	0.0044102
26.25	0.0031596	0.0034567	0.0036175
26.5	0.002412	0.0033009	0.0028098
26.75	0.0017103	0.0030894	0.0019959
27	0.0010501	0.0028346	0.0013174
27.25	0.00042675	0.0025489	0.00085426
27.5	-0.00016468	0.002243	0.00037707
27.75	-0.00072922	0.0019239	-0.0004535
28	-0.0012719	0.0015989	-0.0014484
28.25	-0.0017977	0.0012809	-0.0018088
28.5	-0.002311	0.00098533	-0.0013238
28.75	-0.0028157	0.00071762	-0.0014227
29	-0.0033152	0.00047032	-0.0035964
29.25	-0.0038129	0.00024497	-0.0061448
29.5	-0.0043112	7.5096e-05	-0.0048686
29.75	0	2.5765e-11	1.3491e-12
30	0	0	0
30.25	0	0	0
30.5	0	0	0
30.75	0	0	0
31	0	0	0
31.25	0	0	0
31.5	0	0	0
31.75	0	0	0
32	0	0	0
32.25	0	0	0
32.5	0	0	0
32.75	0	0	0
33	0	0	0
33.25	0	0	0
33.5	0	0	0
33.75	0	0	0
34	0	0	0
34.25	0	0	0
34.5	0	0	0
34.75	0	0	0
35	0	0	0
