t	u	lambda	p	e
0	0	0	0	-30
0.01	0	0	0	-30
0.02	0	0	0	-30
0.03	0	0	0	-30
0.04	0	0	0	-30
0.05	0	0	0	-30
0.06	0	0	0	-30
0.07	0	0	0	-30
0.08	0	0.004395	0	-30
0.09	0	0.020593	0	-30
0.1	0	0.030158	0	-30
0.11	0	0.035806	0	-30
0.12	0	0.039141	0	-30
0.13	0	0.056225	0	-30
0.14	0	0.069196	0	-30
0.15	0	0.076856	0	-30
0.16	0	0.089729	0	-30
0.17	0	0.10698	0	-30
0.18	0	0.11716	0	-30
0.19	0	0.13829	0	-30
0.2	0	0.15365	0	-30
0.21	0	0.17107	0	-30
0.22	0	0.19101	0	-29.891
0.23	0	0.20278	0	-29.891
0.24	0	0.22484	0	-29.891
0.25	0	0.24075	0	-29.891
0.26	0	0.2585	0	-29.891
0.27	0	0.27863	0	-29.891
0.28	0	0.29051	0.0879	-29.782
0.29	0	0.31553	0.0879	-29.782
0.3	0	0.3303	0.0879	-29.782
0.31	0	0.35414	0.0879	-29.782
0.32	0	0.3711	0.0879	-29.673
0.33	0	0.39622	0.1758	-29.673
0.34	0	0.41395	0.1758	-29.673
0.35	0	0.43632	0.1758	-29.564
0.36	0	0.45562	0.1758	-29.564
0.37	0	0.48213	0.2637	-29.564
0.38	0	0.50902	0.2637	-29.456
0.39	0	0.53454	0.3516	-29.456
0.4	0	0.55797	0.3516	-29.347
0.41	0	0.58145	0.3516	-29.347
0.42	0	0.60366	0.4395	-29.238
0.43	0	0.62642	0.4395	-29.238
0.44	0	0.65786	0.5274	-29.129
0.45	0	0.67643	0.5274	-29.129
0.46	0	0.70539	0.6153	-29.02
0.47	0	0.72689	0.6153	-29.02
0.48	0	0.75318	0.7032	-28.911
0.49	0	0.77706	0.7032	-28.911
0.5	0	0.80081	0.7911	-28.802
0.51	0	0.82674	0.7911	-28.693
0.52	0	0.84814	0.879	-28.693
0.53	0	0.87878	0.879	-28.584
0.54	0	0.90878	0.9669	-28.475
0.55	0	0.93258	0.9669	-28.366
0.56	0	0.96175	1.0548	-28.366
0.57	0	0.98186	1.0548	-28.258
