t	u	lambda	p	e	uopt
0	0	0	0	-30	0
0.01	0	0	0	-30	0
0.02	0	0	0	-30	0
0.03	0	0	0	-30	0
0.04	0	0	0	-30	0
0.05	0	0	0	-30	0
0.06	-0.0005519	0	-0.0879	-30	0
0.07	-0.0010407	0	-0.0879	-30	0
0.08	-0.0012009	0	-0.0879	-30	0
0.09	0.0045769	0	0	-30	0
0.1	0.0043034	0.017998	0	-30	0
0.11	0.0037096	0.028626	0	-30	0
0.12	0.0031021	0.034901	0	-30	0
0.13	0.0025653	0.038607	0	-29.891	0
0.14	0.0069692	0.055909	0	-29.891	0
0.15	0.0057235	0.06901	0	-29.891	0
0.16	0.0047016	0.076746	0	-29.891	0
0.17	0.0089166	0.093224	0	-29.891	0
0.18	0.0073254	0.10904	0	-29.891	0
0.19	0.011709	0.11838	0	-29.891	0
0.2	0.0096231	0.1419	0	-29.891	0
0.21	0.0079132	0.15578	0	-29.891	0
0.22	0.011936	0.17589	0.0879	-29.891	0
0.23	0.015751	0.2022	0.0879	-29.782	0
0.24	0.013328	0.22739	0.0879	-29.782	0
0.25	0.016713	0.24665	0.0879	-29.782	0
0.26	0.014367	0.27163	0.1758	-29.782	0
0.27	0.017998	0.29473	0.1758	-29.782	0
0.28	0.015424	0.31802	0.1758	-29.673	0
0.29	0.018473	0.34012	0.1758	-29.673	0
0.3	0.01639	0.36282	0.2637	-29.673	0
0.31	0.019547	0.38813	0.2637	-29.564	0
0.32	0.022726	0.40917	0.3516	-29.564	0
0.33	0.020236	0.43959	0.3516	-29.456	0
0.34	0.023411	0.46194	0.4395	-29.456	0
0.35	0.021073	0.48875	0.4395	-29.456	0
0.36	0.023936	0.51649	0.5274	-29.347	0
0.37	0.027006	0.5473	0.5274	-29.238	0
0.38	0.023855	0.57515	0.5274	-29.238	0
0.39	0.026333	0.6035	0.6153	-29.129	0
0.4	0.029179	0.63468	0.6153	-29.129	0
0.41	0.026245	0.66274	0.7032	-29.02	0
0.42	0.029077	0.69122	0.7032	-29.02	0
0.43	0.032398	0.71412	0.7911	-28.911	0
0.44	0.029152	0.74565	0.7911	-28.802	0
0.45	0.032335	0.77261	0.879	-28.693	0
0.46	0.0351	0.79818	0.9669	-28.693	0
0.47	0.037845	0.83128	0.9669	-28.584	0
0.48	0.034535	0.86882	1.0548	-28.475	0
0.49	0.036976	0.89934	1.0548	-28.366	0
0.5	0.039829	0.927	1.1427	-28.258	0
0.51	0.036216	0.96134	1.1427	-28.149	0
0.52	0.039045	0.99353	1.3185	-28.04	0
0.53	0.042009	1.023	1.3185	-27.931	0
0.54	0.038981	1.054	1.4064	-27.822	0
0.55	0.041215	1.0875	1.4064	-27.713	0
0.56	0.043969	1.1184	1.4943	-27.604	0
0.57	0.046588	1.1464	1.5822	-27.495	0
0.58	0.04318	1.1809	1.5822	-27.386	0
0.59	0.045837	1.2096	1.6701	-27.277	0
0.6	0.048377	1.2362	1.6701	-27.169	0
0.61	0.045316	1.2699	1.758	-27.06	0
0.62	0.047993	1.2981	1.8459	-26.842	0
0.63	0.050533	1.3289	1.8459	-26.733	0
0.64	0.053299	1.3606	1.9338	-26.624	0
0.65	0.04956	1.3974	2.0217	-26.515	0
0.66	0.052209	1.4274	2.0217	-26.297	0
0.67	0.049395	1.4548	2.1096	-26.189	0
0.68	0.051626	1.4861	2.1096	-26.08	0
0.69	0.054651	1.5118	2.1975	-25.971	0
0.7	0.057079	1.5451	2.2854	-25.753	0
0.71	0.053741	1.5783	2.2854	-25.644	0
0.72	0.056203	1.613	2.3733	-25.535	0
0.73	0.058908	1.6364	2.4612	-25.317	0
0.74	0.055865	1.6682	2.4612	-25.208	0
0.75	0.058324	1.6953	2.5491	-24.991	0
0.76	0.06128	1.721	2.5491	-24.882	0
0.77	0.057974	1.7541	2.637	-24.773	0
0.78	0.060292	1.7888	2.637	-24.555	0
0.79	0.062838	1.8166	2.7249	-24.446	0
0.8	0.059663	1.8466	2.7249	-24.228	0
0.81	0.062536	1.8727	2.8128	-24.119	0
0.82	0.059572	1.8977	2.8128	-23.902	0
0.83	0.062097	1.9276	2.9007	-23.793	0
0.84	0.065006	1.9525	2.9007	-23.575	0
0.85	0.067661	1.9809	2.9886	-23.466	0
0.86	0.06436	2.0156	2.9886	-23.248	0
0.87	0.066948	2.0444	3.0765	-23.139	0
0.88	0.063468	2.0711	3.0765	-22.922	0
0.89	0.066162	2.0988	3.0765	-22.813	0
0.9	0.063179	2.1212	3.1644	-22.595	0
0.91	0.066146	2.1496	3.1644	-22.486	0
0.92	0.06858	2.1775	3.1644	-22.268	0
0.93	0.066011	2.2037	3.2523	-22.05	0
0.94	0.068563	2.2311	3.2523	-21.941	0
0.95	0.071831	2.2533	3.3402	-21.724	0
0.96	0.068597	2.2845	3.3402	-21.615	0
0.97	0.071427	2.3028	3.3402	-21.397	0
0.98	0.068146	2.3317	3.4281	-21.288	0
0.99	0.071551	2.3531	3.4281	-21.07	0
1	0.068502	2.3794	3.4281	-20.852	0
1.01	0.071951	2.4032	3.516	-20.744	0
1.02	0.069138	2.427	3.516	-20.526	0
1.03	0.071525	2.4561	3.516	-20.417	0
1.04	0.075081	2.4762	3.6039	-20.199	0
1.05	0.071947	2.506	3.6039	-20.09	0
1.06	0.07469	2.5281	3.6039	-19.872	0
1.07	0.071799	2.5547	3.6918	-19.654	0
1.08	0.075191	2.5748	3.6918	-19.546	0
1.09	0.072208	2.6003	3.6918	-19.328	0
1.1	0.075135	2.6197	3.6918	-19.219	0
1.11	0.072595	2.6448	3.7797	-19.001	0
1.12	0.076011	2.664	3.7797	-18.892	0
1.13	0.07311	2.6889	3.7797	-18.674	0
1.14	0.076608	2.712	3.8676	-18.566	0
1.15	0.074023	2.7353	3.8676	-18.348	0
1.16	0.076563	2.7641	3.8676	-18.13	0
1.17	0.073732	2.7841	3.8676	-18.021	0
1.18	0.077065	2.8109	3.9555	-17.912	0
1.19	0.074589	2.8297	3.9555	-17.694	0
1.2	0.077459	2.8527	3.9555	-17.585	0
1.21	0.074862	2.8724	4.0434	-17.368	0
1.22	0.078419	2.8959	4.0434	-17.259	0
1.23	0.075911	2.9158	4.0434	-17.041	0
1.24	0.07899	2.936	4.0434	-16.932	0
