t	u	lambda	p	e	uopt
0	0	0	0	-30	0
0.01	0	0	0	-30	0
0.02	0	0	0	-30	0
0.03	0.0090284	0	-0.0879	-30	0
0.04	0.0025249	0	-0.0879	-30	0
0.05	0.00039385	0	-0.0879	-30	0
0.06	-0.00030446	0	-0.0879	-30	0
0.07	0.016128	0.01191	-0.0879	-30	0
0.08	0.013057	0.025031	-0.0879	-30	0
0.09	0.010574	0.032778	-0.0879	-30	0
0.1	0.0085521	0.037353	-0.0879	-30	0
0.11	0.025664	0.040055	-0.0879	-30	0
0.12	0.020947	0.059648	-0.0879	-29.891	0
0.13	0.017078	0.071217	-0.0879	-29.891	0
0.14	0.01391	0.078049	-0.0879	-29.891	0
0.15	0.028653	0.090434	-0.0879	-29.891	0
0.16	0.023419	0.10739	-0.0879	-29.891	0
0.17	0.019132	0.11741	-0.0879	-29.891	0
0.18	0.031639	0.13844	-0.0879	-29.891	0
0.19	0.025891	0.15374	-0.0879	-29.891	0
0.2	0.037201	0.17789	-0.0879	-29.891	0
0.21	0.026167	0.19503	0	-29.891	0
0.22	0.041326	0.2135	0	-29.891	0
0.23	0.0348	0.23406	0	-29.782	0
0.24	0.046257	0.25455	0	-29.782	0
0.25	0.038161	0.27629	0	-29.782	0
0.26	0.048137	0.30104	0	-29.782	0
0.27	0.02821	0.32175	0.0879	-29.673	0
0.28	0.046056	0.34588	0.0879	-29.673	0
0.29	0.040044	0.36622	0.0879	-29.673	0
0.3	0.042739	0.39335	0.1758	-29.564	0
0.31	0.058307	0.41225	0.1758	-29.564	0
0.32	0.049634	0.44141	0.1758	-29.564	0
0.33	0.054677	0.46697	0.2637	-29.456	0
0.34	0.04098	0.49172	0.3516	-29.456	0
0.35	0.055065	0.52144	0.3516	-29.347	0
0.36	0.059283	0.55023	0.4395	-29.347	0
0.37	0.041669	0.57688	0.5274	-29.238	0
0.38	0.059038	0.60452	0.5274	-29.238	0
0.39	0.062101	0.63528	0.6153	-29.129	0
0.4	0.056757	0.6631	0.6153	-29.02	0
0.41	0.061674	0.69143	0.7032	-29.02	0
0.42	0.067414	0.71864	0.7911	-28.911	0
0.43	0.071796	0.75271	0.879	-28.802	0
0.44	0.056679	0.78643	0.9669	-28.802	0
0.45	0.05998	0.81825	1.0548	-28.693	0
0.46	0.047794	0.84313	1.1427	-28.584	0
0.47	0.054487	0.87293	1.2306	-28.475	0
0.48	0.063361	0.90533	1.3185	-28.366	0
0.49	0.068604	0.93494	1.4064	-28.258	0
0.5	0.055834	0.96602	1.4943	-28.258	0
0.51	0.061784	0.99949	1.5822	-28.149	0
0.52	0.070635	1.0305	1.6701	-28.04	0
0.53	0.059543	1.0584	1.758	-27.931	0
0.54	0.066223	1.0901	1.8459	-27.822	0
0.55	0.074976	1.12	1.9338	-27.713	0
0.56	0.063973	1.1473	2.0217	-27.495	0
0.57	0.07078	1.1785	2.1096	-27.386	0
0.58	0.078595	1.2118	2.1975	-27.277	0
0.59	0.085725	1.2419	2.2854	-27.169	0
0.6	0.071876	1.2732	2.3733	-27.06	0
0.61	0.080783	1.3037	2.4612	-26.951	0
0.62	0.07819	1.3321	2.637	-26.733	0
0.63	0.077863	1.3626	2.637	-26.624	0
0.64	0.076705	1.3924	2.8128	-26.515	0
0.65	0.080871	1.4245	2.9007	-26.406	0
0.66	0.092851	1.4531	2.9886	-26.189	0
0.67	0.079964	1.488	3.0765	-26.08	0
0.68	0.088345	1.5169	3.1644	-25.971	0
0.69	0.077244	1.5436	3.2523	-25.753	0
0.7	0.082492	1.5745	3.3402	-25.644	0
0.71	0.091186	1.6001	3.4281	-25.535	0
0.72	0.07989	1.6288	3.516	-25.317	0
0.73	0.089162	1.654	3.6039	-25.208	0
0.74	0.077671	1.6786	3.6918	-24.991	0
0.75	0.083245	1.7082	3.7797	-24.882	0
0.76	0.091046	1.7405	3.8676	-24.664	0
0.77	0.097667	1.7657	3.9555	-24.555	0
0.78	0.085091	1.7985	4.0434	-24.337	0
0.79	0.091213	1.8223	4.1313	-24.228	0
0.8	0.081299	1.85	4.2192	-24.011	0
0.81	0.08567	1.8747	4.3071	-23.902	0
0.82	0.085453	1.8989	4.3071	-23.684	0
0.83	0.092333	1.9251	4.395	-23.575	0
0.84	0.082154	1.9467	4.4829	-23.357	0
0.85	0.087401	1.9745	4.5708	-23.248	0
0.86	0.10313	1.9938	4.5708	-23.03	0
0.87	0.080631	2.0232	4.7466	-22.922	0
0.88	0.096425	2.045	4.7466	-22.704	0
0.89	0.085821	2.0715	4.8345	-22.486	0
0.9	0.088886	2.0954	4.9224	-22.377	0
0.91	0.088623	2.1192	4.9224	-22.159	0
0.92	0.091079	2.1452	5.0103	-22.05	0
0.93	0.088732	2.1666	5.0103	-21.832	0
0.94	0.09558	2.1837	5.0982	-21.615	0
0.95	0.079229	2.2073	5.1861	-21.506	0
0.96	0.098238	2.2296	5.1861	-21.288	0
0.97	0.082682	2.2525	5.274	-21.179	0
0.98	0.099612	2.2743	5.274	-20.961	0
0.99	0.083438	2.2969	5.3619	-20.744	0
1	0.10092	2.3146	5.3619	-20.635	0
1.01	0.082193	2.3386	5.4498	-20.417	0
1.02	0.083192	2.3528	5.4498	-20.308	0
1.03	0.096304	2.3731	5.4498	-20.09	0
1.04	0.088979	2.3912	5.4498	-19.872	0
1.05	0.093633	2.4138	5.5377	-19.763	0
1.06	0.089366	2.4332	5.5377	-19.546	0
1.07	0.10255	2.4447	5.5377	-19.328	0
1.08	0.088382	2.4694	5.6256	-19.219	0
1.09	0.085266	2.4841	5.6256	-19.001	0
1.1	0.096619	2.5078	5.6256	-18.892	0
1.11	0.089239	2.5247	5.6256	-18.674	0
1.12	0.095464	2.5391	5.7135	-18.566	0
1.13	0.091193	2.5612	5.7135	-18.348	0
1.14	0.085631	2.5742	5.7135	-18.13	0
1.15	0.097068	2.5939	5.7135	-18.021	0
1.16	0.089582	2.6115	5.7135	-17.803	0
1.17	0.10142	2.6264	5.7135	-17.694	0
1.18	0.093091	2.6487	5.7135	-17.477	0
1.19	0.092166	2.6619	5.7135	-17.368	0
1.2	0.090249	2.6816	5.8014	-17.15	0
1.21	0.094988	2.6993	5.7135	-17.041	0
1.22	0.096974	2.7098	5.8014	-16.823	0
