t	u	lambda	p	e	uopt
0	0	0	0	-30	0
0.01	0	0	0	-30	0
0.02	0	0	0	-30	0
0.03	0.009481	0	-0.0879	-30	0
0.04	0.0027317	0	-0.0879	-30	0
0.05	0.0005201	0	-0.0879	-30	0
0.06	-0.0002046	0	-0.0879	-30	0
0.07	-0.00044207	0	-0.0879	-30	0
0.08	-0.00051988	0	-0.0879	-30	0
0.09	-0.00054538	0	-0.0879	-30	0
0.1	0.026355	0	-0.0879	-30	0
0.11	0.021555	0.017998	-0.0879	-30	0
0.12	0.017605	0.028626	-0.0879	-30	0
0.13	0.014361	0.034901	-0.0879	-30	0
0.14	0.037577	0.043002	-0.0879	-30	0
0.15	0.030787	0.061388	-0.0879	-30	0
0.16	0.025211	0.072245	-0.0879	-30	0
0.17	0.04755	0.078656	-0.0879	-30	0
0.18	0.039013	0.10044	-0.0879	-30	0
0.19	0.058915	0.1133	-0.0879	-30	0
0.2	0.048376	0.1389	-0.0879	-29.891	0
0.21	0.039729	0.15401	-0.0879	-29.891	0
0.22	0.055645	0.17805	-0.0879	-29.891	0
0.23	0.055224	0.19512	-0.1758	-29.891	0
0.24	0.052294	0.21712	-0.0879	-29.891	0
0.25	0.047614	0.23619	-0.0879	-29.891	0
0.26	0.06372	0.26257	-0.0879	-29.782	0
0.27	0.052974	0.28103	-0.0879	-29.782	0
0.28	0.066845	0.30705	-0.0879	-29.782	0
0.29	0.055164	0.32529	-0.0879	-29.782	0
0.3	0.069487	0.34798	-0.0879	-29.673	0
0.31	0.084266	0.36746	-0.0879	-29.673	0
0.32	0.069532	0.39696	-0.0879	-29.673	0
0.33	0.075855	0.41878	0	-29.564	0
0.34	0.066754	0.44526	0	-29.564	0
0.35	0.081521	0.46925	0	-29.456	0
0.36	0.052812	0.49306	0.0879	-29.456	0
0.37	0.075872	0.51903	0.0879	-29.347	0
0.38	0.079517	0.54485	0.1758	-29.347	0
0.39	0.073228	0.5737	0.1758	-29.238	0
0.4	0.07625	0.59909	0.2637	-29.238	0
0.41	0.070633	0.62372	0.2637	-29.129	0
0.42	0.078516	0.65339	0.3516	-29.02	0
0.43	0.08065	0.6889	0.4395	-28.911	0
0.44	0.10097	0.71715	0.4395	-28.911	0
0.45	0.080946	0.74743	0.5274	-28.802	0
0.46	0.087425	0.77367	0.6153	-28.693	0
0.47	0.070302	0.7988	0.7032	-28.584	0
0.48	0.074482	0.82876	0.7911	-28.475	0
0.49	0.083971	0.85373	0.879	-28.475	0
0.5	0.082165	0.88208	0.879	-28.366	0
0.51	0.091357	0.91072	0.9669	-28.258	0
0.52	0.098875	0.94884	1.0548	-28.149	0
0.53	0.10774	0.97424	1.1427	-28.04	0
0.54	0.090749	1.0072	1.2306	-27.931	0
0.55	0.099699	1.0351	1.3185	-27.822	0
0.56	0.082951	1.0611	1.4064	-27.713	0
0.57	0.09415	1.0917	1.4943	-27.604	0
0.58	0.10404	1.117	1.5822	-27.495	0
0.59	0.08861	1.1455	1.6701	-27.277	0
0.6	0.099385	1.1743	1.758	-27.169	0
0.61	0.095012	1.2017	1.9338	-27.06	0
0.62	0.10625	1.2315	2.0217	-26.951	0
0.63	0.091205	1.2672	2.1096	-26.842	0
0.64	0.1031	1.2926	2.1975	-26.624	0
0.65	0.089076	1.3212	2.2854	-26.515	0
0.66	0.1002	1.35	2.3733	-26.406	0
0.67	0.11401	1.3731	2.4612	-26.189	0
0.68	0.099063	1.4047	2.5491	-26.08	0
0.69	0.11163	1.4278	2.637	-25.971	0
0.7	0.080725	1.455	2.8128	-25.753	0
0.71	0.092986	1.483	2.9007	-25.644	0
0.72	0.081747	1.5056	2.9886	-25.426	0
0.73	0.093887	1.5341	3.0765	-25.317	0
0.74	0.1063	1.5582	3.1644	-25.208	0
0.75	0.090585	1.586	3.2523	-24.991	0
0.76	0.10167	1.6144	3.3402	-24.882	0
0.77	0.086985	1.6372	3.4281	-24.664	0
0.78	0.095841	1.6626	3.516	-24.555	0
0.79	0.086536	1.6837	3.6039	-24.337	0
0.8	0.094105	1.7112	3.6918	-24.228	0
0.81	0.10955	1.7304	3.7797	-24.011	0
0.82	0.091469	1.7597	3.8676	-23.902	0
0.83	0.078008	1.777	3.9555	-23.684	0
0.84	0.10563	1.8023	3.9555	-23.575	0
0.85	0.075159	1.8202	4.1313	-23.357	0
0.86	0.10518	1.8458	4.1313	-23.248	0
0.87	0.088715	1.8639	4.2192	-23.03	0
0.88	0.11084	1.8864	4.2192	-22.922	0
0.89	0.083008	1.9058	4.395	-22.704	0
0.9	0.11109	1.9256	4.395	-22.486	0
0.91	0.095089	1.947	4.4829	-22.377	0
0.92	0.079313	1.9596	4.5708	-22.159	0
0.93	0.089157	1.9821	4.6587	-22.05	0
0.94	0.091977	1.9983	4.6587	-21.832	0
0.95	0.10279	2.0163	4.7466	-21.724	0
0.96	0.099091	2.0365	4.7466	-21.506	0
0.97	0.093273	2.0528	4.9224	-21.288	0
0.98	0.10831	2.0761	4.8345	-21.179	0
0.99	0.074577	2.0898	5.0103	-20.961	0
1	0.1152	2.1098	4.9224	-20.852	0
1.01	0.081409	2.1277	5.0982	-20.635	0
1.02	0.11246	2.1427	5.0982	-20.417	0
1.03	0.10505	2.1651	5.0982	-20.308	0
1.04	0.10593	2.1784	5.0982	-20.09	0
1.05	0.10561	2.2013	5.1861	-19.981	0
1.06	0.099743	2.2178	5.1861	-19.763	0
1.07	0.077418	2.2275	5.274	-19.654	0
1.08	0.10717	2.2376	5.274	-19.437	0
1.09	0.10031	2.2572	5.274	-19.219	0
1.1	0.085425	2.2687	5.3619	-19.11	0
1.11	0.10718	2.2907	5.3619	-18.892	0
1.12	0.099218	2.3065	5.3619	-18.783	0
1.13	0.091769	2.3159	5.3619	-18.566	0
1.14	0.11449	2.3365	5.3619	-18.457	0
1.15	0.088951	2.3516	5.4498	-18.239	0
1.16	0.088281	2.3605	5.4498	-18.13	0
1.17	0.11116	2.3657	5.4498	-17.912	0
1.18	0.10193	2.3868	5.4498	-17.803	0
1.19	0.09398	2.3993	5.4498	-17.585	0
1.2	0.11323	2.411	5.4498	-17.477	0
1.21	0.10315	2.4316	5.4498	-17.259	0
1.22	0.094881	2.4437	5.4498	-17.15	0
