t	u	lambda	p	e	uopt
0	0	0	0	-30	0
0.01	0	0	0	-30	0
0.02	0	0	0	-30	0
0.03	0.0079877	0	-0.0879	-30	0
0.04	0.0021504	0	-0.0879	-30	0
0.05	0.00023769	0	-0.0879	-30	0
0.06	-0.00038908	0	-0.0879	-30	0
0.07	0.011616	0.01191	-0.0879	-30	0
0.08	0.0093403	0.025031	-0.0879	-30	0
0.09	0.0075089	0.032778	-0.0879	-30	0
0.1	0.0060211	0.037353	-0.0879	-30	0
0.11	0.018569	0.040055	-0.0879	-30	0
0.12	0.015093	0.059648	-0.0879	-30	0
0.13	0.012246	0.071217	-0.0879	-30	0
0.14	0.009917	0.078049	-0.0879	-30	0
0.15	0.02072	0.090434	-0.0879	-30	0
0.16	0.016868	0.10739	-0.0879	-30	0
0.17	0.013715	0.11741	-0.0879	-29.891	0
0.18	0.022871	0.13844	-0.0879	-29.891	0
0.19	0.018643	0.15374	-0.0879	-29.891	0
0.2	0.027396	0.17468	-0.0879	-29.891	0
0.21	0.022362	0.19314	-0.0879	-29.891	0
0.22	0.031469	0.20843	-0.0879	-29.891	0
0.23	0.025715	0.23106	-0.0879	-29.891	0
0.24	0.033715	0.25278	-0.0879	-29.782	0
0.25	0.02757	0.27525	-0.0879	-29.782	0
0.26	0.034755	0.30043	-0.0879	-29.782	0
0.27	0.02844	0.32138	-0.0879	-29.782	0
0.28	0.035488	0.34567	-0.0879	-29.673	0
0.29	0.021074	0.3661	0	-29.673	0
0.3	0.033867	0.39007	0	-29.673	0
0.31	0.04304	0.41031	0	-29.564	0
0.32	0.035867	0.44026	0	-29.564	0
0.33	0.032757	0.46234	0.0879	-29.564	0
0.34	0.032517	0.48898	0.0879	-29.456	0
0.35	0.041418	0.51307	0.0879	-29.456	0
0.36	0.029968	0.53693	0.1758	-29.347	0
0.37	0.029506	0.56614	0.2637	-29.238	0
0.38	0.044284	0.59067	0.2637	-29.238	0
0.39	0.030964	0.61875	0.3516	-29.129	0
0.4	0.043269	0.64725	0.3516	-29.129	0
0.41	0.055937	0.67456	0.3516	-29.02	0
0.42	0.038481	0.70428	0.4395	-28.911	0
0.43	0.040723	0.73695	0.5274	-28.802	0
0.44	0.039101	0.76352	0.6153	-28.802	0
0.45	0.041317	0.79281	0.6153	-28.693	0
0.46	0.043668	0.82202	0.7032	-28.584	0
0.47	0.044473	0.84975	0.7911	-28.475	0
0.48	0.044665	0.87973	0.7911	-28.366	0
0.49	0.046265	0.90934	0.879	-28.258	0
0.5	0.051532	0.94126	0.9669	-28.149	0
0.51	0.051696	0.96976	1.0548	-28.149	0
0.52	0.050956	1.0046	1.0548	-27.931	0
0.53	0.053722	1.0335	1.1427	-27.822	0
0.54	0.05532	1.0602	1.2306	-27.713	0
0.55	0.046697	1.094	1.3185	-27.604	0
0.56	0.048359	1.1223	1.4064	-27.495	0
0.57	0.048999	1.157	1.4943	-27.386	0
0.58	0.06553	1.1871	1.4943	-27.277	0
0.59	0.054435	1.2229	1.5822	-27.169	0
0.6	0.056339	1.2485	1.6701	-27.06	0
0.61	0.041718	1.2771	1.758	-26.842	0
0.62	0.05795	1.306	1.758	-26.733	0
0.63	0.061724	1.3335	1.8459	-26.624	0
0.64	0.052603	1.3634	1.9338	-26.515	0
0.65	0.054162	1.3961	2.0217	-26.297	0
0.66	0.060814	1.4302	2.1096	-26.189	0
0.67	0.061656	1.4565	2.1975	-26.08	0
0.68	0.061162	1.49	2.1975	-25.862	0
0.69	0.064545	1.5141	2.2854	-25.753	0
0.7	0.050167	1.542	2.3733	-25.644	0
0.71	0.053746	1.5704	2.4612	-25.426	0
0.72	0.069513	1.5932	2.4612	-25.317	0
0.73	0.058812	1.6247	2.5491	-25.099	0
0.74	0.062592	1.6516	2.637	-24.991	0
0.75	0.047543	1.6772	2.7249	-24.882	0
0.76	0.063555	1.7074	2.7249	-24.664	0
0.77	0.064182	1.7365	2.8128	-24.555	0
0.78	0.062587	1.7633	2.8128	-24.337	0
0.79	0.063796	1.791	2.9007	-24.228	0
0.8	0.064851	1.8135	2.9886	-24.011	0
0.81	0.064923	1.8448	2.9886	-23.793	0
0.82	0.067508	1.8676	3.0765	-23.684	0
0.83	0.051876	1.8947	3.1644	-23.466	0
0.84	0.068681	1.9191	3.1644	-23.357	0
0.85	0.054207	1.9431	3.2523	-23.139	0
0.86	0.068425	1.9692	3.2523	-23.03	0
0.87	0.07122	1.9907	3.3402	-22.813	0
0.88	0.068192	2.0214	3.3402	-22.704	0
0.89	0.069952	2.0439	3.4281	-22.486	0
0.9	0.067078	2.0708	3.4281	-22.377	0
0.91	0.069992	2.095	3.516	-22.159	0
0.92	0.066557	2.119	3.516	-21.941	0
0.93	0.074349	2.1415	3.516	-21.832	0
0.94	0.062485	2.1644	3.6039	-21.615	0
0.95	0.072481	2.1899	3.6039	-21.506	0
0.96	0.061701	2.211	3.6918	-21.288	0
0.97	0.072186	2.2354	3.6918	-21.179	0
0.98	0.066537	2.2559	3.6918	-20.961	0
0.99	0.068601	2.2799	3.7797	-20.744	0
1	0.065595	2.3001	3.7797	-20.635	0
1.01	0.067196	2.324	3.8676	-20.417	0
1.02	0.06018	2.3442	3.8676	-20.308	0
1.03	0.071576	2.3712	3.8676	-20.09	0
1.04	0.066622	2.3901	3.8676	-19.872	0
1.05	0.060596	2.4163	3.9555	-19.763	0
1.06	0.077089	2.4347	3.9555	-19.546	0
1.07	0.07228	2.4635	3.9555	-19.437	0
1.08	0.066852	2.4806	3.9555	-19.219	0
1.09	0.073661	2.5058	3.9555	-19.001	0
1.1	0.05937	2.5235	4.0434	-18.892	0
1.11	0.071735	2.5491	4.0434	-18.783	0
1.12	0.067258	2.5671	4.0434	-18.566	0
1.13	0.074867	2.5896	4.0434	-18.348	0
1.14	0.068593	2.609	4.0434	-18.239	0
1.15	0.063198	2.6288	4.1313	-18.021	0
1.16	0.075874	2.6502	4.0434	-17.912	0
1.17	0.073667	2.6628	4.1313	-17.694	0
1.18	0.070016	2.6882	4.1313	-17.585	0
1.19	0.065432	2.7032	4.1313	-17.368	0
1.2	0.073374	2.724	4.1313	-17.259	0
1.21	0.067508	2.7424	4.1313	-17.041	0
1.22	0.075364	2.7616	4.1313	-16.932	0
