t	u1	u2	lambda	p	e	u1opt	u2opt
0	-2.0968e-17	0.046698	0	0	-30	0	0
0.01	-2.0968e-17	0.046698	0	0	-30	0	0
0.02	-2.0968e-17	0.046698	0	0	-30	0	0
0.03	0.0022213	0.046698	0	-0.0879	-30	0	0
0.04	-2.6701e-05	0.046698	0	-0.0879	-30	0	0
0.05	-0.00076333	0.046698	0	-0.0879	-30	0	0
0.06	-0.0010047	0.046698	0	-0.0879	-30	0	0
0.07	-0.0010838	0.046698	0	-0.0879	-30	0	0
0.08	0.0080584	0.046698	0.01191	-0.0879	-30	0	0
0.09	0.006408	0.046698	0.025031	-0.0879	-30	0	0
0.1	0.0050567	0.046698	0.032778	-0.0879	-30	0	0
0.11	0.0039504	0.014117	0.037353	-0.0879	-29.891	0	0
0.12	0.0030454	0.02739	0.040055	-0.0879	-29.891	0	0
0.13	0.011119	0.035227	0.056764	-0.0879	-29.891	0	0
0.14	0.0089361	0.039855	0.069515	-0.0879	-29.891	0	0
0.15	0.0071465	0.042588	0.077044	-0.0879	-29.891	0	0
0.16	0.01485	0.044201	0.0934	-0.0879	-29.891	0	0
0.17	0.01201	0.045154	0.10915	-0.0879	-29.891	0	0
0.18	0.0096833	0.045717	0.11844	-0.0879	-29.891	0	0
0.19	0.016593	0.046049	0.13905	-0.0879	-29.891	0	0
0.2	0.013457	0.046245	0.1541	-0.0879	-29.891	0	0
0.21	0.020426	0.046361	0.17134	-0.0879	-29.891	0	0
0.22	0.016618	0.046429	0.19116	-0.0879	-29.891	0	0
0.23	0.022799	0.017131	0.20287	0	-29.782	0	0
0.24	0.01984	0.0291	0.22778	0	-29.782	0	0
0.25	0.016707	0.036167	0.24249	0	-29.782	0	0
0.26	0.022725	0.040341	0.26629	0	-29.782	0	0
0.27	0.029103	0.042805	0.28323	0	-29.782	0	0
0.28	0.023419	0.0040776	0.31123	0.0879	-29.673	0	0
0.29	0.020386	0.021323	0.32776	0.0879	-29.673	0	0
0.3	0.026506	0.031506	0.34943	0.0879	-29.673	0	0
0.31	0.019128	0.037519	0.36832	0.1758	-29.673	0	0
0.32	0.027878	0.01173	0.38782	0.1758	-29.564	0	0
0.33	0.034449	0.025772	0.40898	0.1758	-29.564	0	0
0.34	0.028487	-0.010565	0.43948	0.2637	-29.456	0	0
0.35	0.035403	0.012537	0.45749	0.2637	-29.456	0	0
0.36	0.028608	0.026179	0.48612	0.3516	-29.456	0	0
0.37	0.036229	0.0016545	0.50302	0.3516	-29.347	0	0
0.38	0.030639	0.019684	0.531	0.4395	-29.347	0	0
0.39	0.036197	-0.0098531	0.56264	0.4395	-29.238	0	0
0.4	0.040619	0.012819	0.5886	0.5274	-29.238	0	0
0.41	0.03576	-0.018422	0.61753	0.5274	-29.129	0	0
0.42	0.040091	0.0076899	0.64297	0.6153	-29.129	0	0
0.43	0.032494	-0.013073	0.66763	0.7032	-29.02	0	0
0.44	0.040122	0.010779	0.69411	0.7032	-29.02	0	0
0.45	0.03258	-0.0077169	0.71583	0.7911	-28.911	0	0
0.46	0.040014	-0.030756	0.74377	0.7911	-28.802	0	0
0.47	0.044527	0.0001982	0.76315	0.879	-28.802	0	0
0.48	0.039476	-0.017705	0.79259	0.9669	-28.693	0	0
0.49	0.046481	-0.032347	0.81438	0.9669	-28.584	0	0
