t	u1	u2	lambda	p	e	u1opt	u2opt
0	-2.6518e-17	0.046698	0	0	-30	0	0
0.01	-2.6518e-17	0.046698	0	0	-30	0	0
0.02	0.00035689	0.046698	0	-0.0879	-30	0	0
0.03	-0.00068276	0.046698	0	-0.0879	-30	0	0
0.04	-0.0010234	0.046698	0	-0.0879	-30	0	0
0.05	-0.0011351	0.046698	0	-0.0879	-30	0	0
0.06	-0.0011716	0.046698	0	-0.0879	-30	0	0
0.07	-0.0011836	0.046698	0	-0.0879	-30	0	0
0.08	0.0045403	0.046698	0.01191	-0.0879	-30	0	0
0.09	0.003505	0.046698	0.025031	-0.0879	-30	0	0
0.1	0.0026569	0.046698	0.032778	-0.0879	-30	0	0
0.11	0.001963	0.046698	0.037353	-0.0879	-30	0	0
0.12	0.0073559	0.046698	0.048405	-0.0879	-30	0	0
0.13	0.0058167	0.046698	0.064579	-0.0879	-30	0	0
0.14	0.0045561	0.046698	0.074129	-0.0879	-30	0	0
0.15	0.0099783	0.046698	0.079768	-0.0879	-30	0	0
0.16	0.0079718	0.046698	0.1011	-0.0879	-30	0	0
0.17	0.0063283	0.046698	0.11369	-0.0879	-30	0	0
0.18	0.010712	0.046698	0.13304	-0.0879	-30	0	0
0.19	0.008579	0.002069	0.15055	-0.0879	-29.891	0	0
0.2	0.013036	0.020275	0.16528	-0.0879	-29.891	0	0
0.21	0.010491	0.031026	0.18759	-0.0879	-29.891	0	0
0.22	0.0084074	0.037374	0.20076	-0.0879	-29.891	0	0
0.23	0.012209	0.041123	0.22365	-0.0879	-29.891	0	0
0.24	0.0098235	0.043336	0.24005	-0.0879	-29.891	0	0
0.25	0.013377	0.044643	0.26485	-0.0879	-29.891	0	0
0.26	0.0089591	0.012835	0.28238	0	-29.782	0	0
0.27	0.014378	0.026563	0.30784	0	-29.782	0	0
0.28	0.012321	0.03467	0.32576	0	-29.782	0	0
0.29	0.016041	0.039456	0.34825	0	-29.782	0	0
0.3	0.01776	-0.0023457	0.37953	0.0879	-29.673	0	0
0.31	0.016041	0.01753	0.40409	0.0879	-29.673	0	0
0.32	0.019788	0.029266	0.42694	0.0879	-29.673	0	0
0.33	0.015895	-0.0084324	0.45008	0.1758	-29.564	0	0
0.34	0.020261	0.013866	0.47566	0.1758	-29.564	0	0
0.35	0.017449	0.027033	0.49685	0.1758	-29.564	0	0
0.36	0.020389	-0.001373	0.52447	0.2637	-29.456	0	0
0.37	0.023075	0.017965	0.54806	0.3516	-29.456	0	0
0.38	0.021278	-0.006797	0.5756	0.3516	-29.347	0	0
0.39	0.023846	0.014693	0.59625	0.4395	-29.347	0	0
0.4	0.022077	-0.0128	0.62205	0.4395	-29.238	0	0
0.41	0.023863	0.011079	0.64563	0.5274	-29.238	0	0
0.42	0.022609	-0.011002	0.66921	0.5274	-29.129	0	0
0.43	0.024166	0.012071	0.69824	0.6153	-29.129	0	0
0.44	0.029077	-0.0068845	0.72662	0.6153	-29.02	0	0
0.45	0.024805	-0.030195	0.75303	0.7032	-28.911	0	0
0.46	0.029535	0.00059884	0.77697	0.7032	-28.911	0	0
0.47	0.031998	-0.017399	0.80515	0.7911	-28.802	0	0
0.48	0.029429	-0.036543	0.83539	0.7911	-28.693	0	0
0.49	0.032196	-0.0032881	0.8616	0.879	-28.693	0	0
0.5	0.029601	-0.016232	0.88672	0.879	-28.584	0	0
0.51	0.032262	-0.031547	0.91347	0.9669	-28.475	0	0
0.52	0.036315	-0.00047666	0.93535	0.9669	-28.475	0	0
0.53	0.032568	-0.011469	0.96627	1.0548	-28.366	0	0
0.54	0.036147	-0.021271	0.99288	1.0548	-28.258	0	0
0.55	0.032608	-0.03473	1.0182	1.1427	-28.149	0	0
0.56	0.034106	-0.042748	1.0483	1.2306	-28.04	0	0
0.57	0.037882	-0.0073684	1.0734	1.3185	-28.04	0	0
0.58	0.036264	-0.015816	1.1018	1.3185	-27.931	0	0
0.59	0.038502	-0.024115	1.1269	1.4064	-27.822	0	0
0.6	0.036628	-0.032686	1.1514	1.4064	-27.713	0	0
0.61	0.039392	-0.037817	1.1742	1.4943	-27.604	0	0
0.62	0.037309	-0.044917	1.1973	1.4943	-27.495	0	0
0.63	0.039855	-0.049179	1.2228	1.5822	-27.386	0	0
0.64	0.043849	-0.051765	1.2524	1.5822	-27.277	0	0
0.65	0.039223	-0.057808	1.2794	1.6701	-27.169	0	0
0.66	0.043337	-0.061445	1.3106	1.6701	-27.06	0	0
0.67	0.039592	-0.019034	1.3318	1.758	-27.06	0	0
0.68	0.043657	-0.02333	1.3595	1.758	-26.951	0	0
0.69	0.045984	-0.025936	1.3787	1.8459	-26.842	0	0
0.7	0.043836	-0.027544	1.408	1.8459	-26.733	0	0
0.71	0.04046	-0.028563	1.4254	1.9338	-26.624	0	0
0.72	0.044827	-0.029234	1.4507	1.9338	-26.515	0	0
0.73	0.040948	-0.0297	1.4686	2.0217	-26.406	0	0
0.74	0.04567	-0.030044	1.4942	2.0217	-26.297	0	0
0.75	0.041333	-0.030317	1.5122	2.1096	-26.189	0	0
0.76	0.046757	-0.030547	1.5348	2.1096	-26.08	0	0
0.77	0.042557	-0.030753	1.5542	2.1975	-25.971	0	0
0.78	0.047798	-0.030944	1.5808	2.1975	-25.862	0	0
0.79	0.04985	-0.031126	1.6038	2.2854	-25.753	0	0
0.8	0.048502	-0.075931	1.6309	2.2854	-25.535	0	0
0.81	0.050906	-0.073188	1.647	2.3733	-25.426	0	0
0.82	0.049596	-0.071638	1.6744	2.3733	-25.317	0	0
0.83	0.047408	-0.070792	1.6907	2.3733	-25.208	0	0
0.84	0.050403	-0.070362	1.7154	2.4612	-25.099	0	0
0.85	0.048571	-0.065731	1.7328	2.4612	-24.991	0	0
0.86	0.051896	-0.067512	1.755	2.5491	-24.882	0	0
0.87	0.050051	-0.064187	1.7743	2.5491	-24.773	0	0
0.88	0.054176	-0.06674	1.79	2.5491	-24.664	0	0
0.89	0.049344	-0.06387	1.8129	2.637	-24.555	0	0
0.9	0.048859	-0.062245	1.8264	2.637	-24.446	0	0
0.91	0.052953	-0.061355	1.8495	2.637	-24.337	0	0
0.92	0.050118	-0.056897	1.866	2.7249	-24.228	0	0
0.93	0.054983	-0.054335	1.8841	2.7249	-24.119	0	0
0.94	0.052469	-0.052891	1.9045	2.7249	-24.011	0	0
