t	u1	u2	lambda	p	e	u1opt	u2opt
0	-2.6518e-17	0.046698	0	0	-30	0	0
0.01	-2.6518e-17	0.046698	0	0	-30	0	0
0.02	-2.6518e-17	0.046698	0	0	-30	0	0
0.03	-2.6518e-17	0.046698	0	0	-30	0	0
0.04	-2.6518e-17	0.046698	0	0	-30	0	0
0.05	-2.6518e-17	0.046698	0	0	-30	0	0
0.06	-2.6518e-17	0.046698	0	0	-30	0	0
0.07	-2.6518e-17	0.046698	0	0	-30	0	0
0.08	-2.6518e-17	0.046698	0	0	-30	0	0
0.09	0.006202	0.046698	0.004395	0	-30	0	0
0.1	0.005083	0.046698	0.020593	0	-30	0	0
0.11	0.0041651	0.046698	0.030158	0	-30	0	0
0.12	0.0034133	0.010516	0.035806	0	-29.891	0	0
0.13	0.0092518	0.025263	0.039141	0	-29.891	0	0
0.14	0.0075853	0.033971	0.059108	0	-29.891	0	0
0.15	0.0062197	0.039114	0.070899	0	-29.891	0	0
0.16	0.011556	0.04215	0.077861	0	-29.891	0	0
0.17	0.009478	0.043943	0.09997	0	-29.891	0	0
0.18	0.0077764	0.045001	0.11303	0	-29.891	0	0
0.19	0.012112	0.045627	0.13264	0	-29.891	0	0
0.2	0.0099407	0.045996	0.15032	0	-29.891	0	0
0.21	0.014366	0.046214	0.16515	0	-29.891	0	0
0.22	0.011438	0.046342	0.18751	0.0879	-29.891	0	0
0.23	0.010373	0.010237	0.20071	0.0879	-29.782	0	0
0.24	0.014721	0.025029	0.22042	0.0879	-29.782	0	0
0.25	0.018121	0.033764	0.25005	0.0879	-29.782	0	0
0.26	0.015129	0.038921	0.27364	0.0879	-29.782	0	0
0.27	0.017285	0.041967	0.28757	0.1758	-29.782	0	0
0.28	0.016131	0.043765	0.31379	0.1758	-29.782	0	0
0.29	0.019916	0.008646	0.34118	0.1758	-29.673	0	0
0.3	0.01692	0.02402	0.36345	0.2637	-29.673	0	0
0.31	0.021193	0.033099	0.38494	0.2637	-29.673	0	0
0.32	0.017554	0.0022779	0.40729	0.3516	-29.564	0	0
0.33	0.0223	0.020191	0.42883	0.3516	-29.564	0	0
0.34	0.018806	0.030768	0.4512	0.4395	-29.564	0	0
0.35	0.023135	0.00083214	0.47952	0.4395	-29.456	0	0
0.36	0.026878	0.019267	0.49913	0.5274	-29.456	0	0
0.37	0.022306	-0.014475	0.5287	0.6153	-29.347	0	0
0.38	0.028062	0.010159	0.54617	0.6153	-29.347	0	0
0.39	0.025128	0.024705	0.57448	0.7032	-29.347	0	0
0.4	0.027843	0.0039558	0.59119	0.7911	-29.238	0	0
0.41	0.02662	0.020973	0.61906	0.7911	-29.238	0	0
0.42	0.02921	0.0016825	0.65064	0.879	-29.129	0	0
0.43	0.031982	-0.025067	0.67216	0.9669	-29.02	0	0
0.44	0.028742	0.0036964	0.70287	1.0548	-29.02	0	0
0.45	0.034577	-0.0155	0.7254	1.0548	-28.911	0	0
0.46	0.031012	0.0092762	0.7523	1.1427	-28.911	0	0
0.47	0.035272	-0.0086737	0.7801	1.1427	-28.802	0	0
0.48	0.03718	-0.026945	0.807	1.3185	-28.693	0	0
0.49	0.03579	0.0023794	0.83648	1.3185	-28.693	0	0
0.5	0.03921	-0.009644	0.85829	1.4064	-28.584	0	0
0.51	0.034896	-0.020054	0.88477	1.4943	-28.475	0	0
0.52	0.038526	-0.038319	0.91552	1.5822	-28.366	0	0
0.53	0.037422	-0.0045452	0.93656	1.5822	-28.366	0	0
0.54	0.040089	-0.017182	0.9641	1.6701	-28.258	0	0
0.55	0.043361	-0.028315	0.98764	1.758	-28.149	0	0
0.56	0.040347	-0.043405	1.0151	1.8459	-28.04	0	0
0.57	0.045454	-0.052385	1.0397	1.8459	-27.931	0	0
0.58	0.048263	-0.013129	1.0639	1.9338	-27.931	0	0
0.59	0.045657	-0.019287	1.0962	1.9338	-27.822	0	0
0.6	0.04892	-0.026234	1.1196	2.0217	-27.713	0	0
0.61	0.045975	-0.034007	1.1471	2.1096	-27.604	0	0
0.62	0.049164	-0.038666	1.1716	2.1975	-27.495	0	0
0.63	0.047164	-0.041487	1.1958	2.1975	-27.386	0	0
0.64	0.048788	-0.047223	1.2184	2.3733	-27.277	0	0
0.65	0.048297	-0.05068	1.2414	2.3733	-27.169	0	0
0.66	0.050683	-0.05279	1.2701	2.4612	-27.06	0	0
0.67	0.04928	-0.058552	1.2899	2.4612	-26.951	0	0
0.68	0.050494	-0.062023	1.3167	2.637	-26.842	0	0
0.69	0.056268	-0.064143	1.3474	2.637	-26.733	0	0
0.7	0.051835	-0.020835	1.3715	2.7249	-26.733	0	0
0.71	0.057172	-0.06923	1.3942	2.7249	-26.515	0	0
0.72	0.053677	-0.068606	1.4172	2.8128	-26.406	0	0
0.73	0.058305	-0.068308	1.4391	2.8128	-26.297	0	0
0.74	0.055023	-0.068201	1.4617	2.9007	-26.189	0	0
0.75	0.059101	-0.068207	1.487	2.9886	-26.08	0	0
0.76	0.055169	-0.06828	1.508	3.0765	-25.971	0	0
0.77	0.061082	-0.063947	1.5248	3.0765	-25.862	0	0
0.78	0.056706	-0.061457	1.5483	3.1644	-25.753	0	0
0.79	0.062225	-0.056055	1.5705	3.1644	-25.644	0	0
0.8	0.05844	-0.056936	1.5933	3.2523	-25.535	0	0
0.81	0.063807	-0.053525	1.6111	3.2523	-25.426	0	0
0.82	0.060346	-0.05158	1.6353	3.3402	-25.317	0	0
0.83	0.059123	-0.054502	1.6495	3.3402	-25.208	0	0
0.84	0.06215	-0.052295	1.6731	3.4281	-25.099	0	0
0.85	0.068727	-0.051062	1.6899	3.4281	-24.991	0	0
0.86	0.064009	-0.046802	1.7178	3.516	-24.882	0	0
0.87	0.061951	-0.047957	1.7342	3.6039	-24.773	0	0
0.88	0.065855	-0.041866	1.7591	3.6039	-24.664	0	0
0.89	0.065683	-0.038339	1.7766	3.6039	-24.555	0	0
0.9	0.067647	-0.080954	1.7954	3.6918	-24.337	0	0
0.91	0.065295	-0.076918	1.8161	3.7797	-24.228	0	0
0.92	0.070169	-0.074604	1.8366	3.7797	-24.119	0	0
0.93	0.066793	-0.068861	1.8584	3.8676	-24.011	0	0
0.94	0.065719	-0.065539	1.8713	3.8676	-23.902	0	0
0.95	0.067807	-0.063647	1.894	3.9555	-23.793	0	0
