t	u1	u2	lambda	p	e	u1opt	u2opt
0	-2.6518e-17	0.046698	0	0	-30	0	0
0.01	-2.6518e-17	0.046698	0	0	-30	0	0
0.02	-2.6518e-17	0.046698	0	0	-30	0	0
0.03	-2.6518e-17	0.046698	0	0	-30	0	0
0.04	-2.6518e-17	0.046698	0	0	-30	0	0
0.05	0.0055044	0.046698	0.015114	0	-30	0	0
0.06	0.0063413	0.046698	0.026923	-0.0879	-30	0	0
0.07	0.0034963	0.046698	0.033896	-0.0879	-30	0	0
0.08	0.0021644	0.046698	0.038013	-0.0879	-30	0	0
0.09	0.0014015	0.046698	0.040444	-0.0879	-30	0	0
0.1	0.0067976	0.046698	0.05023	0	-30	0	0
0.11	0.0061668	0.046698	0.065656	0	-30	0	0
0.12	0.0052529	0.046698	0.074765	0	-30	0	0
0.13	0.0043755	0.017358	0.080144	0	-29.891	0	0
0.14	0.0095761	0.029304	0.091671	0	-29.891	0	0
0.15	0.0078661	0.036357	0.10812	0	-29.891	0	0
0.16	0.0064615	0.040522	0.11784	0	-29.891	0	0
0.17	0.011513	0.042982	0.12797	0	-29.891	0	0
0.18	0.0094543	0.044434	0.14756	0	-29.891	0	0
0.19	0.0077683	0.045292	0.15912	0	-29.891	0	0
0.2	0.01235	0.045798	0.1743	0	-29.891	0	0
0.21	0.016601	0.046097	0.19291	0	-29.891	0	0
0.22	0.013635	0.046273	0.2219	0	-29.891	0	0
0.23	0.0099801	0.046378	0.23902	0.0879	-29.891	0	0
0.24	0.015346	0.0018107	0.26104	0.0879	-29.782	0	0
0.25	0.013222	0.020053	0.28013	0.0879	-29.782	0	0
0.26	0.017184	0.030826	0.29975	0.0879	-29.782	0	0
0.27	0.013646	0.037187	0.32098	0.1758	-29.782	0	0
0.28	0.01836	0.040943	0.34543	0.1758	-29.782	0	0
0.29	0.015852	0.013821	0.36595	0.1758	-29.673	0	0
0.3	0.018806	0.027076	0.38642	0.2637	-29.673	0	0
0.31	0.017112	0.034903	0.40816	0.2637	-29.673	0	0
0.32	0.020795	-0.00065786	0.4329	0.2637	-29.564	0	0
0.33	0.01713	0.018457	0.4536	0.3516	-29.564	0	0
0.34	0.021698	0.029744	0.47774	0.3516	-29.564	0	0
0.35	0.023558	-0.0037736	0.50998	0.4395	-29.456	0	0
0.36	0.021773	0.016548	0.53511	0.4395	-29.456	0	0
0.37	0.023575	0.028547	0.5583	0.5274	-29.456	0	0
0.38	0.028798	0.0062938	0.58164	0.5274	-29.347	0	0
0.39	0.024797	0.022423	0.61342	0.6153	-29.347	0	0
0.4	0.029034	0.0026081	0.64054	0.6153	-29.238	0	0
0.41	0.025054	0.020177	0.6662	0.7032	-29.238	0	0
0.42	0.029187	0.0012126	0.69326	0.7032	-29.129	0	0
0.43	0.026086	-0.025345	0.71533	0.7911	-29.02	0	0
0.44	0.029171	0.0035325	0.74027	0.879	-29.02	0	0
0.45	0.033602	-0.019598	0.76548	0.879	-28.911	0	0
0.46	0.029884	0.0068563	0.79397	0.9669	-28.911	0	0
0.47	0.033874	-0.010103	0.81914	0.9669	-28.802	0	0
0.48	0.030546	-0.032235	0.84366	1.0548	-28.693	0	0
0.49	0.032778	-0.00074407	0.87324	1.1427	-28.693	0	0
0.5	0.037227	-0.018331	0.90195	1.1427	-28.584	0	0
0.51	0.032739	-0.037232	0.92855	1.2306	-28.475	0	0
0.52	0.036119	-0.0038338	0.9526	1.3185	-28.475	0	0
0.53	0.034665	-0.016693	0.97646	1.3185	-28.366	0	0
0.54	0.037534	-0.031958	1.0057	1.4064	-28.258	0	0
0.55	0.041814	-0.045487	1.0258	1.4064	-28.149	0	0
0.56	0.0382	-0.0089165	1.0557	1.4943	-28.149	0	0
0.57	0.040039	-0.016661	1.0817	1.5822	-28.04	0	0
0.58	0.037904	-0.024545	1.1067	1.6701	-27.931	0	0
0.59	0.04242	-0.032871	1.1365	1.6701	-27.822	0	0
0.6	0.045209	-0.041858	1.1654	1.758	-27.713	0	0
0.61	0.042541	-0.05168	1.1921	1.758	-27.604	0	0
0.62	0.045344	-0.01292	1.2162	1.8459	-27.604	0	0
0.63	0.042817	-0.019373	1.2401	1.8459	-27.495	0	0
0.64	0.045856	-0.023252	1.2661	1.9338	-27.386	0	0
0.65	0.043308	-0.028853	1.2876	1.9338	-27.277	0	0
0.66	0.046212	-0.035831	1.3154	2.0217	-27.169	0	0
0.67	0.04198	-0.03642	1.3346	2.1096	-27.06	0	0
0.68	0.045868	-0.040438	1.3611	2.1975	-26.951	0	0
0.69	0.049766	-0.04288	1.3841	2.1975	-26.842	0	0
0.7	0.046561	-0.044392	1.4112	2.2854	-26.733	0	0
0.71	0.050427	-0.045354	1.4316	2.2854	-26.624	0	0
0.72	0.046684	-0.049992	1.4573	2.3733	-26.515	0	0
0.73	0.052038	-0.052801	1.4844	2.3733	-26.406	0	0
0.74	0.048204	-0.054529	1.5064	2.4612	-26.297	0	0
0.75	0.052784	-0.051617	1.5346	2.4612	-26.189	0	0
0.76	0.048878	-0.049967	1.5541	2.5491	-26.08	0	0
0.77	0.053511	-0.049062	1.5807	2.5491	-25.971	0	0
0.78	0.049684	-0.048597	1.5993	2.637	-25.862	0	0
0.79	0.054394	-0.048392	1.6254	2.637	-25.753	0	0
0.8	0.050634	-0.048341	1.6437	2.7249	-25.644	0	0
0.81	0.0554	-0.04838	1.6696	2.7249	-25.535	0	0
0.82	0.057284	-0.048472	1.6922	2.8128	-25.426	0	0
0.83	0.055871	-0.044995	1.7192	2.8128	-25.317	0	0
0.84	0.058246	-0.043011	1.7351	2.9007	-25.208	0	0
0.85	0.056919	-0.041909	1.7625	2.9007	-25.099	0	0
0.86	0.059343	-0.041328	1.7786	2.9886	-24.991	0	0
0.87	0.058049	-0.041054	1.8062	2.9886	-24.882	0	0
0.88	0.055875	-0.03772	1.8224	2.9886	-24.773	0	0
0.89	0.060641	-0.035822	1.844	2.9886	-24.664	0	0
0.9	0.056589	-0.03477	1.8628	3.0765	-24.555	0	0
0.91	0.060917	-0.034218	1.8822	3.0765	-24.446	0	0
0.92	0.056886	-0.07859	1.9033	3.1644	-24.228	0	0
0.93	0.062291	-0.075591	1.9202	3.1644	-24.119	0	0
0.94	0.057852	-0.07389	1.9438	3.2523	-24.011	0	0
0.95	0.063928	-0.068509	1.9577	3.2523	-23.902	0	0
