t	u1	u2	lambda	p	e	u1opt	u2opt
0	-2.6518e-17	0.046698	0	0	-30	0	0
0.01	-2.6518e-17	0.046698	0	0	-30	0	0
0.02	-2.6518e-17	0.046698	0	0	-30	0	0
0.03	-2.6518e-17	0.046698	0	0	-30	0	0
0.04	-2.6518e-17	0.046698	0	0	-30	0	0
0.05	-2.6518e-17	0.046698	0	0	-30	0	0
0.06	-2.6518e-17	0.046698	0	0	-30	0	0
0.07	0.0018308	0.046698	0	-0.0879	-30	0	0
0.08	-0.0001998	0.046698	0	-0.0879	-30	0	0
0.09	-0.00086518	0.046698	0	-0.0879	-30	0	0
0.1	0.0043735	0.046698	0.015114	0	-30	0	0
0.11	0.0041399	0.046698	0.026923	0	-30	0	0
0.12	0.0035746	0.010516	0.033896	0	-29.891	0	0
0.13	0.0029898	0.025263	0.038013	0	-29.891	0	0
0.14	0.007976	0.033971	0.055559	0	-29.891	0	0
0.15	0.0065459	0.039114	0.068803	0	-29.891	0	0
0.16	0.0053709	0.04215	0.076623	0	-29.891	0	0
0.17	0.010369	0.043943	0.089592	0	-29.891	0	0
0.18	0.0085067	0.045001	0.1069	0	-29.891	0	0
0.19	0.0069822	0.045627	0.11712	0	-29.891	0	0
0.2	0.01124	0.045996	0.13826	0	-29.891	0	0
0.21	0.0092274	0.046214	0.15364	0	-29.891	0	0
0.22	0.013541	0.046342	0.17106	0	-29.891	0	0
0.23	0.010763	0.0017899	0.191	0.0879	-29.782	0	0
0.24	0.016024	0.020041	0.20717	0.0879	-29.782	0	0
0.25	0.013627	0.030818	0.23032	0.0879	-29.782	0	0
0.26	0.016956	0.037182	0.24838	0.1758	-29.782	0	0
0.27	0.015341	0.04094	0.27265	0.1758	-29.782	0	0
0.28	0.019818	0.010579	0.28699	0.1758	-29.673	0	0
0.29	0.016468	0.025162	0.31345	0.2637	-29.673	0	0
0.3	0.020715	0.033772	0.34098	0.2637	-29.673	0	0
0.31	0.017938	0.038857	0.36333	0.2637	-29.673	0	0
0.32	0.020864	0.012521	0.38843	0.3516	-29.564	0	0
0.33	0.018814	0.026239	0.40935	0.3516	-29.564	0	0
0.34	0.021981	0.034339	0.4336	0.4395	-29.564	0	0
0.35	0.024636	0.0097833	0.45402	0.5274	-29.456	0	0
0.36	0.023327	0.024553	0.48407	0.5274	-29.456	0	0
0.37	0.02605	-0.002907	0.50621	0.6153	-29.347	0	0
0.38	0.024328	0.01699	0.53288	0.6153	-29.347	0	0
0.39	0.027367	-0.0038411	0.56055	0.7032	-29.238	0	0
0.4	0.025165	0.016369	0.58297	0.7032	-29.238	0	0
0.41	0.028437	-0.0078784	0.60812	0.7911	-29.129	0	0
0.42	0.031043	0.013916	0.63345	0.879	-29.129	0	0
0.43	0.027308	-0.0057953	0.66201	0.9669	-29.02	0	0
0.44	0.033031	0.015076	0.68328	0.9669	-29.02	0	0
0.45	0.029472	-0.0019383	0.70943	1.0548	-28.911	0	0
0.46	0.033546	-0.018897	0.73999	1.0548	-28.802	0	0
0.47	0.03676	0.0072011	0.76532	1.1427	-28.802	0	0
0.48	0.033072	-0.0067274	0.79387	1.2306	-28.693	0	0
0.49	0.036457	-0.025865	0.82265	1.3185	-28.584	0	0
0.5	0.034618	-0.041681	0.84572	1.3185	-28.475	0	0
0.51	0.037897	-0.0064609	0.87126	1.4064	-28.475	0	0
0.52	0.040173	-0.018244	0.90078	1.4943	-28.366	0	0
0.53	0.037852	-0.032874	0.92786	1.5822	-28.258	0	0
0.54	0.040453	-0.046028	0.9522	1.6701	-28.149	0	0
0.55	0.039336	-0.0092359	0.97622	1.6701	-28.149	0	0
0.56	0.041919	-0.020091	1.0055	1.758	-28.04	0	0
0.57	0.04549	-0.030171	1.0301	1.8459	-27.931	0	0
0.58	0.041525	-0.036193	1.0582	1.9338	-27.822	0	0
0.59	0.046423	-0.048265	1.0899	1.9338	-27.713	0	0
0.6	0.042423	-0.055463	1.1115	2.0217	-27.604	0	0
0.61	0.046343	-0.015155	1.1362	2.1096	-27.604	0	0
0.62	0.05126	-0.020692	1.1569	2.1096	-27.495	0	0
0.63	0.04785	-0.024031	1.1871	2.1975	-27.386	0	0
0.64	0.050245	-0.029313	1.2049	2.2854	-27.277	0	0
0.65	0.048783	-0.032502	1.2334	2.2854	-27.169	0	0
0.66	0.051409	-0.034454	1.2622	2.3733	-27.06	0	0
0.67	0.055464	-0.039277	1.2852	2.4612	-26.951	0	0
0.68	0.051078	-0.042195	1.3169	2.5491	-26.842	0	0
0.69	0.056712	-0.043987	1.3355	2.5491	-26.733	0	0
0.7	0.051806	-0.045115	1.3646	2.637	-26.624	0	0
0.71	0.056139	-0.04585	1.3817	2.7249	-26.515	0	0
0.72	0.054742	-0.046353	1.4098	2.7249	-26.406	0	0
0.73	0.058279	-0.04672	1.4308	2.8128	-26.297	0	0
0.74	0.055931	-0.047006	1.4568	2.8128	-26.189	0	0
0.75	0.059472	-0.047245	1.4722	2.9007	-26.08	0	0
0.76	0.057053	-0.047455	1.4992	2.9007	-25.971	0	0
0.77	0.060408	-0.047648	1.5236	2.9886	-25.862	0	0
0.78	0.057885	-0.044231	1.5476	2.9886	-25.753	0	0
0.79	0.060809	-0.042282	1.5769	3.0765	-25.644	0	0
0.8	0.058424	-0.03796	1.597	3.0765	-25.535	0	0
0.81	0.061696	-0.038718	1.6209	3.1644	-25.426	0	0
0.82	0.057547	-0.035994	1.641	3.2523	-25.317	0	0
0.83	0.062209	-0.034455	1.6648	3.3402	-25.208	0	0
0.84	0.059286	-0.078244	1.685	3.3402	-24.991	0	0
0.85	0.063758	-0.074901	1.7052	3.4281	-24.882	0	0
0.86	0.060982	-0.072996	1.7268	3.4281	-24.773	0	0
0.87	0.065197	-0.067495	1.7396	3.516	-24.664	0	0
0.88	0.062951	-0.068762	1.7651	3.516	-24.555	0	0
0.89	0.066301	-0.065134	1.7802	3.6039	-24.446	0	0
0.9	0.065781	-0.059059	1.8071	3.516	-24.337	0	0
0.91	0.068642	-0.055542	1.8274	3.6039	-24.228	0	0
0.92	0.066231	-0.049933	1.853	3.6039	-24.119	0	0
0.93	0.069939	-0.046691	1.8725	3.6918	-24.011	0	0
0.94	0.067498	-0.044845	1.8976	3.6918	-23.902	0	0
0.95	0.064685	-0.040584	1.9124	3.7797	-23.793	0	0
