t	u1	u2	lambda	p	e	u1opt	u2opt
0	-2.6518e-17	0.046698	0	0	-30	0	0
0.01	-2.6518e-17	0.046698	0	0	-30	0	0
0.02	-2.6518e-17	0.046698	0	0	-30	0	0
0.03	-2.6518e-17	0.046698	0	0	-30	0	0
0.04	-2.6518e-17	0.046698	0	0	-30	0	0
0.05	-2.6518e-17	0.046698	0	0	-30	0	0
0.06	-2.6518e-17	0.046698	0	0	-30	0	0
0.07	-2.6518e-17	0.046698	0	0	-30	0	0
0.08	-2.6518e-17	0.046698	0	0	-30	0	0
0.09	0.0064534	0.046698	0	0	-30	0	0
0.1	0.0052895	0.046698	0.017998	0	-30	0	0
0.11	0.0043343	0.046698	0.028626	0	-30	0	0
0.12	0.0035518	0.046698	0.034901	0	-30	0	0
0.13	0.0029116	0.046698	0.038607	0	-30	0	0
0.14	0.0078927	0.046698	0.055909	0	-30	0	0
0.15	0.0064714	0.046698	0.06901	0	-30	0	0
0.16	0.005308	0.046698	0.076746	0	-30	0	0
0.17	0.010085	0.046698	0.093224	0	-30	0	0
0.18	0.0082734	0.046698	0.10904	0	-30	0	0
0.19	0.012501	0.0065149	0.11838	0.0879	-29.891	0	0
0.2	0.011425	0.063083	0.1419	0.0879	-30	0	0
0.21	0.01541	0.016191	0.17089	0.0879	-29.891	0	0
0.22	0.012965	0.028614	0.1909	0.0879	-29.891	0	0
0.23	0.016113	0.03595	0.21107	0.1758	-29.891	0	0
0.24	0.014624	0.040282	0.23262	0.1758	-29.891	0	0
0.25	0.019214	0.04284	0.24535	0.1758	-29.891	0	0
0.26	0.014486	0.0081688	0.27086	0.2637	-29.782	0	0
0.27	0.020279	0.023808	0.29032	0.2637	-29.782	0	0
0.28	0.017808	0.033043	0.31542	0.2637	-29.782	0	0
0.29	0.021549	0.038496	0.33023	0.3516	-29.782	0	0
0.3	0.019391	-0.002913	0.35698	0.3516	-29.673	0	0
0.31	0.015248	0.017195	0.37278	0.4395	-29.673	0	0
0.32	0.020715	0.029068	0.39722	0.4395	-29.673	0	0
0.33	0.024484	-0.0085492	0.41893	0.5274	-29.564	0	0
0.34	0.022362	0.013797	0.44535	0.5274	-29.564	0	0
0.35	0.025606	0.026993	0.4693	0.6153	-29.564	0	0
0.36	0.021608	-0.0013971	0.49309	0.7032	-29.456	0	0
0.37	0.027017	0.017951	0.51905	0.7032	-29.456	0	0
0.38	0.023796	-0.010807	0.54047	0.7911	-29.347	0	0
0.39	0.027667	0.012325	0.56503	0.879	-29.347	0	0
0.4	0.031987	-0.018644	0.59752	0.879	-29.238	0	0
0.41	0.028868	0.0076281	0.6228	0.9669	-29.238	0	0
0.42	0.031027	-0.017041	0.64608	1.0548	-29.129	0	0
0.43	0.035097	0.0085052	0.66947	1.1427	-29.129	0	0
0.44	0.033451	-0.012591	0.70128	1.1427	-29.02	0	0
0.45	0.030571	0.011063	0.72006	1.2306	-29.02	0	0
0.46	0.032837	-0.004308	0.74627	1.3185	-28.911	0	0
0.47	0.037073	-0.028743	0.77654	1.4064	-28.802	0	0
0.48	0.035525	0.0013868	0.8005	1.4064	-28.802	0	0
0.49	0.038909	-0.013402	0.82656	1.4943	-28.693	0	0
0.5	0.041116	-0.029806	0.84803	1.5822	-28.584	0	0
0.51	0.039489	0.00062047	0.87871	1.5822	-28.584	0	0
0.52	0.043147	-0.010752	0.90122	1.6701	-28.475	0	0
0.53	0.040391	-0.024379	0.92812	1.758	-28.366	0	0
0.54	0.042976	-0.036496	0.95591	1.8459	-28.258	0	0
0.55	0.040192	-0.048167	0.97841	1.9338	-28.149	0	0
0.56	0.045285	-0.010499	1.0036	1.9338	-28.149	0	0
0.57	0.04877	-0.020837	1.029	2.0217	-28.04	0	0
0.58	0.044102	-0.02701	1.0575	2.1096	-27.931	0	0
0.59	0.048501	-0.038328	1.0828	2.1975	-27.822	0	0
0.6	0.04689	-0.04508	1.1073	2.1975	-27.713	0	0
0.61	0.050234	-0.053583	1.1337	2.2854	-27.604	0	0
0.62	0.046562	-0.014044	1.1554	2.3733	-27.604	0	0
0.63	0.051399	-0.020036	1.1801	2.3733	-27.495	0	0
0.64	0.048316	-0.023644	1.2008	2.4612	-27.386	0	0
0.65	0.051795	-0.025843	1.2249	2.5491	-27.277	0	0
0.66	0.048388	-0.027212	1.2452	2.637	-27.169	0	0
0.67	0.053798	-0.03133	1.2724	2.637	-27.06	0	0
0.68	0.050715	-0.033831	1.2913	2.7249	-26.951	0	0
0.69	0.054188	-0.038979	1.3143	2.8128	-26.842	0	0
0.7	0.053166	-0.038487	1.334	2.8128	-26.733	0	0
0.71	0.056739	-0.041867	1.3608	2.9007	-26.624	0	0
0.72	0.052864	-0.043932	1.3795	2.9886	-26.515	0	0
0.73	0.058431	-0.045221	1.4024	2.9886	-26.406	0	0
0.74	0.054876	-0.046052	1.422	3.0765	-26.297	0	0
0.75	0.060175	-0.04301	1.442	3.0765	-26.189	0	0
0.76	0.057282	-0.044885	1.4634	3.1644	-26.08	0	0
0.77	0.060448	-0.04246	1.488	3.2523	-25.971	0	0
0.78	0.05934	-0.041098	1.5086	3.2523	-25.862	0	0
0.79	0.061567	-0.040363	1.5291	3.3402	-25.753	0	0
0.8	0.060643	-0.039998	1.5508	3.3402	-25.644	0	0
0.81	0.063761	-0.039852	1.5681	3.4281	-25.535	0	0
0.82	0.062387	-0.036594	1.5919	3.4281	-25.426	0	0
0.83	0.064721	-0.079369	1.6103	3.516	-25.208	0	0
0.84	0.063668	-0.030798	1.6348	3.516	-25.208	0	0
0.85	0.066688	-0.076085	1.6536	3.6039	-24.991	0	0
0.86	0.065238	-0.073626	1.6784	3.6039	-24.882	0	0
0.87	0.06776	-0.072243	1.693	3.6918	-24.773	0	0
0.88	0.066612	-0.071496	1.7196	3.6918	-24.664	0	0
0.89	0.062748	-0.066679	1.7353	3.7797	-24.555	0	0
0.9	0.068486	-0.063904	1.7565	3.7797	-24.446	0	0
0.91	0.06635	-0.058333	1.7751	3.7797	-24.337	0	0
0.92	0.070336	-0.059114	1.7861	3.8676	-24.228	0	0
0.93	0.068369	-0.055644	1.8106	3.8676	-24.119	0	0
0.94	0.065853	-0.050063	1.8251	3.9555	-24.011	0	0
0.95	0.064948	-0.050438	1.8336	3.9555	-23.902	0	0
0.96	0.068859	-0.047127	1.847	4.0434	-23.793	0	0
