t	u1	u2	lambda	p	e	u1opt	u2opt
0	-2.6518e-17	0.046698	0	0	-30	0	0
0.01	-2.6518e-17	0.046698	0	0	-30	0	0
0.02	-2.6518e-17	0.046698	0	0	-30	0	0
0.03	-2.6518e-17	0.046698	0	0	-30	0	0
0.04	-2.6518e-17	0.046698	0	0	-30	0	0
0.05	0.00074349	0.046698	0	-0.0879	-30	0	0
0.06	-0.00055608	0.046698	0	-0.0879	-30	0	0
0.07	-0.00098193	0.046698	0	-0.0879	-30	0	0
0.08	-0.0011215	0.046698	0	-0.0879	-30	0	0
0.09	0.0045606	0.046698	0.01191	-0.0879	-30	0	0
0.1	0.0035116	0.046698	0.025031	-0.0879	-30	0	0
0.11	0.0026591	0.046698	0.032778	-0.0879	-30	0	0
0.12	0.0019637	0.046698	0.037353	-0.0879	-30	0	0
0.13	0.0071237	0.046698	0.051965	-0.0879	-30	0	0
0.14	0.005626	0.046698	0.066681	-0.0879	-30	0	0
0.15	0.0043998	0.046698	0.07537	-0.0879	-30	0	0
0.16	0.0095991	0.0065149	0.084896	-0.0879	-29.891	0	0
0.17	0.0076608	0.022901	0.10412	-0.0879	-29.891	0	0
0.18	0.0042429	0.032576	0.11548	0	-29.891	0	0
0.19	0.010703	0.03829	0.13409	0	-29.891	0	0
0.2	0.009274	0.041663	0.15117	0	-29.891	0	0
0.21	0.013506	0.043656	0.17317	0	-29.891	0	0
0.22	0.011143	0.044832	0.19224	0	-29.891	0	0
0.23	0.015134	0.045526	0.21186	0	-29.891	0	0
0.24	0.012438	0.045937	0.23309	0	-29.891	0	0
0.25	0.008398	0.013599	0.24562	0.0879	-29.782	0	0
0.26	0.014126	0.027014	0.26814	0.0879	-29.782	0	0
0.27	0.018523	0.034936	0.28872	0.0879	-29.782	0	0
0.28	0.013772	0.039614	0.31447	0.1758	-29.782	0	0
0.29	0.019507	0.042376	0.33407	0.1758	-29.782	0	0
0.3	0.016978	0.0078254	0.35925	0.1758	-29.673	0	0
0.31	0.013344	0.023536	0.37411	0.2637	-29.673	0	0
0.32	0.018395	0.032812	0.39801	0.2637	-29.673	0	0
0.33	0.021427	0.0021089	0.415	0.3516	-29.564	0	0
0.34	0.01982	0.020091	0.44303	0.3516	-29.564	0	0
0.35	0.021991	0.030709	0.46398	0.4395	-29.564	0	0
0.36	0.020814	0.0043985	0.48995	0.4395	-29.456	0	0
0.37	0.024131	0.021373	0.5172	0.5274	-29.456	0	0
0.38	0.022101	-0.0047846	0.53937	0.5274	-29.347	0	0
0.39	0.025272	0.015881	0.56758	0.6153	-29.347	0	0
0.4	0.021206	-0.012098	0.58712	0.7032	-29.238	0	0
0.41	0.026439	0.011493	0.61378	0.7032	-29.238	0	0
0.42	0.029051	-0.010757	0.63679	0.7911	-29.129	0	0
0.43	0.027247	0.012216	0.66399	0.7911	-29.129	0	0
0.44	0.030764	-0.0104	0.6884	0.879	-29.02	0	0
0.45	0.027035	0.012357	0.71246	0.9669	-29.02	0	0
0.46	0.030004	-0.003544	0.73857	1.0548	-28.911	0	0
0.47	0.035483	-0.023846	0.76448	1.0548	-28.802	0	0
0.48	0.031237	0.0042784	0.79338	1.1427	-28.802	0	0
0.49	0.034947	-0.011694	0.82235	1.2306	-28.693	0	0
0.5	0.033234	-0.028798	0.84555	1.2306	-28.584	0	0
0.51	0.036262	0.0012158	0.87116	1.3185	-28.584	0	0
0.52	0.038667	-0.0104	0.89237	1.4064	-28.475	0	0
0.53	0.037111	-0.024171	0.92289	1.4064	-28.366	0	0
0.54	0.040738	-0.036374	0.94091	1.4943	-28.258	0	0
0.55	0.037848	-0.048094	0.96955	1.5822	-28.149	0	0
0.56	0.04091	-0.010456	0.99481	1.6701	-28.149	0	0
0.57	0.039376	-0.020811	1.0194	1.6701	-28.04	0	0
0.58	0.042693	-0.026996	1.0422	1.758	-27.931	0	0
0.59	0.039708	-0.038319	1.0654	1.8459	-27.822	0	0
0.6	0.044283	-0.045075	1.091	1.8459	-27.713	0	0
0.61	0.04142	-0.053579	1.1121	1.9338	-27.604	0	0
0.62	0.043572	-0.014042	1.1366	2.0217	-27.604	0	0
0.63	0.042646	-0.020035	1.1571	2.0217	-27.495	0	0
0.64	0.045493	-0.023643	1.1843	2.1096	-27.386	0	0
0.65	0.048478	-0.029084	1.2033	2.1975	-27.277	0	0
0.66	0.046019	-0.029125	1.2325	2.2854	-27.169	0	0
0.67	0.051592	-0.03246	1.2541	2.2854	-27.06	0	0
0.68	0.047529	-0.034499	1.2805	2.3733	-26.951	0	0
0.69	0.0524	-0.039373	1.3044	2.3733	-26.842	0	0
0.7	0.049153	-0.03872	1.3282	2.4612	-26.733	0	0
0.71	0.052984	-0.042004	1.3466	2.5491	-26.624	0	0
0.72	0.051227	-0.044013	1.3711	2.5491	-26.515	0	0
0.73	0.055108	-0.045269	1.3899	2.637	-26.406	0	0
0.74	0.050859	-0.04608	1.4147	2.7249	-26.297	0	0
0.75	0.056868	-0.043027	1.4293	2.7249	-26.189	0	0
0.76	0.05344	-0.044895	1.4559	2.8128	-26.08	0	0
0.77	0.052164	-0.042466	1.4716	2.8128	-25.971	0	0
0.78	0.055732	-0.041101	1.4928	2.9007	-25.862	0	0
0.79	0.052789	-0.040365	1.5114	2.9886	-25.753	0	0
0.8	0.058621	-0.036758	1.5268	2.9886	-25.644	0	0
0.81	0.055855	-0.037939	1.5495	3.0765	-25.535	0	0
0.82	0.052769	-0.035465	1.5629	3.1644	-25.426	0	0
0.83	0.058663	-0.034073	1.5859	3.1644	-25.317	0	0
0.84	0.055566	-0.033321	1.6024	3.2523	-25.208	0	0
0.85	0.061472	-0.077574	1.6165	3.2523	-24.991	0	0
0.86	0.058445	-0.074506	1.6385	3.3402	-24.882	0	0
0.87	0.064026	-0.072763	1.6514	3.3402	-24.773	0	0
0.88	0.060671	-0.067357	1.6771	3.4281	-24.664	0	0
0.89	0.059592	-0.064235	1.6922	3.4281	-24.555	0	0
0.9	0.057251	-0.06246	1.7012	3.516	-24.446	0	0
0.91	0.063214	-0.057481	1.7108	3.516	-24.337	0	0
0.92	0.060444	-0.058611	1.7301	3.6039	-24.228	0	0
0.93	0.059852	-0.055347	1.7416	3.6039	-24.119	0	0
0.94	0.063639	-0.053488	1.7602	3.6918	-24.011	0	0
