t	u1	u2	lambda	p	e	u1opt	u2opt
0	-2.6518e-17	0.046698	0	0	-30	0	0
0.01	-2.6518e-17	0.046698	0	0	-30	0	0
0.02	0.00035689	0.046698	0	-0.0879	-30	0	0
0.03	-0.00068276	0.046698	0	-0.0879	-30	0	0
0.04	-0.0010234	0.046698	0	-0.0879	-30	0	0
0.05	-0.0011351	0.046698	0	-0.0879	-30	0	0
0.06	-0.0011716	0.046698	0	-0.0879	-30	0	0
0.07	0.0050184	0.046698	0.004395	-0.0879	-30	0	0
0.08	0.0038955	0.046698	0.020593	-0.0879	-30	0	0
0.09	0.0029762	0.046698	0.030158	-0.0879	-30	0	0
0.1	0.002224	0.046698	0.035806	-0.0879	-30	0	0
0.11	0.0016089	0.010516	0.039141	-0.0879	-29.891	0	0
0.12	0.0068342	0.025263	0.053021	-0.0879	-29.891	0	0
0.13	0.0053897	0.033971	0.067304	-0.0879	-29.891	0	0
0.14	0.004207	0.039114	0.075738	-0.0879	-29.891	0	0
0.15	0.0092	0.04215	0.089069	-0.0879	-29.891	0	0
0.16	0.0073339	0.043943	0.10659	-0.0879	-29.891	0	0
0.17	0.0058063	0.045001	0.11693	-0.0879	-29.891	0	0
0.18	0.010759	0.045627	0.12744	-0.0879	-29.891	0	0
0.19	0.0086196	0.045996	0.14724	-0.0879	-29.891	0	0
0.2	0.013322	0.046214	0.15894	-0.0879	-29.891	0	0
0.21	0.010726	0.046342	0.18384	-0.0879	-29.891	0	0
0.22	0.0073737	0.046418	0.19855	0	-29.891	0	0
0.23	0.012765	0.010282	0.22234	0	-29.782	0	0
0.24	0.010883	0.025056	0.23928	0	-29.782	0	0
0.25	0.015044	0.033779	0.25763	0	-29.782	0	0
0.26	0.010581	0.038931	0.27811	0.0879	-29.782	0	0
0.27	0.016391	0.041972	0.29856	0.0879	-29.782	0	0
0.28	0.01419	-0.00085997	0.32028	0.0879	-29.673	0	0
0.29	0.018261	0.018407	0.3375	0.0879	-29.673	0	0
0.3	0.014937	0.029784	0.36127	0.1758	-29.673	0	0
0.31	0.019715	0.036502	0.3797	0.1758	-29.673	0	0
0.32	0.015082	-0.0041596	0.40419	0.2637	-29.564	0	0
0.33	0.020153	0.016389	0.43377	0.2637	-29.564	0	0
0.34	0.015924	0.028523	0.45411	0.3516	-29.564	0	0
0.35	0.021154	-0.0044946	0.48124	0.3516	-29.456	0	0
0.36	0.022959	0.016122	0.50849	0.4395	-29.456	0	0
0.37	0.021651	0.028296	0.53423	0.4395	-29.456	0	0
0.38	0.0242	0.0061454	0.55778	0.5274	-29.347	0	0
0.39	0.022599	0.022335	0.58134	0.5274	-29.347	0	0
0.4	0.025831	-0.00068472	0.61036	0.6153	-29.238	0	0
0.41	0.023552	0.018233	0.63038	0.6153	-29.238	0	0
0.42	0.026639	-0.0031766	0.65732	0.7032	-29.129	0	0
0.43	0.029835	0.016692	0.6805	0.7911	-29.129	0	0
0.44	0.027704	-0.00091486	0.70779	0.7911	-29.02	0	0
0.45	0.03039	-0.02667	0.73226	0.879	-28.911	0	0
0.46	0.026457	0.0026803	0.75636	0.9669	-28.911	0	0
0.47	0.031775	-0.012569	0.78249	0.9669	-28.802	0	0
0.48	0.028819	-0.029245	0.80402	1.0548	-28.693	0	0
0.49	0.031608	0.0010214	0.83184	1.1427	-28.693	0	0
0.5	0.035886	-0.013687	0.86627	1.1427	-28.584	0	0
0.51	0.032528	-0.03449	0.88948	1.2306	-28.475	0	0
0.52	0.035931	-0.0022146	0.9183	1.3185	-28.475	0	0
0.53	0.038669	-0.015737	0.94655	1.4064	-28.366	0	0
0.54	0.036876	-0.027392	0.97288	1.4064	-28.258	0	0
0.55	0.040225	-0.042791	0.99283	1.4943	-28.149	0	0
0.56	0.035939	-0.051953	1.0182	1.5822	-28.04	0	0
0.57	0.039842	-0.012804	1.0451	1.6701	-28.04	0	0
0.58	0.038748	-0.025868	1.0671	1.6701	-27.931	0	0
0.59	0.04165	-0.033652	1.092	1.758	-27.822	0	0
0.6	0.045785	-0.042319	1.1211	1.758	-27.713	0	0
0.61	0.042406	-0.051952	1.1479	1.8459	-27.604	0	0
0.62	0.045943	-0.05771	1.1757	1.9338	-27.495	0	0
0.63	0.048727	-0.016551	1.1982	2.0217	-27.495	0	0
0.64	0.046623	-0.021586	1.2295	2.0217	-27.386	0	0
0.65	0.049629	-0.024628	1.2479	2.1096	-27.277	0	0
0.66	0.047929	-0.026494	1.2768	2.1096	-27.169	0	0
0.67	0.049687	-0.030906	1.2983	2.2854	-27.06	0	0
0.68	0.048419	-0.033581	1.3246	2.2854	-26.951	0	0
0.69	0.051884	-0.038831	1.3401	2.3733	-26.842	0	0
0.7	0.04979	-0.042001	1.3672	2.3733	-26.733	0	0
0.71	0.046954	-0.043942	1.3833	2.4612	-26.624	0	0
0.72	0.051173	-0.045157	1.4079	2.5491	-26.515	0	0
0.73	0.053781	-0.045945	1.4297	2.637	-26.406	0	0
0.74	0.05265	-0.046479	1.4561	2.637	-26.297	0	0
0.75	0.049305	-0.046864	1.4718	2.7249	-26.189	0	0
0.76	0.054313	-0.043559	1.4961	2.7249	-26.08	0	0
0.77	0.05745	-0.045278	1.5178	2.8128	-25.971	0	0
0.78	0.055431	-0.042762	1.5441	2.8128	-25.862	0	0
0.79	0.058887	-0.041345	1.5641	2.9007	-25.753	0	0
0.8	0.056568	-0.040578	1.5895	2.9886	-25.644	0	0
0.81	0.059575	-0.040195	1.6045	3.0765	-25.535	0	0
0.82	0.058522	-0.040038	1.6314	3.0765	-25.426	0	0
0.83	0.054637	-0.036773	1.6472	3.1644	-25.317	0	0
0.84	0.060103	-0.038156	1.6717	3.1644	-25.208	0	0
0.85	0.056126	-0.035801	1.6891	3.2523	-25.099	0	0
0.86	0.061763	-0.03448	1.7112	3.2523	-24.991	0	0
0.87	0.057709	-0.078398	1.7304	3.3402	-24.773	0	0
0.88	0.063759	-0.075131	1.7461	3.3402	-24.664	0	0
0.89	0.059572	-0.068825	1.769	3.4281	-24.555	0	0
0.9	0.05931	-0.065171	1.7825	3.4281	-24.446	0	0
0.91	0.061656	-0.063083	1.8056	3.516	-24.337	0	0
0.92	0.061244	-0.057918	1.8221	3.516	-24.228	0	0
0.93	0.065994	-0.054937	1.8362	3.516	-24.119	0	0
