t	u1	u2	lambda	p	e	u1opt	u2opt
0	0	0	0	0	-30	0	0
0.01	0	0	0	0	-30	0	0
0.02	0	0	0	0	-30	0	0
0.03	0	0	0	0	-30	0	0
0.04	0	0	0	0	-30	0	0
0.05	0	0	0	-0.0879	-30	0	0
0.06	0	0	0	-0.0879	-30	0	0
0.07	0	0	0	-0.0879	-30	0	0
0.08	0	0	0	-0.0879	-30	0	0
0.09	0	0	0	-0.0879	-30	0	0
0.1	0	0	0.017998	0	-30	0	0
0.11	0	0	0.028626	0	-30	0	0
0.12	0	0	0.034901	0	-30	0	0
0.13	0	0	0.038607	0	-30	0	0
0.14	0	0	0.04519	0	-30	0	0
0.15	0	0	0.06268	0	-30	0	0
0.16	0	0	0.073008	0	-30	0	0
0.17	0	0	0.083501	0	-30	0	0
0.18	0	0	0.1033	0	-30	0	0
0.19	0	0	0.11499	0	-30	0	0
0.2	0	0	0.13381	0.0879	-30	0	0
0.21	0	0	0.151	0.0879	-29.891	0	0
0.22	0	0	0.16116	0.0879	-29.891	0	0
0.23	0	0	0.18515	0.0879	-29.891	0	0
0.24	0	0	0.19932	0.0879	-29.891	0	0
0.25	0	0	0.2228	0.1758	-29.891	0	0
0.26	0	0	0.23955	0.1758	-29.891	0	0
0.27	0	0	0.26135	0.1758	-29.891	0	0
0.28	0	0	0.28031	0.2637	-29.782	0	0
0.29	0	0	0.29986	0.2637	-29.782	0	0
0.3	0	0	0.32105	0.2637	-29.782	0	0
0.31	0	0	0.34191	0.3516	-29.782	0	0
0.32	0	0	0.36388	0.3516	-29.673	0	0
0.33	0	0	0.38124	0.4395	-29.673	0	0
0.34	0	0	0.4051	0.4395	-29.673	0	0
0.35	0	0	0.41919	0.5274	-29.673	0	0
0.36	0	0	0.4455	0.5274	-29.564	0	0
0.37	0	0	0.46104	0.6153	-29.564	0	0
0.38	0	0	0.48822	0.6153	-29.564	0	0
0.39	0	0	0.52226	0.7032	-29.456	0	0
0.4	0	0	0.54236	0.7032	-29.456	0	0
0.41	0	0	0.56935	0.7911	-29.347	0	0
0.42	0	0	0.58817	0.7911	-29.347	0	0
0.43	0	0	0.61119	0.879	-29.347	0	0
0.44	0	0	0.63922	0.879	-29.238	0	0
0.45	0	0	0.66542	0.9669	-29.238	0	0
0.46	0	0	0.6928	0.9669	-29.129	0	0
0.47	0	0	0.71506	1.1427	-29.129	0	0
0.48	0	0	0.74331	1.1427	-29.02	0	0
0.49	0	0	0.76288	1.2306	-28.911	0	0
0.5	0	0	0.78635	1.2306	-28.911	0	0
0.51	0	0	0.80629	1.3185	-28.802	0	0
0.52	0	0	0.83318	1.3185	-28.693	0	0
0.53	0	0	0.8603	1.4064	-28.693	0	0
0.54	0	0	0.88595	1.4064	-28.584	0	0
0.55	0	0	0.91301	1.4943	-28.584	0	0
0.56	0	0	0.93508	1.4943	-28.475	0	0
0.57	0	0	0.96323	1.5822	-28.366	0	0
0.58	0	0	0.98273	1.5822	-28.258	0	0
0.59	0	0	1.0122	1.6701	-28.258	0	0
0.6	0	0	1.0341	1.758	-28.149	0	0
0.61	0	0	1.0606	1.758	-28.04	0	0
0.62	0	0	1.0845	1.8459	-27.931	0	0
0.63	0	0	1.1084	1.8459	-27.822	0	0
0.64	0	0	1.1343	1.9338	-27.713	0	0
0.65	0	0	1.1558	1.9338	-27.713	0	0
0.66	0	0	1.1835	1.9338	-27.604	0	0
0.67	0	0	1.2112	2.0217	-27.495	0	0
0.68	0	0	1.2371	2.1096	-27.386	0	0
0.69	0	0	1.2644	2.1096	-27.277	0	0
0.7	0	0	1.2865	2.1096	-27.169	0	0
0.71	0	0	1.3147	2.1975	-27.06	0	0
0.72	0	0	1.3343	2.1975	-26.951	0	0
0.73	0	0	1.3609	2.2854	-26.842	0	0
0.74	0	0	1.3795	2.2854	-26.733	0	0
0.75	0	0	1.4085	2.2854	-26.624	0	0
0.76	0	0	1.4257	2.3733	-26.515	0	0
0.77	0	0	1.4538	2.3733	-26.406	0	0
0.78	0	0	1.4748	2.3733	-26.297	0	0
0.79	0	0	1.5008	2.3733	-26.189	0	0
0.8	0	0	1.5245	2.4612	-26.08	0	0
0.81	0	0	1.5481	2.4612	-25.971	0	0
0.82	0	0	1.5801	2.4612	-25.862	0	0
0.83	0	0	1.6033	2.5491	-25.753	0	0
0.84	0	0	1.6307	2.5491	-25.644	0	0
0.85	0	0	1.6512	2.5491	-25.535	0	0
0.86	0	0	1.6769	2.5491	-25.426	0	0
0.87	0	0	1.7005	2.5491	-25.317	0	0
0.88	0	0	1.724	2.637	-25.208	0	0
0.89	0	0	1.7463	2.637	-25.099	0	0
0.9	0	0	1.7691	2.637	-24.991	0	0
0.91	0	0	1.7909	2.637	-24.773	0	0
0.92	0	0	1.8134	2.637	-24.664	0	0
0.93	0	0	1.8351	2.637	-24.555	0	0
0.94	0	0	1.8575	2.7249	-24.446	0	0
0.95	0	0	1.8751	2.7249	-24.337	0	0
0.96	0	0	1.8992	2.7249	-24.228	0	0
0.97	0	0	1.9177	2.7249	-24.119	0	0
0.98	0	0	1.9423	2.7249	-23.902	0	0
0.99	0	0	1.9568	2.7249	-23.793	0	0
1	0	0	1.9834	2.7249	-23.684	0	0
1.01	0	0	1.9991	2.7249	-23.575	0	0
1.02	0	0	2.0263	2.7249	-23.466	0	0
1.03	0	0	2.0424	2.7249	-23.357	0	0
1.04	0	0	2.0671	2.7249	-23.248	0	0
1.05	0	0	2.0845	2.7249	-23.03	0	0
1.06	0	0	2.1067	2.7249	-22.922	0	0
1.07	0	0	2.1259	2.7249	-22.813	0	0
1.08	0	0	2.1456	2.7249	-22.704	0	0
1.09	0	0	2.1668	2.7249	-22.595	0	0
1.1	0	0	2.1838	2.7249	-22.486	0	0
1.11	0	0	2.2074	2.7249	-22.268	0	0
1.12	0	0	2.2213	2.7249	-22.159	0	0
1.13	0	0	2.2447	2.7249	-22.05	0	0
1.14	0	0	2.2614	2.7249	-21.941	0	0
1.15	0	0	2.2831	2.7249	-21.832	0	0
1.16	0	0	2.302	2.7249	-21.615	0	0
1.17	0	0	2.3216	2.7249	-21.506	0	0
1.18	0	0	2.3428	2.7249	-21.397	0	0
1.19	0	0	2.3553	2.7249	-21.288	0	0
1.2	0	0	2.3806	2.7249	-21.179	0	0
1.21	0	0	2.3956	2.7249	-21.07	0	0
1.22	0	0	2.4164	2.7249	-20.961	0	0
1.23	0	0	2.4347	2.637	-20.744	0	0
1.24	0	0	2.4539	2.637	-20.635	0	0
1.25	0	0	2.4749	2.637	-20.526	0	0
1.26	0	0	2.4873	2.637	-20.417	0	0
1.27	0	0	2.5126	2.637	-20.308	0	0
1.28	0	0	2.5275	2.637	-20.199	0	0
1.29	0	0	2.5483	2.637	-20.09	0	0
1.3	0	0	2.5666	2.637	-19.981	0	0
1.31	0	0	2.5774	2.637	-19.763	0	0
1.32	0	0	2.5882	2.5491	-19.654	0	0
1.33	0	0	2.6082	2.5491	-19.546	0	0
1.34	0	0	2.62	2.5491	-19.437	0	0
1.35	0	0	2.6421	2.5491	-19.328	0	0
1.36	0	0	2.658	2.5491	-19.219	0	0
1.37	0	0	2.6757	2.5491	-19.11	0	0
1.38	0	0	2.6959	2.4612	-19.001	0	0
1.39	0	0	2.7078	2.4612	-18.892	0	0
1.4	0	0	2.7328	2.4612	-18.783	0	0
1.41	0	0	2.7475	2.4612	-18.674	0	0
1.42	0	0	2.7682	2.4612	-18.566	0	0
1.43	0	0	2.7865	2.4612	-18.457	0	0
1.44	0	0	2.8016	2.4612	-18.348	0	0
1.45	0	0	2.8242	2.4612	-18.239	0	0
1.46	0	0	2.8375	2.3733	-18.13	0	0
1.47	0	0	2.8605	2.3733	-18.021	0	0
1.48	0	0	2.877	2.3733	-17.912	0	0
1.49	0	0	2.895	2.3733	-17.803	0	0
1.5	0	0	2.9154	2.3733	-17.585	0	0
1.51	0	0	2.9274	2.3733	-17.585	0	0
1.52	0	0	2.9524	2.2854	-17.477	0	0
1.53	0	0	2.9672	2.2854	-17.368	0	0
1.54	0	0	2.9879	2.2854	-17.259	0	0
1.55	0	0	3.0062	2.2854	-17.15	0	0
1.56	0	0	3.0214	2.2854	-17.041	0	0
1.57	0	0	3.044	2.2854	-16.932	0	0
1.58	0	0	3.0573	2.2854	-16.823	0	0
1.59	0	0	3.0803	2.2854	-16.714	0	0
1.6	0	0	3.0967	2.2854	-16.605	0	0
1.61	0	0	3.1108	2.2854	-16.605	0	0
1.62	0	0	3.1328	2.2854	-16.388	0	0
1.63	0	0	3.1457	2.1975	-16.388	0	0
1.64	0	0	3.1714	2.1975	-16.279	0	0
1.65	0	0	3.1865	2.1975	-16.17	0	0
1.66	0	0	3.2038	2.1975	-16.061	0	0
1.67	0	0	3.2237	2.1975	-15.952	0	0
1.68	0	0	3.2398	2.1975	-15.843	0	0
1.69	0	0	3.2629	2.1975	-15.843	0	0
1.7	0	0	3.2766	2.1975	-15.734	0	0
1.71	0	0	3.293	2.1975	-15.625	0	0
1.72	0	0	3.3123	2.1975	-15.516	0	0
1.73	0	0	3.3281	2.1975	-15.516	0	0
1.74	0	0	3.3511	2.1975	-15.407	0	0
1.75	0	0	3.3646	2.1975	-15.299	0	0
1.76	0	0	3.3877	2.1975	-15.19	0	0
1.77	0	0	3.4043	2.1975	-15.19	0	0
1.78	0	0	3.414	2.1975	-15.081	0	0
1.79	0	0	3.4317	2.1975	-14.972	0	0
1.8	0	0	3.4482	2.1975	-14.863	0	0
1.81	0	0	3.4624	2.1975	-14.863	0	0
1.82	0	0	3.4843	2.2854	-14.754	0	0
1.83	0	0	3.4973	2.1975	-14.645	0	0
1.84	0	0	3.523	2.2854	-14.645	0	0
1.85	0	0	3.5381	2.2854	-14.536	0	0
1.86	0	0	3.5622	2.2854	-14.427	0	0
1.87	0	0	3.5793	2.2854	-14.427	0	0
1.88	0	0	3.5977	2.2854	-14.318	0	0
1.89	0	0	3.6182	2.2854	-14.21	0	0
1.9	0	0	3.6304	2.2854	-14.21	0	0
1.91	0	0	3.6555	2.2854	-14.101	0	0
1.92	0	0	3.6704	2.2854	-14.101	0	0
1.93	0	0	3.6943	2.2854	-13.992	0	0
1.94	0	0	3.7113	2.2854	-13.883	0	0
1.95	0	0	3.7332	2.2854	-13.883	0	0
1.96	0	0	3.7522	2.3733	-13.774	0	0
1.97	0	0	3.7718	2.2854	-13.774	0	0
1.98	0	0	3.7931	2.3733	-13.665	0	0
1.99	0	0	3.8056	2.3733	-13.665	0	0
2	0	0	3.831	2.3733	-13.556	0	0
2.01	0	0	3.846	2.3733	-13.556	0	0
2.02	0	0	3.8592	2.3733	-13.447	0	0
2.03	0	0	3.8807	2.3733	-13.447	0	0
