t	u1	u2	lambda	p	e	u1opt	u2opt
0	0	0	0	0	-30	0	0
0.01	0	0	0	0	-30	0	0
0.02	0	0	0	0	-30	0	0
0.03	0	0	0	0	-30	0	0
0.04	0	0	0	0	-30	0	0
0.05	0	0	0	-0.0879	-30	0	0
0.06	0	0	0	-0.0879	-30	0	0
0.07	0	0	0	-0.0879	-30	0	0
0.08	0	0	0	-0.0879	-30	0	0
0.09	0	0	0.0044	-0.0879	-30	0	0
0.1	0	0	0.020617	-0.0879	-30	0	0
0.11	0	0	0.030192	-0.0879	-30	0	0
0.12	0	0	0.035847	-0.0879	-30	0	0
0.13	0	0	0.039186	-0.0879	-30	0	0
0.14	0	0	0.053081	-0.0879	-30	0	0
0.15	0	0	0.067381	-0.0879	-30	0	0
0.16	0	0	0.075825	0	-30	0	0
0.17	0	0	0.080811	0	-29.895	0	0
0.18	0	0	0.095679	0	-29.895	0	0
0.19	0	0	0.11055	0	-29.895	0	0
0.2	0	0	0.11934	0	-29.895	0	0
0.21	0	0	0.13645	0.0879	-29.895	0	0
0.22	0	0	0.15264	0.0879	-29.895	0	0
0.23	0	0	0.16221	0.0879	-29.895	0	0
0.24	0	0	0.17978	0.0879	-29.895	0	0
0.25	0	0	0.19625	0.0879	-29.895	0	0
0.26	0	0	0.21038	0.1758	-29.895	0	0
0.27	0	0	0.23234	0.1758	-29.895	0	0
0.28	0	0	0.2453	0.1758	-29.895	0	0
0.29	0	0	0.26488	0.1758	-29.79	0	0
0.3	0	0	0.28254	0.1758	-29.79	0	0
0.31	0	0	0.29297	0.1758	-29.79	0	0
0.32	0	0	0.31425	0.2637	-29.79	0	0
0.33	0	0	0.32971	0.2637	-29.79	0	0
0.34	0	0	0.35076	0.2637	-29.79	0	0
0.35	0	0	0.36929	0.2637	-29.685	0	0
0.36	0	0	0.38023	0.3516	-29.685	0	0
0.37	0	0	0.4047	0.3516	-29.685	0	0
0.38	0	0	0.41916	0.3516	-29.685	0	0
0.39	0	0	0.42769	0.3516	-29.58	0	0
0.4	0	0	0.45075	0.4395	-29.58	0	0
0.41	0	0	0.46437	0.4395	-29.58	0	0
0.42	0	0	0.49043	0.5274	-29.475	0	0
0.43	0	0	0.50581	0.5274	-29.475	0	0
0.44	0	0	0.52326	0.5274	-29.475	0	0
0.45	0	0	0.54322	0.6153	-29.37	0	0
0.46	0	0	0.5594	0.6153	-29.37	0	0
0.47	0	0	0.58258	0.6153	-29.265	0	0
0.48	0	0	0.59627	0.6153	-29.265	0	0
0.49	0	0	0.61627	0.7032	-29.16	0	0
0.5	0	0	0.63418	0.7032	-29.16	0	0
0.51	0	0	0.64915	0.7032	-29.16	0	0
0.52	0	0	0.67161	0.7032	-29.055	0	0
0.53	0	0	0.68488	0.7911	-28.95	0	0
0.54	0	0	0.71073	0.7911	-28.95	0	0
0.55	0	0	0.72599	0.7911	-28.845	0	0
0.56	0	0	0.75013	0.879	-28.845	0	0
0.57	0	0	0.76728	0.879	-28.74	0	0
0.58	0	0	0.78933	0.879	-28.74	0	0
0.59	0	0	0.80844	0.879	-28.635	0	0
0.6	0	0	0.81973	0.879	-28.53	0	0
0.61	0	0	0.84441	0.9669	-28.53	0	0
0.62	0	0	0.85898	0.9669	-28.425	0	0
0.63	0	0	0.87951	0.9669	-28.32	0	0
0.64	0	0	0.89773	0.9669	-28.32	0	0
0.65	0	0	0.92041	0.9669	-28.215	0	0
0.66	0	0	0.9399	0.9669	-28.11	0	0
0.67	0	0	0.95581	0.9669	-28.005	0	0
0.68	0	0	0.97882	1.0548	-28.005	0	0
0.69	0	0	0.99241	0.9669	-27.9	0	0
0.7	0	0	1.0124	1.0548	-27.795	0	0
0.71	0	0	1.0302	0.9669	-27.69	0	0
0.72	0	0	1.0452	1.0548	-27.585	0	0
0.73	0	0	1.0676	0.9669	-27.48	0	0
0.74	0	0	1.0809	1.0548	-27.48	0	0
0.75	0	0	1.1067	0.9669	-27.375	0	0
0.76	0	0	1.122	1.0548	-27.27	0	0
0.77	0	0	1.1461	0.9669	-27.165	0	0
0.78	0	0	1.1633	0.9669	-27.06	0	0
0.79	0	0	1.1734	0.9669	-26.955	0	0
0.8	0	0	1.1974	0.9669	-26.85	0	0
0.81	0	0	1.2116	0.9669	-26.745	0	0
0.82	0	0	1.2351	0.9669	-26.64	0	0
0.83	0	0	1.2518	0.9669	-26.535	0	0
0.84	0	0	1.2701	0.9669	-26.43	0	0
0.85	0	0	1.2905	0.9669	-26.325	0	0
0.86	0	0	1.307	0.879	-26.22	0	0
0.87	0	0	1.3303	0.9669	-26.115	0	0
0.88	0	0	1.3441	0.879	-26.01	0	0
0.89	0	0	1.3567	0.879	-25.905	0	0
0.9	0	0	1.3777	0.879	-25.8	0	0
0.91	0	0	1.3901	0.879	-25.695	0	0
0.92	0	0	1.4126	0.879	-25.59	0	0
0.93	0	0	1.4287	0.879	-25.485	0	0
0.94	0	0	1.4502	0.7911	-25.38	0	0
0.95	0	0	1.4689	0.879	-25.275	0	0
0.96	0	0	1.48	0.7911	-25.17	0	0
0.97	0	0	1.4985	0.7911	-25.065	0	0
0.98	0	0	1.5155	0.7911	-24.96	0	0
0.99	0	0	1.5255	0.7911	-24.855	0	0
1	0	0	1.5495	0.7911	-24.645	0	0
1.01	0	0	1.5636	0.7911	-24.54	0	0
1.02	0	0	1.5803	0.7032	-24.435	0	0
1.03	0	0	1.5998	0.7032	-24.33	0	0
1.04	0	0	1.6114	0.7032	-24.225	0	0
1.05	0	0	1.6265	0.7032	-24.12	0	0
1.06	0	0	1.6452	0.7032	-24.015	0	0
1.07	0	0	1.6562	0.7032	-23.805	0	0
1.08	0	0	1.6807	0.7032	-23.7	0	0
1.09	0	0	1.6951	0.7032	-23.595	0	0
1.1	0	0	1.712	0.7032	-23.49	0	0
1.11	0	0	1.7317	0.6153	-23.385	0	0
1.12	0	0	1.7433	0.6153	-23.28	0	0
1.13	0	0	1.7545	0.6153	-23.07	0	0
1.14	0	0	1.7748	0.6153	-22.965	0	0
1.15	0	0	1.7867	0.6153	-22.86	0	0
1.16	0	0	1.8057	0.6153	-22.755	0	0
1.17	0	0	1.823	0.6153	-22.65	0	0
1.18	0	0	1.8333	0.6153	-22.545	0	0
1.19	0	0	1.8573	0.6153	-22.335	0	0
1.2	0	0	1.8715	0.6153	-22.23	0	0
1.21	0	0	1.8799	0.5274	-22.125	0	0
1.22	0	0	1.8968	0.5274	-22.02	0	0
1.23	0	0	1.9128	0.5274	-21.81	0	0
1.24	0	0	1.9223	0.5274	-21.705	0	0
1.25	0	0	1.9431	0.5274	-21.6	0	0
1.26	0	0	1.9582	0.5274	-21.495	0	0
1.27	0	0	1.9671	0.5274	-21.39	0	0
1.28	0	0	1.9843	0.5274	-21.285	0	0
1.29	0	0	2.0006	0.5274	-21.075	0	0
1.3	0	0	2.0102	0.5274	-20.97	0	0
1.31	0	0	2.0338	0.5274	-20.865	0	0
1.32	0	0	2.0478	0.5274	-20.76	0	0
1.33	0	0	2.0561	0.5274	-20.55	0	0
1.34	0	0	2.0761	0.5274	-20.445	0	0
1.35	0	0	2.0908	0.5274	-20.34	0	0
1.36	0	0	2.0995	0.5274	-20.235	0	0
1.37	0	0	2.1197	0.5274	-20.13	0	0
1.38	0	0	2.1346	0.5274	-19.92	0	0
1.39	0	0	2.1434	0.5274	-19.815	0	0
1.4	0	0	2.1605	0.5274	-19.71	0	0
1.41	0	0	2.1767	0.5274	-19.605	0	0
1.42	0	0	2.1862	0.5274	-19.5	0	0
1.43	0	0	2.2002	0.5274	-19.395	0	0
1.44	0	0	2.2181	0.5274	-19.185	0	0
1.45	0	0	2.2287	0.5274	-19.08	0	0
1.46	0	0	2.2469	0.5274	-18.975	0	0
1.47	0	0	2.2637	0.5274	-18.87	0	0
1.48	0	0	2.2737	0.5274	-18.765	0	0
1.49	0	0	2.2839	0.5274	-18.66	0	0
1.5	0	0	2.3036	0.5274	-18.45	0	0
1.51	0	0	2.3152	0.5274	-18.345	0	0
1.52	0	0	2.3265	0.5274	-18.24	0	0
1.53	0	0	2.3468	0.5274	-18.135	0	0
1.54	0	0	2.3587	0.5274	-18.03	0	0
1.55	0	0	2.3658	0.5274	-17.925	0	0
1.56	0	0	2.388	0.5274	-17.82	0	0
1.57	0	0	2.4011	0.5274	-17.715	0	0
1.58	0	0	2.4132	0.5274	-17.61	0	0
1.59	0	0	2.434	0.5274	-17.4	0	0
1.6	0	0	2.4463	0.5274	-17.295	0	0
1.61	0	0	2.4535	0.5274	-17.19	0	0
1.62	0	0	2.473	0.6153	-17.085	0	0
1.63	0	0	2.4873	0.6153	-16.98	0	0
1.64	0	0	2.4958	0.6153	-16.875	0	0
1.65	0	0	2.5159	0.6153	-16.77	0	0
1.66	0	0	2.5307	0.6153	-16.665	0	0
1.67	0	0	2.5394	0.6153	-16.56	0	0
1.68	0	0	2.5565	0.6153	-16.455	0	0
1.69	0	0	2.5727	0.6153	-16.35	0	0
1.7	0	0	2.5822	0.6153	-16.245	0	0
1.71	0	0	2.5998	0.6153	-16.14	0	0
1.72	0	0	2.6163	0.6153	-16.035	0	0
1.73	0	0	2.626	0.6153	-15.93	0	0
1.74	0	0	2.6401	0.6153	-15.825	0	0
1.75	0	0	2.6581	0.6153	-15.72	0	0
1.76	0	0	2.6687	0.6153	-15.615	0	0
1.77	0	0	2.6869	0.6153	-15.51	0	0
1.78	0	0	2.7037	0.6153	-15.405	0	0
1.79	0	0	2.7137	0.6153	-15.3	0	0
1.8	0	0	2.7279	0.6153	-15.195	0	0
1.81	0	0	2.746	0.6153	-15.09	0	0
1.82	0	0	2.7566	0.6153	-14.985	0	0
1.83	0	0	2.7713	0.6153	-14.88	0	0
1.84	0	0	2.7896	0.6153	-14.775	0	0
1.85	0	0	2.8004	0.6153	-14.67	0	0
1.86	0	0	2.8187	0.6153	-14.565	0	0
1.87	0	0	2.8356	0.6153	-14.46	0	0
1.88	0	0	2.8456	0.6153	-14.355	0	0
1.89	0	0	2.8634	0.6153	-14.355	0	0
1.9	0	0	2.88	0.6153	-14.25	0	0
1.91	0	0	2.8899	0.6153	-14.145	0	0
1.92	0	0	2.9076	0.6153	-14.04	0	0
1.93	0	0	2.9241	0.7032	-13.935	0	0
1.94	0	0	2.9339	0.7032	-13.83	0	0
1.95	0	0	2.948	0.7032	-13.725	0	0
1.96	0	0	2.966	0.7032	-13.725	0	0
1.97	0	0	2.9767	0.7032	-13.62	0	0
1.98	0	0	2.9981	0.7032	-13.515	0	0
1.99	0	0	3.0136	0.7032	-13.41	0	0
2	0	0	3.0228	0.7032	-13.305	0	0
2.01	0	0	3.0401	0.7032	-13.305	0	0
