t	u1	u2	lambda	p	e	u1opt	u2opt
0	0	0	0	0	-30	0	0
0.01	0	0	0	0	-30	0	0
0.02	0	0	0	0	-30	0	0
0.03	0	0	0	0	-30	0	0
0.04	0	0	0	0	-30	0	0
0.05	0	0	0	-0.0879	-30	0	0
0.06	0	0	0	-0.0879	-30	0	0
0.07	0	0	0	-0.0879	-30	0	0
0.08	0	0	0	-0.0879	-30	0	0
0.09	0	0	0	-0.0879	-30	0	0
0.1	0	0	0.011924	-0.0879	-30	0	0
0.11	0	0	0.025059	-0.0879	-30	0	0
0.12	0	0	0.032816	-0.0879	-30	0	0
0.13	0	0	0.037396	-0.0879	-30	0	0
0.14	0	0	0.04846	0	-30	0	0
0.15	0	0	0.064652	0	-30	0	0
0.16	0	0	0.074213	0	-30	0	0
0.17	0	0	0.079859	0	-29.895	0	0
0.18	0	0	0.087593	0	-29.895	0	0
0.19	0	0	0.10578	0	-29.895	0	0
0.2	0	0	0.11652	0	-29.895	0	0
0.21	0	0	0.12726	0.0879	-29.895	0	0
0.22	0	0	0.14722	0.0879	-29.895	0	0
0.23	0	0	0.159	0.0879	-29.895	0	0
0.24	0	0	0.17789	0.1758	-29.895	0	0
0.25	0	0	0.19513	0.1758	-29.895	0	0
0.26	0	0	0.20972	0.1758	-29.895	0	0
0.27	0	0	0.23195	0.1758	-29.895	0	0
0.28	0	0	0.24507	0.2637	-29.895	0	0
0.29	0	0	0.26118	0.2637	-29.895	0	0
0.3	0	0	0.28036	0.2637	-29.79	0	0
0.31	0	0	0.29168	0.2637	-29.79	0	0
0.32	0	0	0.31638	0.3516	-29.79	0	0
0.33	0	0	0.33097	0.3516	-29.79	0	0
0.34	0	0	0.3515	0.3516	-29.685	0	0
0.35	0	0	0.36973	0.4395	-29.685	0	0
0.36	0	0	0.38885	0.4395	-29.685	0	0
0.37	0	0	0.40979	0.4395	-29.685	0	0
0.38	0	0	0.43052	0.4395	-29.58	0	0
0.39	0	0	0.45242	0.5274	-29.58	0	0
0.4	0	0	0.46535	0.5274	-29.58	0	0
0.41	0	0	0.48812	0.6153	-29.58	0	0
0.42	0	0	0.50445	0.6153	-29.475	0	0
0.43	0	0	0.52923	0.6153	-29.475	0	0
0.44	0	0	0.54674	0.6153	-29.37	0	0
0.45	0	0	0.56545	0.7032	-29.37	0	0
0.46	0	0	0.58615	0.7032	-29.37	0	0
0.47	0	0	0.59837	0.7032	-29.265	0	0
0.48	0	0	0.62361	0.7911	-29.265	0	0
0.49	0	0	0.63851	0.7911	-29.16	0	0
0.5	0	0	0.66533	0.7911	-29.16	0	0
0.51	0	0	0.68117	0.879	-29.055	0	0
0.52	0	0	0.70854	0.879	-29.055	0	0
0.53	0	0	0.7247	0.879	-28.95	0	0
0.54	0	0	0.75226	0.879	-28.95	0	0
0.55	0	0	0.76853	0.9669	-28.845	0	0
0.56	0	0	0.79007	0.9669	-28.74	0	0
0.57	0	0	0.80888	0.9669	-28.74	0	0
0.58	0	0	0.82438	0.9669	-28.635	0	0
0.59	0	0	0.84716	0.9669	-28.53	0	0
0.6	0	0	0.86061	1.0548	-28.53	0	0
0.61	0	0	0.88657	1.0548	-28.425	0	0
0.62	0	0	0.9063	1.0548	-28.32	0	0
0.63	0	0	0.93156	1.0548	-28.32	0	0
0.64	0	0	0.94649	1.0548	-28.215	0	0
0.65	0	0	0.96722	1.0548	-28.11	0	0
0.66	0	0	0.98556	1.1427	-28.005	0	0
0.67	0	0	1.0083	1.0548	-28.005	0	0
0.68	0	0	1.0278	1.1427	-27.9	0	0
0.69	0	0	1.0513	1.0548	-27.795	0	0
0.7	0	0	1.0712	1.1427	-27.69	0	0
0.71	0	0	1.0914	1.0548	-27.69	0	0
0.72	0	0	1.1129	1.1427	-27.585	0	0
0.73	0	0	1.1376	1.1427	-27.48	0	0
0.74	0	0	1.1582	1.1427	-27.375	0	0
0.75	0	0	1.1704	1.1427	-27.27	0	0
0.76	0	0	1.1921	1.0548	-27.165	0	0
0.77	0	0	1.2084	1.1427	-27.06	0	0
0.78	0	0	1.2264	1.0548	-26.955	0	0
0.79	0	0	1.2467	1.1427	-26.85	0	0
0.8	0	0	1.2631	1.0548	-26.745	0	0
0.81	0	0	1.2864	1.0548	-26.64	0	0
0.82	0	0	1.3002	0.9669	-26.64	0	0
0.83	0	0	1.3231	1.0548	-26.535	0	0
0.84	0	0	1.3398	0.9669	-26.43	0	0
0.85	0	0	1.3617	1.0548	-26.325	0	0
0.86	0	0	1.3806	0.9669	-26.22	0	0
0.87	0	0	1.3918	0.9669	-26.115	0	0
0.88	0	0	1.4165	0.9669	-26.01	0	0
0.89	0	0	1.431	0.9669	-25.905	0	0
0.9	0	0	1.4576	0.9669	-25.8	0	0
0.91	0	0	1.4733	0.9669	-25.59	0	0
0.92	0	0	1.4945	0.9669	-25.485	0	0
0.93	0	0	1.5132	0.9669	-25.38	0	0
0.94	0	0	1.5242	0.9669	-25.275	0	0
0.95	0	0	1.539	0.879	-25.17	0	0
0.96	0	0	1.5574	0.879	-25.065	0	0
0.97	0	0	1.5767	0.879	-24.96	0	0
0.98	0	0	1.5977	0.879	-24.855	0	0
0.99	0	0	1.6145	0.7911	-24.75	0	0
1	0	0	1.638	0.879	-24.645	0	0
1.01	0	0	1.6564	0.7911	-24.54	0	0
1.02	0	0	1.6808	0.879	-24.435	0	0
1.03	0	0	1.6952	0.7911	-24.225	0	0
1.04	0	0	1.7037	0.879	-24.12	0	0
1.05	0	0	1.7207	0.7032	-24.015	0	0
1.06	0	0	1.7368	0.7911	-23.91	0	0
1.07	0	0	1.7582	0.7032	-23.805	0	0
1.08	0	0	1.777	0.7911	-23.7	0	0
1.09	0	0	1.8	0.7032	-23.49	0	0
1.1	0	0	1.8196	0.7911	-23.385	0	0
1.11	0	0	1.8312	0.7032	-23.28	0	0
1.12	0	0	1.8381	0.7032	-23.175	0	0
1.13	0	0	1.8602	0.7032	-23.07	0	0
1.14	0	0	1.8732	0.7032	-22.86	0	0
1.15	0	0	1.8989	0.7032	-22.755	0	0
1.16	0	0	1.9141	0.7032	-22.65	0	0
1.17	0	0	1.935	0.7032	-22.545	0	0
1.18	0	0	1.9534	0.6153	-22.44	0	0
1.19	0	0	1.9643	0.7032	-22.335	0	0
1.2	0	0	1.9859	0.6153	-22.125	0	0
1.21	0	0	2.0015	0.6153	-22.02	0	0
1.22	0	0	2.0151	0.6153	-21.915	0	0
1.23	0	0	2.0368	0.6153	-21.81	0	0
1.24	0	0	2.0496	0.6153	-21.705	0	0
1.25	0	0	2.0615	0.6153	-21.495	0	0
1.26	0	0	2.0822	0.6153	-21.39	0	0
1.27	0	0	2.0944	0.6153	-21.285	0	0
1.28	0	0	2.1167	0.6153	-21.18	0	0
1.29	0	0	2.1328	0.6153	-21.075	0	0
1.3	0	0	2.1423	0.6153	-20.865	0	0
1.31	0	0	2.1659	0.6153	-20.76	0	0
1.32	0	0	2.1799	0.6153	-20.655	0	0
1.33	0	0	2.1965	0.6153	-20.55	0	0
1.34	0	0	2.2159	0.6153	-20.445	0	0
1.35	0	0	2.2274	0.6153	-20.235	0	0
1.36	0	0	2.2522	0.6153	-20.13	0	0
1.37	0	0	2.2669	0.6153	-20.025	0	0
1.38	0	0	2.2755	0.6153	-19.92	0	0
1.39	0	0	2.2987	0.6153	-19.815	0	0
1.4	0	0	2.3123	0.6153	-19.605	0	0
1.41	0	0	2.3248	0.6153	-19.5	0	0
1.42	0	0	2.3458	0.6153	-19.395	0	0
1.43	0	0	2.3581	0.5274	-19.29	0	0
1.44	0	0	2.3738	0.6153	-19.185	0	0
1.45	0	0	2.3927	0.5274	-19.08	0	0
1.46	0	0	2.4039	0.5274	-18.975	0	0
1.47	0	0	2.4285	0.5274	-18.765	0	0
1.48	0	0	2.443	0.5274	-18.66	0	0
1.49	0	0	2.4516	0.5274	-18.555	0	0
1.5	0	0	2.4718	0.5274	-18.45	0	0
1.51	0	0	2.4866	0.5274	-18.345	0	0
1.52	0	0	2.4998	0.5274	-18.24	0	0
1.53	0	0	2.5212	0.5274	-18.03	0	0
1.54	0	0	2.5338	0.5274	-17.925	0	0
1.55	0	0	2.5532	0.5274	-17.82	0	0
1.56	0	0	2.5707	0.5274	-17.715	0	0
1.57	0	0	2.5811	0.5274	-17.61	0	0
1.58	0	0	2.5991	0.5274	-17.505	0	0
1.59	0	0	2.6159	0.5274	-17.4	0	0
1.6	0	0	2.6257	0.5274	-17.295	0	0
1.61	0	0	2.6467	0.5274	-17.19	0	0
1.62	0	0	2.662	0.5274	-17.085	0	0
1.63	0	0	2.6754	0.5274	-16.98	0	0
1.64	0	0	2.6969	0.5274	-16.77	0	0
1.65	0	0	2.7097	0.5274	-16.665	0	0
1.66	0	0	2.7216	0.5274	-16.56	0	0
1.67	0	0	2.7422	0.5274	-16.455	0	0
1.68	0	0	2.7544	0.5274	-16.35	0	0
1.69	0	0	2.77	0.5274	-16.245	0	0
1.7	0	0	2.7888	0.5274	-16.14	0	0
1.71	0	0	2.8	0.5274	-16.035	0	0
1.72	0	0	2.8217	0.5274	-15.93	0	0
1.73	0	0	2.8374	0.5274	-15.825	0	0
1.74	0	0	2.8466	0.5274	-15.72	0	0
1.75	0	0	2.864	0.5274	-15.615	0	0
1.76	0	0	2.8804	0.5274	-15.51	0	0
1.77	0	0	2.8901	0.5274	-15.405	0	0
1.78	0	0	2.9109	0.5274	-15.3	0	0
1.79	0	0	2.9261	0.5274	-15.3	0	0
1.8	0	0	2.9351	0.5274	-15.195	0	0
1.81	0	0	2.9584	0.5274	-15.09	0	0
1.82	0	0	2.9721	0.6153	-14.985	0	0
1.83	0	0	2.9803	0.6153	-14.88	0	0
1.84	0	0	3.0031	0.6153	-14.775	0	0
1.85	0	0	3.0166	0.6153	-14.67	0	0
1.86	0	0	3.0329	0.6153	-14.565	0	0
1.87	0	0	3.0522	0.6153	-14.46	0	0
1.88	0	0	3.0636	0.6153	-14.355	0	0
1.89	0	0	3.0747	0.6153	-14.355	0	0
1.9	0	0	3.0949	0.6153	-14.25	0	0
1.91	0	0	3.1068	0.6153	-14.145	0	0
1.92	0	0	3.1258	0.6153	-14.04	0	0
1.93	0	0	3.1431	0.6153	-13.935	0	0
1.94	0	0	3.1533	0.6153	-13.83	0	0
1.95	0	0	3.1744	0.6153	-13.83	0	0
1.96	0	0	3.1898	0.7032	-13.725	0	0
1.97	0	0	3.1989	0.7032	-13.62	0	0
1.98	0	0	3.2194	0.7032	-13.515	0	0
1.99	0	0	3.2344	0.7032	-13.41	0	0
2	0	0	3.2432	0.7032	-13.41	0	0
2.01	0	0	3.2665	0.7032	-13.305	0	0
2.02	0	0	3.2802	0.7032	-13.2	0	0
