t	u1	u2	lambda	p	e	u1opt	u2opt
0	0	0	0	0	-30	0	0
0.01	0	0	0	0	-30	0	0
0.02	0	0	0	0	-30	0	0
0.03	0	0	0	0	-30	0	0
0.04	0	0	0	-0.0879	-30	0	0
0.05	0	0	0	-0.0879	-30	0	0
0.06	0	0	0	-0.0879	-30	0	0
0.07	0	0	0	-0.0879	-30	0	0
0.08	0	0	0	-0.0879	-30	0	0
0.09	0	0	0	-0.0879	-30	0	0
0.1	0	0	0	-0.0879	-30	0	0
0.11	0	0	0.00836	-0.0879	-30	0	0
0.12	0	0	0.022955	-0.0879	-30	0	0
0.13	0	0	0.031573	-0.0879	-30	0	0
0.14	0	0	0.036662	0	-30	0	0
0.15	0	0	0.044067	0	-30	0	0
0.16	0	0	0.062058	0	-30	0	0
0.17	0	0	0.072682	0	-30	0	0
0.18	0	0	0.078955	0	-30	0	0
0.19	0	0	0.10068	0	-30	0	0
0.2	0	0	0.1135	0	-30	0	0
0.21	0	0	0.133	0.0879	-30	0	0
0.22	0	0	0.15061	0.0879	-30	0	0
0.23	0	0	0.16101	0.0879	-30	0	0
0.24	0	0	0.17907	0.0879	-29.895	0	0
0.25	0	0	0.19583	0.0879	-29.895	0	0
0.26	0	0	0.20573	0.0879	-29.895	0	0
0.27	0	0	0.2235	0.1758	-29.895	0	0
0.28	0	0	0.24008	0.1758	-29.895	0	0
0.29	0	0	0.25824	0.1758	-29.895	0	0
0.3	0	0	0.27862	0.2637	-29.895	0	0
0.31	0	0	0.29065	0.2637	-29.895	0	0
0.32	0	0	0.31577	0.2637	-29.895	0	0
0.33	0	0	0.33061	0.2637	-29.79	0	0
0.34	0	0	0.3545	0.3516	-29.79	0	0
0.35	0	0	0.37149	0.3516	-29.79	0	0
0.36	0	0	0.38989	0.3516	-29.79	0	0
0.37	0	0	0.41041	0.4395	-29.685	0	0
0.38	0	0	0.42253	0.4395	-29.685	0	0
0.39	0	0	0.44481	0.5274	-29.685	0	0
0.4	0	0	0.46086	0.5274	-29.685	0	0
0.41	0	0	0.48226	0.5274	-29.58	0	0
0.42	0	0	0.50099	0.5274	-29.58	0	0
0.43	0	0	0.51645	0.6153	-29.58	0	0
0.44	0	0	0.5392	0.6153	-29.475	0	0
0.45	0	0	0.55703	0.7032	-29.475	0	0
0.46	0	0	0.58118	0.7032	-29.37	0	0
0.47	0	0	0.59984	0.7032	-29.37	0	0
0.48	0	0	0.62448	0.7911	-29.37	0	0
0.49	0	0	0.63902	0.7911	-29.265	0	0
0.5	0	0	0.66274	0.7911	-29.265	0	0
0.51	0	0	0.68404	0.7911	-29.16	0	0
0.52	0	0	0.71023	0.879	-29.16	0	0
0.53	0	0	0.7257	0.879	-29.055	0	0
0.54	0	0	0.74676	0.879	-29.055	0	0
0.55	0	0	0.76528	0.879	-28.95	0	0
0.56	0	0	0.78458	0.9669	-28.845	0	0
0.57	0	0	0.80564	0.9669	-28.845	0	0
0.58	0	0	0.82643	0.9669	-28.74	0	0
0.59	0	0	0.84837	0.9669	-28.74	0	0
0.6	0	0	0.86132	1.0548	-28.635	0	0
0.61	0	0	0.88699	0.9669	-28.53	0	0
0.62	0	0	0.90655	1.0548	-28.53	0	0
0.63	0	0	0.93171	1.0548	-28.425	0	0
0.64	0	0	0.95097	1.0548	-28.32	0	0
0.65	0	0	0.97596	1.0548	-28.215	0	0
0.66	0	0	0.99908	1.0548	-28.215	0	0
0.67	0	0	1.0224	1.0548	-28.11	0	0
0.68	0	0	1.0362	1.0548	-28.005	0	0
0.69	0	0	1.0594	1.0548	-27.9	0	0
0.7	0	0	1.076	1.0548	-27.795	0	0
0.71	0	0	1.0978	1.0548	-27.795	0	0
0.72	0	0	1.1167	0.9669	-27.69	0	0
0.73	0	0	1.1362	1.0548	-27.585	0	0
0.74	0	0	1.1574	0.9669	-27.48	0	0
0.75	0	0	1.1819	1.0548	-27.375	0	0
0.76	0	0	1.2024	0.9669	-27.27	0	0
0.77	0	0	1.2189	0.9669	-27.165	0	0
0.78	0	0	1.2423	1.0548	-27.06	0	0
0.79	0	0	1.2605	0.9669	-27.06	0	0
0.8	0	0	1.2849	1.0548	-26.955	0	0
0.81	0	0	1.3037	0.9669	-26.85	0	0
0.82	0	0	1.3284	0.9669	-26.745	0	0
0.83	0	0	1.3513	0.879	-26.64	0	0
0.84	0	0	1.3745	0.9669	-26.535	0	0
0.85	0	0	1.3882	0.879	-26.43	0	0
0.86	0	0	1.4047	0.879	-26.325	0	0
0.87	0	0	1.4241	0.879	-26.22	0	0
0.88	0	0	1.4355	0.879	-26.115	0	0
0.89	0	0	1.4603	0.7911	-26.01	0	0
0.9	0	0	1.4749	0.879	-25.905	0	0
0.91	0	0	1.5016	0.7911	-25.8	0	0
0.92	0	0	1.5173	0.7911	-25.59	0	0
0.93	0	0	1.5446	0.7911	-25.485	0	0
0.94	0	0	1.5607	0.7911	-25.38	0	0
0.95	0	0	1.5854	0.7911	-25.275	0	0
0.96	0	0	1.6028	0.7911	-25.17	0	0
0.97	0	0	1.6131	0.7911	-25.065	0	0
0.98	0	0	1.6372	0.7032	-24.96	0	0
0.99	0	0	1.6515	0.7911	-24.855	0	0
1	0	0	1.675	0.7032	-24.75	0	0
1.01	0	0	1.6918	0.7032	-24.54	0	0
1.02	0	0	1.7101	0.7032	-24.435	0	0
1.03	0	0	1.7305	0.7032	-24.33	0	0
1.04	0	0	1.747	0.7032	-24.225	0	0
1.05	0	0	1.7703	0.7032	-24.12	0	0
1.06	0	0	1.7841	0.7032	-24.015	0	0
1.07	0	0	1.8074	0.7032	-23.805	0	0
1.08	0	0	1.824	0.7032	-23.7	0	0
1.09	0	0	1.8382	0.7032	-23.595	0	0
1.1	0	0	1.8603	0.7032	-23.49	0	0
1.11	0	0	1.8733	0.7032	-23.385	0	0
1.12	0	0	1.8961	0.7032	-23.28	0	0
1.13	0	0	1.9124	0.7032	-23.07	0	0
1.14	0	0	1.9265	0.7032	-22.965	0	0
1.15	0	0	1.9484	0.7032	-22.86	0	0
1.16	0	0	1.9613	0.7032	-22.755	0	0
1.17	0	0	1.9841	0.7032	-22.65	0	0
1.18	0	0	2.0004	0.7032	-22.44	0	0
1.19	0	0	2.0145	0.7032	-22.335	0	0
1.2	0	0	2.0364	0.7032	-22.23	0	0
1.21	0	0	2.0493	0.7032	-22.125	0	0
1.22	0	0	2.0653	0.7032	-21.915	0	0
1.23	0	0	2.0844	0.7032	-21.81	0	0
1.24	0	0	2.0957	0.7032	-21.705	0	0
1.25	0	0	2.1204	0.7032	-21.6	0	0
1.26	0	0	2.135	0.7032	-21.495	0	0
1.27	0	0	2.152	0.7032	-21.39	0	0
1.28	0	0	2.1716	0.7032	-21.18	0	0
1.29	0	0	2.1832	0.7032	-21.075	0	0
1.3	0	0	2.1985	0.7032	-20.97	0	0
1.31	0	0	2.2171	0.7032	-20.865	0	0
1.32	0	0	2.2281	0.7032	-20.655	0	0
1.33	0	0	2.2465	0.7032	-20.55	0	0
1.34	0	0	2.2635	0.7032	-20.445	0	0
1.35	0	0	2.2735	0.7032	-20.34	0	0
1.36	0	0	2.2946	0.7032	-20.235	0	0
1.37	0	0	2.3099	0.7032	-20.025	0	0
1.38	0	0	2.319	0.7032	-19.92	0	0
1.39	0	0	2.3394	0.7911	-19.815	0	0
1.4	0	0	2.3544	0.7911	-19.71	0	0
1.41	0	0	2.3676	0.7911	-19.605	0	0
1.42	0	0	2.3891	0.7911	-19.395	0	0
1.43	0	0	2.4017	0.7911	-19.29	0	0
1.44	0	0	2.4176	0.7911	-19.185	0	0
1.45	0	0	2.4366	0.7911	-19.08	0	0
1.46	0	0	2.4478	0.7911	-18.975	0	0
1.47	0	0	2.4628	0.7911	-18.87	0	0
1.48	0	0	2.4813	0.7911	-18.66	0	0
1.49	0	0	2.4922	0.7911	-18.555	0	0
1.5	0	0	2.5106	0.7911	-18.45	0	0
1.51	0	0	2.5276	0.7911	-18.345	0	0
1.52	0	0	2.5376	0.7911	-18.24	0	0
1.53	0	0	2.5586	0.7911	-18.135	0	0
1.54	0	0	2.5739	0.7911	-17.925	0	0
1.55	0	0	2.583	0.7911	-17.82	0	0
1.56	0	0	2.6034	0.7911	-17.715	0	0
1.57	0	0	2.6184	0.7911	-17.61	0	0
1.58	0	0	2.6273	0.7911	-17.505	0	0
1.59	0	0	2.6505	0.7911	-17.4	0	0
1.6	0	0	2.6642	0.7911	-17.295	0	0
1.61	0	0	2.6723	0.7911	-17.19	0	0
1.62	0	0	2.6922	0.7911	-17.085	0	0
1.63	0	0	2.7069	0.7911	-16.875	0	0
1.64	0	0	2.7155	0.7911	-16.77	0	0
1.65	0	0	2.7387	0.7911	-16.665	0	0
1.66	0	0	2.7523	0.7911	-16.56	0	0
1.67	0	0	2.7604	0.7911	-16.455	0	0
1.68	0	0	2.7803	0.7911	-16.35	0	0
1.69	0	0	2.7949	0.7911	-16.245	0	0
1.7	0	0	2.8035	0.7911	-16.14	0	0
1.71	0	0	2.8238	0.7911	-16.035	0	0
1.72	0	0	2.8386	0.7911	-15.93	0	0
1.73	0	0	2.8474	0.7911	-15.825	0	0
1.74	0	0	2.8645	0.7911	-15.72	0	0
1.75	0	0	2.8807	0.7911	-15.615	0	0
1.76	0	0	2.8902	0.7911	-15.51	0	0
1.77	0	0	2.911	0.7911	-15.405	0	0
1.78	0	0	2.9261	0.7911	-15.3	0	0
1.79	0	0	2.9351	0.7032	-15.195	0	0
1.8	0	0	2.9523	0.7032	-15.09	0	0
1.81	0	0	2.9686	0.7032	-14.985	0	0
1.82	0	0	2.9782	0.7032	-14.88	0	0
1.83	0	0	2.999	0.7032	-14.775	0	0
1.84	0	0	3.0141	0.7032	-14.775	0	0
1.85	0	0	3.0231	0.7032	-14.67	0	0
1.86	0	0	3.0435	0.7032	-14.565	0	0
1.87	0	0	3.0585	0.7032	-14.46	0	0
1.88	0	0	3.0673	0.7032	-14.355	0	0
1.89	0	0	3.0876	0.7032	-14.25	0	0
1.9	0	0	3.1025	0.7032	-14.145	0	0
1.91	0	0	3.1113	0.7032	-14.04	0	0
1.92	0	0	3.1284	0.7032	-13.935	0	0
1.93	0	0	3.1446	0.7032	-13.935	0	0
1.94	0	0	3.1542	0.7032	-13.83	0	0
1.95	0	0	3.1718	0.7032	-13.725	0	0
1.96	0	0	3.1882	0.7032	-13.62	0	0
1.97	0	0	3.198	0.7032	-13.515	0	0
1.98	0	0	3.2156	0.7032	-13.515	0	0
1.99	0	0	3.2322	0.7032	-13.41	0	0
2	0	0	3.2419	0.7032	-13.305	0	0
2.01	0	0	3.2628	0.7911	-13.2	0	0
2.02	0	0	3.278	0.7911	-13.2	0	0
