t	u1	u2	lambda	p	e	u1opt	u2opt
0	0	0	0	0	-30	0	0
0.01	0	0	0	0	-30	0	0
0.02	0	0	0	0	-30	0	0
0.03	0	0	0	0	-30	0	0
0.04	0	0	0	-0.0879	-30	0	0
0.05	0	0	0	-0.0879	-30	0	0
0.06	0	0	0	-0.0879	-30	0	0
0.07	0	0	0	-0.0879	-30	0	0
0.08	0	0	0	-0.0879	-30	0	0
0.09	0	0	0	-0.0879	-30	0	0
0.1	0	0	0.015132	-0.0879	-30	0	0
0.11	0	0	0.026953	-0.0879	-30	0	0
0.12	0	0	0.033934	-0.0879	-30	0	0
0.13	0	0	0.038056	-0.0879	-30	0	0
0.14	0	0	0.04885	-0.0879	-30	0	0
0.15	0	0	0.064882	-0.0879	-30	0	0
0.16	0	0	0.074349	-0.0879	-30	0	0
0.17	0	0	0.079939	0	-30	0	0
0.18	0	0	0.0916	0	-29.895	0	0
0.19	0	0	0.10814	0	-29.895	0	0
0.2	0	0	0.11791	0	-29.895	0	0
0.21	0	0	0.12808	0	-29.895	0	0
0.22	0	0	0.1477	0.0879	-29.895	0	0
0.23	0	0	0.15929	0.0879	-29.895	0	0
0.24	0	0	0.17053	0.0879	-29.895	0	0
0.25	0	0	0.19079	0.0879	-29.895	0	0
0.26	0	0	0.20275	0.0879	-29.895	0	0
0.27	0	0	0.21818	0.1758	-29.895	0	0
0.28	0	0	0.23694	0.1758	-29.895	0	0
0.29	0	0	0.24802	0.1758	-29.79	0	0
0.3	0	0	0.2697	0.1758	-29.79	0	0
0.31	0	0	0.28538	0.2637	-29.79	0	0
0.32	0	0	0.29904	0.2637	-29.79	0	0
0.33	0	0	0.32073	0.2637	-29.79	0	0
0.34	0	0	0.33354	0.3516	-29.79	0	0
0.35	0	0	0.35623	0.3516	-29.685	0	0
0.36	0	0	0.37252	0.3516	-29.685	0	0
0.37	0	0	0.38213	0.3516	-29.685	0	0
0.38	0	0	0.40294	0.4395	-29.58	0	0
0.39	0	0	0.41812	0.4395	-29.58	0	0
0.4	0	0	0.43544	0.4395	-29.58	0	0
0.41	0	0	0.45533	0.5274	-29.58	0	0
0.42	0	0	0.46707	0.5274	-29.475	0	0
0.43	0	0	0.49202	0.5274	-29.475	0	0
0.44	0	0	0.50675	0.6153	-29.37	0	0
0.45	0	0	0.51985	0.6153	-29.37	0	0
0.46	0	0	0.54121	0.6153	-29.37	0	0
0.47	0	0	0.55382	0.6153	-29.265	0	0
0.48	0	0	0.5764	0.7032	-29.265	0	0
0.49	0	0	0.59261	0.7032	-29.16	0	0
0.5	0	0	0.61411	0.7032	-29.16	0	0
0.51	0	0	0.63291	0.7032	-29.055	0	0
0.52	0	0	0.6484	0.7911	-29.055	0	0
0.53	0	0	0.67117	0.7911	-28.95	0	0
0.54	0	0	0.68461	0.7911	-28.95	0	0
0.55	0	0	0.70091	0.879	-28.845	0	0
0.56	0	0	0.7202	0.879	-28.74	0	0
0.57	0	0	0.73158	0.879	-28.74	0	0
0.58	0	0	0.75632	0.879	-28.635	0	0
0.59	0	0	0.77093	0.879	-28.635	0	0
0.6	0	0	0.79148	0.879	-28.53	0	0
0.61	0	0	0.80971	0.879	-28.425	0	0
0.62	0	0	0.82048	0.879	-28.425	0	0
0.63	0	0	0.84485	0.9669	-28.32	0	0
0.64	0	0	0.85925	0.879	-28.215	0	0
0.65	0	0	0.87967	0.9669	-28.11	0	0
0.66	0	0	0.89782	0.9669	-28.11	0	0
0.67	0	0	0.90854	0.9669	-28.005	0	0
0.68	0	0	0.93289	0.9669	-27.9	0	0
0.69	0	0	0.94727	0.9669	-27.795	0	0
0.7	0	0	0.97089	0.9669	-27.69	0	0
0.71	0	0	0.98772	0.879	-27.69	0	0
0.72	0	0	0.99767	0.9669	-27.585	0	0
0.73	0	0	1.0216	0.879	-27.48	0	0
0.74	0	0	1.0357	0.9669	-27.375	0	0
0.75	0	0	1.0523	0.879	-27.27	0	0
0.76	0	0	1.0719	0.9669	-27.165	0	0
0.77	0	0	1.0834	0.879	-27.06	0	0
0.78	0	0	1.1021	0.879	-26.955	0	0
0.79	0	0	1.1193	0.879	-26.85	0	0
0.8	0	0	1.1294	0.879	-26.745	0	0
0.81	0	0	1.1534	0.7911	-26.64	0	0
0.82	0	0	1.1676	0.7911	-26.64	0	0
0.83	0	0	1.1879	0.7911	-26.43	0	0
0.84	0	0	1.2059	0.7911	-26.43	0	0
0.85	0	0	1.2166	0.7911	-26.22	0	0
0.86	0	0	1.2273	0.7032	-26.22	0	0
0.87	0	0	1.2472	0.7911	-26.01	0	0
0.88	0	0	1.259	0.7032	-25.905	0	0
0.89	0	0	1.284	0.7032	-25.8	0	0
0.9	0	0	1.2987	0.7032	-25.695	0	0
0.91	0	0	1.3074	0.7032	-25.59	0	0
0.92	0	0	1.3245	0.6153	-25.485	0	0
0.93	0	0	1.3407	0.7032	-25.38	0	0
0.94	0	0	1.3502	0.6153	-25.275	0	0
0.95	0	0	1.371	0.6153	-25.17	0	0
0.96	0	0	1.3862	0.6153	-25.065	0	0
0.97	0	0	1.3951	0.6153	-24.96	0	0
0.98	0	0	1.4123	0.5274	-24.855	0	0
0.99	0	0	1.4286	0.5274	-24.645	0	0
1	0	0	1.4382	0.5274	-24.54	0	0
1.01	0	0	1.459	0.5274	-24.435	0	0
1.02	0	0	1.4741	0.5274	-24.33	0	0
1.03	0	0	1.4831	0.5274	-24.225	0	0
1.04	0	0	1.5003	0.4395	-24.12	0	0
1.05	0	0	1.5166	0.4395	-23.91	0	0
1.06	0	0	1.5262	0.4395	-23.805	0	0
1.07	0	0	1.5318	0.4395	-23.7	0	0
1.08	0	0	1.5532	0.4395	-23.595	0	0
1.09	0	0	1.5658	0.4395	-23.49	0	0
1.1	0	0	1.5733	0.4395	-23.385	0	0
1.11	0	0	1.5928	0.4395	-23.175	0	0
1.12	0	0	1.6072	0.4395	-23.07	0	0
1.13	0	0	1.6157	0.3516	-22.965	0	0
1.14	0	0	1.6208	0.3516	-22.86	0	0
1.15	0	0	1.6417	0.3516	-22.755	0	0
1.16	0	0	1.6541	0.3516	-22.545	0	0
1.17	0	0	1.6658	0.3516	-22.44	0	0
1.18	0	0	1.6864	0.3516	-22.335	0	0
1.19	0	0	1.6985	0.3516	-22.23	0	0
1.2	0	0	1.7057	0.3516	-22.02	0	0
1.21	0	0	1.7218	0.3516	-21.915	0	0
1.22	0	0	1.7375	0.3516	-21.81	0	0
1.23	0	0	1.7467	0.3516	-21.705	0	0
1.24	0	0	1.7521	0.3516	-21.6	0	0
1.25	0	0	1.7673	0.3516	-21.39	0	0
1.26	0	0	1.7823	0.3516	-21.285	0	0
1.27	0	0	1.7912	0.3516	-21.18	0	0
1.28	0	0	1.7964	0.3516	-21.075	0	0
1.29	0	0	1.8115	0.3516	-20.97	0	0
1.3	0	0	1.8264	0.3516	-20.76	0	0
1.31	0	0	1.8353	0.3516	-20.655	0	0
1.32	0	0	1.8449	0.3516	-20.55	0	0
1.33	0	0	1.8642	0.4395	-20.445	0	0
1.34	0	0	1.8756	0.4395	-20.235	0	0
1.35	0	0	1.8823	0.4395	-20.13	0	0
1.36	0	0	1.8946	0.4395	-20.025	0	0
1.37	0	0	1.9116	0.4395	-19.92	0	0
1.38	0	0	1.9216	0.4395	-19.815	0	0
1.39	0	0	1.9275	0.4395	-19.605	0	0
1.4	0	0	1.9393	0.4395	-19.5	0	0
1.41	0	0	1.956	0.4395	-19.395	0	0
1.42	0	0	1.9658	0.4395	-19.29	0	0
1.43	0	0	1.9716	0.4395	-19.185	0	0
1.44	0	0	1.9795	0.4395	-19.08	0	0
1.45	0	0	1.9977	0.4395	-18.87	0	0
1.46	0	0	2.0085	0.4395	-18.765	0	0
1.47	0	0	2.0148	0.5274	-18.66	0	0
1.48	0	0	2.0186	0.5274	-18.555	0	0
1.49	0	0	2.0388	0.5274	-18.45	0	0
1.5	0	0	2.0508	0.5274	-18.345	0	0
1.51	0	0	2.0578	0.5274	-18.135	0	0
1.52	0	0	2.062	0.5274	-18.03	0	0
1.53	0	0	2.0764	0.5274	-17.925	0	0
1.54	0	0	2.091	0.5274	-17.82	0	0
1.55	0	0	2.0996	0.5274	-17.715	0	0
1.56	0	0	2.1047	0.5274	-17.61	0	0
1.57	0	0	2.1196	0.5274	-17.505	0	0
1.58	0	0	2.1345	0.5274	-17.295	0	0
1.59	0	0	2.1433	0.5274	-17.19	0	0
1.6	0	0	2.1485	0.5274	-17.085	0	0
1.61	0	0	2.1516	0.5274	-16.98	0	0
1.62	0	0	2.1714	0.5274	-16.875	0	0
1.63	0	0	2.1831	0.5274	-16.77	0	0
1.64	0	0	2.19	0.5274	-16.665	0	0
1.65	0	0	2.1941	0.5274	-16.56	0	0
1.66	0	0	2.2145	0.5274	-16.455	0	0
1.67	0	0	2.2266	0.5274	-16.35	0	0
1.68	0	0	2.2337	0.5274	-16.245	0	0
1.69	0	0	2.2379	0.5274	-16.14	0	0
1.7	0	0	2.2404	0.5274	-16.035	0	0
1.71	0	0	2.2538	0.5274	-15.93	0	0
1.72	0	0	2.2678	0.5274	-15.825	0	0
1.73	0	0	2.2761	0.5274	-15.72	0	0
1.74	0	0	2.281	0.5274	-15.51	0	0
1.75	0	0	2.2882	0.5274	-15.51	0	0
1.76	0	0	2.3062	0.5274	-15.405	0	0
1.77	0	0	2.3167	0.5274	-15.3	0	0
1.78	0	0	2.323	0.5274	-15.195	0	0
1.79	0	0	2.3267	0.5274	-15.09	0	0
1.8	0	0	2.3469	0.5274	-14.985	0	0
1.81	0	0	2.3588	0.5274	-14.88	0	0
1.82	0	0	2.3658	0.5274	-14.775	0	0
1.83	0	0	2.37	0.5274	-14.67	0	0
1.84	0	0	2.3844	0.5274	-14.565	0	0
1.85	0	0	2.399	0.5274	-14.46	0	0
1.86	0	0	2.4076	0.5274	-14.355	0	0
1.87	0	0	2.4127	0.6153	-14.25	0	0
1.88	0	0	2.4157	0.6153	-14.145	0	0
1.89	0	0	2.4294	0.6153	-14.04	0	0
1.9	0	0	2.4435	0.6153	-14.04	0	0
1.91	0	0	2.4519	0.6153	-13.935	0	0
1.92	0	0	2.4569	0.6153	-13.83	0	0
1.93	0	0	2.4598	0.6153	-13.725	0	0
1.94	0	0	2.4734	0.6153	-13.62	0	0
1.95	0	0	2.4876	0.6153	-13.515	0	0
1.96	0	0	2.4959	0.6153	-13.515	0	0
1.97	0	0	2.5009	0.6153	-13.41	0	0
1.98	0	0	2.5082	0.6153	-13.305	0	0
1.99	0	0	2.5261	0.6153	-13.2	0	0
2	0	0	2.5367	0.6153	-13.095	0	0
2.01	0	0	2.543	0.6153	-13.095	0	0
