t	u1	u2	lambda	p	e	u1opt	u2opt
0	-1.2202e-18	0.00019136	0	0	-30	0	0
0.01	-1.2202e-18	0.00019136	0	0	-30	0	0
0.02	0.00035689	0.00019136	0	-0.0879	-30	0	0
0.03	-0.00068276	0.00019136	0	-0.0879	-30	0	0
0.04	-0.0010234	0.00019136	0	-0.0879	-30	0	0
0.05	-0.0011351	0.00019136	0	-0.0879	-30	0	0
0.06	-0.0011716	0.00019136	0	-0.0879	-30	0	0
0.07	0.0052698	0.00019136	0	-0.0879	-30	0	0
0.08	0.004102	0.00019136	0.017998	-0.0879	-30	0	0
0.09	0.0031455	0.00019136	0.028626	-0.0879	-30	0	0
0.1	0.0023626	0.00019136	0.034901	-0.0879	-30	0	0
0.11	0.0017222	0.00019136	0.038607	-0.0879	-30	0	0
0.12	0.0074009	0.00019136	0.04519	-0.0879	-30	0	0
0.13	0.0058545	0.00019136	0.06268	-0.0879	-30	0	0
0.14	0.0045876	0.00019136	0.073008	-0.0879	-30	0	0
0.15	0.003551	0.00019136	0.079106	-0.0879	-30	0	0
0.16	0.0084315	0.00019136	0.094618	-0.0879	-30	0	0
0.17	0.0067054	0.00019136	0.10986	-0.0879	-30	0	0
0.18	0.0052927	0.00019136	0.11887	-0.0879	-30	0	0
0.19	0.0096421	0.00019136	0.1393	-0.0879	-30	0	0
0.2	0.0064779	-0.00067672	0.15425	0	-29.891	0	0
0.21	0.012971	-0.00032151	0.16307	0	-29.891	0	0
0.22	0.011044	-0.00011177	0.18628	0	-29.891	0	0
0.23	0.0092053	1.2083e-05	0.19999	0	-29.891	0	0
0.24	0.013577	8.5216e-05	0.21643	0	-29.891	0	0
0.25	0.011174	0.0001284	0.23579	0	-29.891	0	0
0.26	0.013571	0.0001539	0.25161	0.0879	-29.891	0	0
0.27	0.012866	-0.0007955	0.27456	0.0879	-29.782	0	0
0.28	0.017252	-0.00039194	0.29646	0.0879	-29.782	0	0
0.29	0.014564	-0.00015364	0.31904	0.0879	-29.782	0	0
0.3	0.017484	-1.2925e-05	0.33237	0.1758	-29.782	0	0
0.31	0.016024	7.0165e-05	0.35825	0.1758	-29.782	0	0
0.32	0.020223	-0.00058405	0.37792	0.1758	-29.673	0	0
0.33	0.017155	-0.00026736	0.40314	0.2637	-29.673	0	0
0.34	0.021157	-8.0363e-05	0.42994	0.2637	-29.673	0	0
