t	u1	u2	lambda	p	e	u1opt	u2opt
0	-2.6518e-17	0.046698	0	0	-30	0	0
0.01	-2.6518e-17	0.046698	0	0	-30	0	0
0.02	-2.6518e-17	0.046698	0	0	-30	0	0
0.03	-2.6518e-17	0.046698	0	0	-30	0	0
0.04	-2.6518e-17	0.046698	0	0	-30	0	0
0.05	-2.6518e-17	0.046698	0	0	-30	0	0
0.06	-2.6518e-17	0.046698	0	0	-30	0	0
0.07	0.0059603	0.046698	0.0083505	0	-30	0	0
0.08	0.0048846	0.046698	0.022929	0	-30	0	0
0.09	0.0040024	0.010516	0.031537	0	-29.891	0	0
0.1	0.0032802	0.025263	0.03662	0	-29.891	0	0
0.11	0.0026896	0.033971	0.039622	0	-29.891	0	0
0.12	0.0077113	0.039114	0.056509	0	-29.891	0	0
0.13	0.0063233	0.04215	0.069364	0	-29.891	0	0
0.14	0.0051871	0.043943	0.076955	0	-29.891	0	0
0.15	0.01046	0.045001	0.085832	0	-29.891	0	0
0.16	0.0085821	0.045627	0.10468	0	-29.891	0	0
0.17	0.0070443	0.045996	0.1158	0	-29.891	0	0
0.18	0.011989	0.046214	0.12677	0	-29.891	0	0
0.19	0.0098419	0.046342	0.14685	0	-29.891	0	0
0.2	0.0080846	0.046418	0.1587	0	-29.891	0	0
0.21	0.012152	0.046463	0.18082	0	-29.891	0	0
0.22	0.009984	0.04649	0.19676	0	-29.891	0	0
0.23	0.013939	0.013925	0.21809	0	-29.782	0	0
0.24	0.0096248	0.027207	0.23677	0.0879	-29.782	0	0
0.25	0.015826	0.03505	0.25219	0.0879	-29.782	0	0
0.26	0.013713	0.039681	0.2749	0.0879	-29.782	0	0
0.27	0.017859	0.042415	0.29271	0.0879	-29.782	0	0
0.28	0.014953	-0.00059842	0.31682	0.0879	-29.673	0	0
0.29	0.018994	0.018562	0.33107	0.0879	-29.673	0	0
0.3	0.015799	0.029875	0.35747	0.1758	-29.673	0	0
0.31	0.020254	0.036556	0.37746	0.1758	-29.673	0	0
0.32	0.017298	0.00031809	0.40287	0.1758	-29.564	0	0
0.33	0.019246	0.019033	0.42978	0.2637	-29.564	0	0
0.34	0.017707	0.030084	0.45176	0.2637	-29.564	0	0
0.35	0.021365	0.0040298	0.47665	0.2637	-29.456	0	0
0.36	0.02453	0.021156	0.50183	0.3516	-29.456	0	0
0.37	0.02171	-0.01336	0.5303	0.3516	-29.347	0	0
0.38	0.023702	0.010817	0.55546	0.4395	-29.347	0	0
0.39	0.021866	0.025094	0.57996	0.4395	-29.347	0	0
0.4	0.02525	0.0041854	0.60635	0.4395	-29.238	0	0
0.41	0.021668	0.021109	0.62801	0.5274	-29.238	0	0
0.42	0.025709	-0.0050797	0.65271	0.5274	-29.129	0	0
0.43	0.028468	0.015568	0.67339	0.6153	-29.129	0	0
0.44	0.026015	-0.0015784	0.70359	0.6153	-29.02	0	0
0.45	0.029158	-0.027062	0.72583	0.7032	-28.911	0	0
0.46	0.026642	0.002449	0.75256	0.7032	-28.911	0	0
0.47	0.029913	-0.016306	0.77669	0.7911	-28.802	0	0
0.48	0.026093	-0.035898	0.80059	0.879	-28.693	0	0
0.49	0.030631	-0.0029072	0.82982	0.879	-28.693	0	0
0.5	0.033502	-0.019608	0.85831	0.9669	-28.584	0	0
0.51	0.030921	-0.037986	0.88478	0.9669	-28.475	0	0
0.52	0.033879	-0.0042792	0.91232	1.0548	-28.475	0	0
0.53	0.035875	-0.016956	0.93467	1.1427	-28.366	0	0
0.54	0.034122	-0.032113	0.96587	1.1427	-28.258	0	0
0.55	0.036512	-0.045579	0.98868	1.2306	-28.149	0	0
0.56	0.034528	-0.0089706	1.0158	1.2306	-28.149	0	0
0.57	0.037444	-0.016693	1.0361	1.3185	-28.04	0	0
0.58	0.035247	-0.028165	1.0618	1.3185	-27.931	0	0
0.59	0.038085	-0.03901	1.0888	1.4064	-27.822	0	0
0.6	0.03578	-0.045483	1.1109	1.4064	-27.713	0	0
0.61	0.038069	-0.0091917	1.139	1.4943	-27.713	0	0
0.62	0.042616	-0.017101	1.1585	1.4943	-27.604	0	0
0.63	0.039146	-0.021841	1.188	1.5822	-27.495	0	0
0.64	0.042862	-0.027951	1.2138	1.6701	-27.386	0	0
0.65	0.040341	-0.031628	1.2387	1.6701	-27.277	0	0
0.66	0.043393	-0.037469	1.2653	1.758	-27.169	0	0
0.67	0.039028	-0.040988	1.2871	1.8459	-27.06	0	0
0.68	0.044246	-0.047137	1.3119	1.8459	-26.951	0	0
0.69	0.041649	-0.046836	1.3326	1.8459	-26.842	0	0
0.7	0.044607	-0.050729	1.3599	1.9338	-26.733	0	0
0.71	0.04228	-0.053097	1.379	1.9338	-26.624	0	0
0.72	0.045387	-0.059011	1.4053	2.0217	-26.515	0	0
0.73	0.04753	-0.058126	1.4281	2.1096	-26.406	0	0
0.74	0.046166	-0.057673	1.4552	2.1096	-26.297	0	0
0.75	0.049865	-0.057475	1.4796	2.1096	-26.189	0	0
0.76	0.046519	-0.057428	1.5036	2.1975	-26.08	0	0
0.77	0.050491	-0.057469	1.5261	2.1975	-25.971	0	0
0.78	0.046987	-0.053562	1.5491	2.2854	-25.862	0	0
0.79	0.051267	-0.051324	1.571	2.2854	-25.753	0	0
0.8	0.047518	-0.050072	1.5936	2.3733	-25.644	0	0
0.81	0.052379	-0.0458	1.6113	2.3733	-25.535	0	0
0.82	0.048726	-0.046949	1.6354	2.4612	-25.426	0	0
0.83	0.053619	-0.044096	1.654	2.4612	-25.317	0	0
0.84	0.05072	-0.046081	1.6786	2.4612	-25.208	0	0
0.85	0.046889	-0.043722	1.6931	2.5491	-25.099	0	0
0.86	0.051813	-0.042398	1.7168	2.5491	-24.991	0	0
0.87	0.049526	-0.041686	1.7337	2.5491	-24.882	0	0
0.88	0.052535	-0.038094	1.7587	2.637	-24.773	0	0
0.89	0.050746	-0.080671	1.7764	2.637	-24.555	0	0
0.9	0.053246	-0.076611	1.7988	2.7249	-24.446	0	0
0.91	0.052026	-0.074284	1.8181	2.7249	-24.337	0	0
0.92	0.055679	-0.068533	1.8446	2.7249	-24.228	0	0
0.93	0.052894	-0.065207	1.8631	2.7249	-24.119	0	0
0.94	0.056128	-0.063312	1.8824	2.8128	-24.011	0	0
0.95	0.054127	-0.058261	1.9035	2.8128	-23.902	0	0
