t	u1	u2	lambda	p	e	u1opt	u2opt
0	-2.6518e-17	0.046698	0	0	-30	0	0
0.01	-2.6518e-17	0.046698	0	0	-30	0	0
0.02	-2.6518e-17	0.046698	0	0	-30	0	0
0.03	0.00074349	0.046698	0	-0.0879	-30	0	0
0.04	-0.00055608	0.046698	0	-0.0879	-30	0	0
0.05	-0.00098193	0.046698	0	-0.0879	-30	0	0
0.06	-0.0011215	0.046698	0	-0.0879	-30	0	0
0.07	-0.0011672	0.046698	0	-0.0879	-30	0	0
0.08	-0.0011822	0.046698	0	-0.0879	-30	0	0
0.09	0.0043173	0.046698	0.015114	-0.0879	-30	0	0
0.1	0.0033218	0.046698	0.026923	-0.0879	-30	0	0
0.11	0.0025068	0.046698	0.033896	-0.0879	-30	0	0
0.12	0.0018402	0.046698	0.038013	-0.0879	-30	0	0
0.13	0.0072555	0.046698	0.048795	-0.0879	-30	0	0
0.14	0.0057347	0.046698	0.064809	-0.0879	-30	0	0
0.15	0.0044892	0.046698	0.074265	-0.0879	-30	0	0
0.16	0.0094306	0.046698	0.088199	-0.0879	-30	0	0
0.17	0.0075222	0.0065149	0.10607	-0.0879	-29.891	0	0
0.18	0.012413	0.022901	0.11663	-0.0879	-29.891	0	0
0.19	0.0099722	0.032576	0.14086	-0.0879	-29.891	0	0
0.2	0.0061425	0.03829	0.15517	0	-29.891	0	0
0.21	0.012266	0.041663	0.17553	0	-29.891	0	0
0.22	0.010562	0.043656	0.19364	0	-29.891	0	0
0.23	0.015043	0.044832	0.20873	0	-29.891	0	0
0.24	0.012411	0.045526	0.23124	0	-29.891	0	0
0.25	0.016676	0.0057539	0.24453	0	-29.782	0	0
0.26	0.013712	0.022382	0.27038	0	-29.782	0	0
0.27	0.01674	0.032201	0.29004	0.0879	-29.782	0	0
0.28	0.014933	0.037998	0.31525	0.0879	-29.782	0	0
0.29	0.012817	0.041422	0.33013	0.0879	-29.782	0	0
0.3	0.016383	0.0032609	0.35404	0.0879	-29.673	0	0
0.31	0.01338	0.02084	0.37104	0.1758	-29.673	0	0
0.32	0.017963	0.031221	0.39299	0.1758	-29.673	0	0
0.33	0.020099	-0.0028322	0.41203	0.2637	-29.564	0	0
0.34	0.018764	0.017173	0.44128	0.2637	-29.564	0	0
0.35	0.023073	0.028986	0.45855	0.2637	-29.564	0	0
0.36	0.019068	-0.0042213	0.48674	0.3516	-29.456	0	0
0.37	0.021958	0.016283	0.50779	0.4395	-29.456	0	0
0.38	0.027439	-0.016237	0.53382	0.4395	-29.347	0	0
0.39	0.024263	0.0091186	0.56719	0.4395	-29.347	0	0
0.4	0.027111	-0.020538	0.59128	0.5274	-29.238	0	0
0.41	0.024451	0.00651	0.61912	0.5274	-29.238	0	0
0.42	0.028128	-0.017701	0.63555	0.6153	-29.129	0	0
0.43	0.025386	0.0081153	0.66325	0.6153	-29.129	0	0
0.44	0.028356	-0.016823	0.69152	0.7032	-29.02	0	0
0.45	0.023955	0.0085646	0.7143	0.7911	-29.02	0	0
0.46	0.028931	-0.0090245	0.74287	0.7911	-28.911	0	0
0.47	0.031337	-0.031528	0.76701	0.879	-28.802	0	0
0.48	0.029368	-0.00025773	0.79488	0.879	-28.802	0	0
0.49	0.032296	-0.011132	0.81572	0.9669	-28.693	0	0
0.5	0.030109	-0.028466	0.84164	0.9669	-28.584	0	0
0.51	0.033264	0.001412	0.86885	1.0548	-28.584	0	0
0.52	0.030015	-0.010285	0.891	1.1427	-28.475	0	0
0.53	0.034507	-0.024103	0.916	1.1427	-28.366	0	0
0.54	0.031621	-0.036333	0.93684	1.2306	-28.258	0	0
0.55	0.033545	-0.0034421	0.96427	1.3185	-28.258	0	0
0.56	0.039114	-0.013359	0.98334	1.3185	-28.149	0	0
0.57	0.035327	-0.019285	1.0126	1.4064	-28.04	0	0
0.58	0.039439	-0.029695	1.0418	1.4943	-27.931	0	0
0.59	0.035363	-0.035912	1.0651	1.5822	-27.822	0	0
0.6	0.040629	-0.043653	1.0908	1.5822	-27.713	0	0
0.61	0.036783	-0.05274	1.1121	1.6701	-27.604	0	0
0.62	0.041373	-0.058175	1.1397	1.6701	-27.495	0	0
0.63	0.044419	-0.016825	1.1589	1.758	-27.495	0	0
0.64	0.042073	-0.021748	1.1883	1.758	-27.386	0	0
0.65	0.045823	-0.024724	1.2056	1.8459	-27.277	0	0
0.66	0.043032	-0.029792	1.2338	1.9338	-27.169	0	0
0.67	0.045504	-0.029612	1.2549	2.0217	-27.06	0	0
0.68	0.044297	-0.032817	1.2809	2.0217	-26.951	0	0
0.69	0.047356	-0.034779	1.2963	2.1096	-26.842	0	0
0.7	0.045658	-0.036007	1.3234	2.1096	-26.733	0	0
0.71	0.049442	-0.036801	1.3394	2.1975	-26.624	0	0
0.72	0.046769	-0.03734	1.3668	2.2854	-26.515	0	0
0.73	0.045305	-0.037727	1.383	2.2854	-26.406	0	0
0.74	0.049081	-0.038025	1.4045	2.3733	-26.297	0	0
0.75	0.04526	-0.038271	1.4233	2.4612	-26.189	0	0
0.76	0.050909	-0.038485	1.4463	2.4612	-26.08	0	0
0.77	0.047431	-0.038681	1.4659	2.5491	-25.971	0	0
0.78	0.053039	-0.038866	1.482	2.5491	-25.862	0	0
0.79	0.049773	-0.035804	1.505	2.637	-25.753	0	0
0.8	0.053331	-0.078694	1.5186	2.7249	-25.535	0	0
0.81	0.052592	-0.030191	1.5447	2.7249	-25.535	0	0
0.82	0.05646	-0.075518	1.56	2.8128	-25.317	0	0
0.83	0.054686	-0.073083	1.5871	2.8128	-25.208	0	0
0.84	0.052417	-0.071715	1.6031	2.9007	-25.099	0	0
0.85	0.057141	-0.070976	1.6209	2.9007	-24.991	0	0
0.86	0.054518	-0.070609	1.641	2.9886	-24.882	0	0
0.87	0.059537	-0.066016	1.6529	2.9886	-24.773	0	0
0.88	0.056693	-0.063373	1.678	3.0765	-24.664	0	0
0.89	0.053256	-0.057881	1.6927	3.1644	-24.555	0	0
0.9	0.059477	-0.054707	1.7098	3.1644	-24.446	0	0
0.91	0.055641	-0.049301	1.7295	3.2523	-24.337	0	0
0.92	0.055656	-0.046179	1.7412	3.2523	-24.228	0	0
0.93	0.060056	-0.041163	1.7632	3.2523	-24.119	0	0
0.94	0.057747	-0.041512	1.7791	3.3402	-24.011	0	0
