t	u1	u2	lambda	p	e	u1opt	u2opt
0	0	0	0	0	-30	0	0
0.01	0	0	0	0	-30	0	0
0.02	0	0	0	0	-30	0	0
0.03	0	0	0	0	-30	0	0
0.04	0	0	0	0	-30	0	0
0.05	0	0	0	-0.0879	-30	0	0
0.06	0	0	0	-0.0879	-30	0	0
0.07	0	0	0	-0.0879	-30	0	0
0.08	0	0	0.015114	-0.0879	-30	0	0
0.09	0	0	0.026923	-0.0879	-30	0	0
0.1	0	0	0.033896	-0.0879	-30	0	0
0.11	0	0	0.038013	-0.0879	-30	0	0
0.12	0	0	0.048795	-0.0879	-30	0	0
0.13	0	0	0.064809	-0.0879	-30	0	0
0.14	0	0	0.074265	-0.0879	-30	0	0
0.15	0	0	0.079849	0	-30	0	0
0.16	0	0	0.095056	0	-29.891	0	0
0.17	0	0	0.11012	0	-30	0	0
0.18	0	0	0.11902	0	-29.891	0	0
0.19	0	0	0.13618	0	-29.891	0	0
0.2	0	0	0.15241	0	-29.891	0	0
0.21	0	0	0.16199	0	-29.891	0	0
0.22	0	0	0.17955	0	-29.891	0	0
0.23	0	0	0.19601	0	-29.891	0	0
0.24	0	0	0.21013	0.0879	-29.891	0	0
0.25	0	0	0.23207	0.0879	-29.891	0	0
0.26	0	0	0.26302	0.0879	-29.782	0	0
0.27	0	0	0.2813	0.0879	-29.782	0	0
0.28	0	0	0.304	0.1758	-29.782	0	0
0.29	0	0	0.32349	0.1758	-29.782	0	0
0.3	0	0	0.34335	0.1758	-29.782	0	0
0.31	0	0	0.36473	0.1758	-29.782	0	0
0.32	0	0	0.38175	0.2637	-29.673	0	0
0.33	0	0	0.4054	0.2637	-29.673	0	0
0.34	0	0	0.42376	0.2637	-29.673	0	0
0.35	0	0	0.4482	0.3516	-29.673	0	0
0.36	0	0	0.46703	0.3516	-29.564	0	0
0.37	0	0	0.49175	0.4395	-29.564	0	0
0.38	0	0	0.5147	0.4395	-29.564	0	0
0.39	0	0	0.5379	0.5274	-29.456	0	0
0.4	0	0	0.5696	0.5274	-29.456	0	0
0.41	0	0	0.58831	0.6153	-29.347	0	0
0.42	0	0	0.61448	0.6153	-29.347	0	0
0.43	0	0	0.63281	0.7032	-29.347	0	0
0.44	0	0	0.66164	0.7032	-29.238	0	0
0.45	0	0	0.68701	0.7911	-29.238	0	0
0.46	0	0	0.71164	0.7911	-29.129	0	0
0.47	0	0	0.73809	0.879	-29.129	0	0
0.48	0	0	0.7598	0.9669	-29.02	0	0
0.49	0	0	0.78773	0.9669	-28.911	0	0
0.5	0	0	0.80711	1.0548	-28.911	0	0
0.51	0	0	0.83655	1.0548	-28.802	0	0
0.52	0	0	0.86228	1.1427	-28.802	0	0
0.53	0	0	0.88713	1.2306	-28.693	0	0
0.54	0	0	0.91371	1.2306	-28.693	0	0
0.55	0	0	0.93549	1.3185	-28.584	0	0
0.56	0	0	0.96635	1.3185	-28.475	0	0
0.57	0	0	0.99292	1.4064	-28.366	0	0
0.58	0	0	1.0183	1.4943	-28.366	0	0
0.59	0	0	1.0451	1.4943	-28.258	0	0
0.6	0	0	1.0671	1.5822	-28.149	0	0
0.61	0	0	1.0952	1.5822	-28.04	0	0
0.62	0	0	1.1146	1.6701	-28.04	0	0
0.63	0	0	1.1441	1.6701	-27.931	0	0
0.64	0	0	1.1699	1.758	-27.822	0	0
0.65	0	0	1.1948	1.758	-27.713	0	0
0.66	0	0	1.2213	1.8459	-27.604	0	0
0.67	0	0	1.2515	1.9338	-27.495	0	0
0.68	0	0	1.2789	1.9338	-27.495	0	0
0.69	0	0	1.307	1.9338	-27.386	0	0
0.7	0	0	1.3297	2.0217	-27.277	0	0
0.71	0	0	1.3582	2.0217	-27.169	0	0
0.72	0	0	1.378	2.1096	-27.06	0	0
0.73	0	0	1.4076	2.1096	-26.951	0	0
0.74	0	0	1.4335	2.1096	-26.842	0	0
0.75	0	0	1.4584	2.1975	-26.733	0	0
0.76	0	0	1.485	2.1975	-26.624	0	0
0.77	0	0	1.5068	2.1975	-26.515	0	0
0.78	0	0	1.5348	2.2854	-26.406	0	0
0.79	0	0	1.5542	2.2854	-26.297	0	0
0.8	0	0	1.5837	2.3733	-26.189	0	0
0.81	0	0	1.6055	2.3733	-26.08	0	0
0.82	0	0	1.6319	2.3733	-25.971	0	0
0.83	0	0	1.6559	2.3733	-25.862	0	0
0.84	0	0	1.6797	2.4612	-25.753	0	0
0.85	0	0	1.7021	2.4612	-25.644	0	0
0.86	0	0	1.725	2.4612	-25.535	0	0
0.87	0	0	1.7504	2.4612	-25.426	0	0
0.88	0	0	1.7715	2.4612	-25.208	0	0
0.89	0	0	1.7959	2.4612	-25.099	0	0
0.9	0	0	1.8164	2.5491	-24.991	0	0
0.91	0	0	1.8404	2.5491	-24.882	0	0
0.92	0	0	1.8606	2.5491	-24.773	0	0
0.93	0	0	1.8845	2.5491	-24.664	0	0
0.94	0	0	1.9047	2.5491	-24.555	0	0
0.95	0	0	1.9285	2.5491	-24.446	0	0
0.96	0	0	1.9487	2.5491	-24.228	0	0
0.97	0	0	1.9725	2.5491	-24.119	0	0
0.98	0	0	1.9926	2.5491	-24.011	0	0
0.99	0	0	2.0129	2.5491	-23.902	0	0
1	0	0	2.0345	2.5491	-23.793	0	0
1.01	0	0	2.0556	2.5491	-23.684	0	0
1.02	0	0	2.0777	2.5491	-23.466	0	0
1.03	0	0	2.0952	2.5491	-23.357	0	0
1.04	0	0	2.1191	2.5491	-23.248	0	0
1.05	0	0	2.1332	2.5491	-23.139	0	0
1.06	0	0	2.1595	2.5491	-23.03	0	0
1.07	0	0	2.1751	2.5491	-22.813	0	0
1.08	0	0	2.1962	2.4612	-22.704	0	0
1.09	0	0	2.2147	2.4612	-22.595	0	0
1.1	0	0	2.234	2.4612	-22.486	0	0
1.11	0	0	2.2551	2.4612	-22.377	0	0
1.12	0	0	2.2719	2.4612	-22.268	0	0
1.13	0	0	2.2954	2.4612	-22.05	0	0
1.14	0	0	2.3093	2.3733	-21.941	0	0
1.15	0	0	2.3326	2.3733	-21.832	0	0
1.16	0	0	2.3493	2.3733	-21.724	0	0
1.17	0	0	2.371	2.3733	-21.615	0	0
1.18	0	0	2.39	2.2854	-21.397	0	0
1.19	0	0	2.4055	2.2854	-21.288	0	0
1.2	0	0	2.4283	2.2854	-21.179	0	0
1.21	0	0	2.4418	2.2854	-21.07	0	0
1.22	0	0	2.4649	2.1975	-20.961	0	0
1.23	0	0	2.4814	2.1975	-20.852	0	0
1.24	0	0	2.4955	2.1975	-20.635	0	0
1.25	0	0	2.5174	2.1975	-20.526	0	0
1.26	0	0	2.5304	2.1096	-20.417	0	0
1.27	0	0	2.5532	2.1096	-20.308	0	0
1.28	0	0	2.5695	2.1096	-20.199	0	0
1.29	0	0	2.5875	2.1096	-20.09	0	0
1.3	0	0	2.6078	2.1096	-19.872	0	0
1.31	0	0	2.6197	2.0217	-19.763	0	0
1.32	0	0	2.6419	2.0217	-19.654	0	0
1.33	0	0	2.6579	2.0217	-19.546	0	0
1.34	0	0	2.6673	1.9338	-19.437	0	0
1.35	0	0	2.6773	1.9338	-19.328	0	0
1.36	0	0	2.6968	1.9338	-19.219	0	0
1.37	0	0	2.7083	1.8459	-19.11	0	0
1.38	0	0	2.727	1.8459	-19.001	0	0
1.39	0	0	2.7441	1.8459	-18.783	0	0
1.4	0	0	2.7587	1.8459	-18.674	0	0
1.41	0	0	2.7808	1.758	-18.566	0	0
1.42	0	0	2.7939	1.758	-18.457	0	0
1.43	0	0	2.8136	1.758	-18.348	0	0
1.44	0	0	2.8312	1.758	-18.239	0	0
1.45	0	0	2.8461	1.6701	-18.13	0	0
1.46	0	0	2.8685	1.6701	-18.021	0	0
1.47	0	0	2.8817	1.6701	-17.912	0	0
1.48	0	0	2.9014	1.6701	-17.803	0	0
1.49	0	0	2.9191	1.5822	-17.694	0	0
1.5	0	0	2.9296	1.5822	-17.585	0	0
1.51	0	0	2.9537	1.5822	-17.477	0	0
1.52	0	0	2.968	1.5822	-17.368	0	0
1.53	0	0	2.9808	1.4943	-17.259	0	0
1.54	0	0	3.002	1.4943	-17.15	0	0
1.55	0	0	3.0145	1.4943	-17.041	0	0
1.56	0	0	3.0338	1.4943	-16.932	0	0
1.57	0	0	3.0513	1.4943	-16.823	0	0
1.58	0	0	3.0616	1.4064	-16.714	0	0
1.59	0	0	3.0677	1.4064	-16.605	0	0
1.6	0	0	3.0893	1.4064	-16.496	0	0
1.61	0	0	3.1021	1.4064	-16.388	0	0
1.62	0	0	3.1179	1.4064	-16.279	0	0
1.63	0	0	3.137	1.3185	-16.17	0	0
1.64	0	0	3.1482	1.3185	-16.17	0	0
1.65	0	0	3.1699	1.3185	-16.061	0	0
1.66	0	0	3.1857	1.3185	-15.952	0	0
1.67	0	0	3.1994	1.3185	-15.843	0	0
1.68	0	0	3.221	1.3185	-15.734	0	0
1.69	0	0	3.2338	1.3185	-15.625	0	0
1.7	0	0	3.2533	1.2306	-15.516	0	0
1.71	0	0	3.2709	1.3185	-15.407	0	0
1.72	0	0	3.2857	1.2306	-15.407	0	0
1.73	0	0	3.308	1.3185	-15.299	0	0
1.74	0	0	3.3212	1.2306	-15.19	0	0
1.75	0	0	3.3373	1.2306	-15.081	0	0
1.76	0	0	3.3565	1.2306	-14.972	0	0
1.77	0	0	3.3678	1.2306	-14.972	0	0
1.78	0	0	3.3864	1.2306	-14.863	0	0
1.79	0	0	3.4035	1.3185	-14.754	0	0
1.8	0	0	3.4136	1.2306	-14.754	0	0
1.81	0	0	3.4239	1.3185	-14.645	0	0
1.82	0	0	3.4436	1.3185	-14.536	0	0
1.83	0	0	3.4553	1.3185	-14.427	0	0
1.84	0	0	3.4773	1.3185	-14.427	0	0
1.85	0	0	3.4931	1.3185	-14.318	0	0
1.86	0	0	3.5069	1.3185	-14.21	0	0
1.87	0	0	3.5286	1.3185	-14.21	0	0
1.88	0	0	3.5414	1.3185	-14.101	0	0
1.89	0	0	3.5609	1.3185	-13.992	0	0
1.9	0	0	3.5785	1.4064	-13.992	0	0
1.91	0	0	3.5933	1.4064	-13.883	0	0
1.92	0	0	3.6156	1.4064	-13.774	0	0
1.93	0	0	3.6288	1.4064	-13.774	0	0
1.94	0	0	3.6485	1.4064	-13.665	0	0
1.95	0	0	3.6663	1.4064	-13.665	0	0
1.96	0	0	3.6767	1.4064	-13.556	0	0
1.97	0	0	3.6948	1.4943	-13.447	0	0
1.98	0	0	3.7116	1.4943	-13.447	0	0
1.99	0	0	3.7259	1.4943	-13.338	0	0
2	0	0	3.7479	1.4943	-13.338	0	0
2.01	0	0	3.7609	1.5822	-13.229	0	0
2.02	0	0	3.7837	1.5822	-13.229	0	0
