t	u1	u2	lambda	p	e
0	0	0	3.1416	0	0
0.25	0	0	3.1416	0	0
0.5	0	0	3.1416	0	0
0.75	0	0	3.1416	0	0
1	0	0	3.1416	0	0
1.25	0	0	3.1416	0	0
1.5	0	0	3.1416	0	0
1.75	0	0	3.1416	0	0
2	0	0	3.1416	0	0
2.25	0	0	3.1416	0	0
2.5	0	0	3.1416	0	0
2.75	0	0	3.1416	0	0
3	0	0	3.1416	0	0
3.25	0	0	3.1416	0	0
3.5	0	0	3.1416	0	0
3.75	0	0	3.1416	0	0
4	0	0	3.1416	0	0
4.25	0	0	3.1416	0	0
4.5	0	0	3.1416	0	0
4.75	0	0	3.1416	0	0
5	0.23507	0.0021036	3.1416	0	0
5.25	0.059943	-0.0029548	3.1416	-3.1471e-12	5.6468e-11
5.5	0.5236	0.0014916	3.1416	0.5236	0.00031968
5.75	0.5236	0.00071489	3.1416	0.5236	3.4873e-05
6	0.43974	0.0026935	3.1335	0.5236	6.6662e-05
6.25	0.351	-0.0038985	3.1174	0.52359	0.00018633
6.5	0.29824	0.001135	3.0931	0.3368	0.000647
6.75	6.6509e-07	-0.00014736	3.0608	4.9579e-07	0.00026289
7	-4.252e-07	0.0006347	3.0233	-3.6976e-07	0.00013972
7.25	2.4017e-07	0.001745	2.9858	2.2786e-07	1.4109e-05
7.5	-6.9492e-08	-0.0024342	2.9483	-4.8296e-08	2.4801e-05
7.75	8.1098e-08	0.00076551	2.9108	4.9221e-08	0.00029334
8	-2.5789e-08	0.0012519	2.8733	-2.3238e-08	5.7594e-05
8.25	6.7986e-08	0.00028962	2.8358	6.5845e-08	8.246e-06
8.5	4.3325e-08	-0.0016463	2.7983	3.7071e-08	0.00016439
8.75	2.2093e-08	0.0027296	2.7608	4.889e-08	0.00028737
9	6.2364e-08	0.00045195	2.7233	5.9687e-08	7.5385e-05
9.25	-4.2532e-08	0.0034066	2.6858	-2.6204e-09	0.00033762
9.5	-1.3264e-08	0.0051097	2.6483	1.9707e-08	0.00052957
9.75	-1.3807e-07	0.010879	2.6108	-7.4e-08	0.0010946
10	-1.7302e-07	0.01917	2.5733	-1.2221e-07	0.0020809
10.25	-3.2421e-07	0.035949	2.5358	-2.5086e-07	0.0040744
10.5	-3.9235e-07	0.041632	2.4983	-3.2912e-07	0.0076955
10.75	-5.7744e-07	0.074878	2.4608	-4.7026e-07	0.0144
11	-5.1222e-07	0.098721	2.4233	-5.7291e-07	0.023001
11.25	-8.4127e-07	0.12725	2.3858	-7.8362e-07	0.03661
11.5	-5.5896e-07	0.15451	2.3483	-5.9358e-07	0.055108
11.75	-6.7945e-07	0.17522	2.3108	-7.6991e-07	0.078384
12	-7.0401e-07	0.18725	2.2733	-6.4791e-07	0.10545
12.25	-3.935e-07	0.18653	2.2358	-4.778e-07	0.13406
12.5	-5.6376e-07	0.17654	2.1983	-6.4693e-07	0.1612
12.75	-5.1344e-07	0.15699	2.1608	-4.1709e-07	0.18311
13	3.6804e-08	0.13385	2.1233	-2.9219e-07	0.1967
13.25	-7.8426e-07	0.10987	2.0858	-5.4113e-07	0.19971
13.5	8.4064e-07	0.088915	2.0483	2.5193e-07	0.1917
13.75	-8.8963e-07	0.072271	2.0108	-4.9612e-07	0.17394
14	1.6355e-06	0.058192	1.9733	1.0014e-06	0.1492
14.25	-5.7818e-07	0.048617	1.9358	-2.6222e-07	0.12103
14.5	1.8483e-06	0.039834	1.8983	1.4681e-06	0.092737
14.75	-1.1306e-07	0.032077	1.8608	3.1948e-07	0.067196
15	1.7044e-06	0.024786	1.8233	1.458e-06	0.046037
15.25	-3.1937e-07	0.018467	1.7858	2.0525e-07	0.02983
15.5	1.3015e-06	0.012454	1.7483	1.0769e-06	0.018275
15.75	-1.1054e-06	0.0091117	1.7108	-3.0949e-07	0.010612
16	1.3688e-06	0.0043109	1.6733	5.4906e-07	0.005791
16.25	-2.5462e-06	0.0057842	1.6358	-1.4382e-06	0.0030864
16.5	1.7746e-06	0.0039873	1.5983	8.9838e-07	0.001472
16.75	-3.1127e-06	-0.0057953	1.5608	-2.1626e-06	0.0010527
17	1.4909e-06	0.0033375	1.5233	5.7151e-07	0.0012195
17.25	-3.5063e-06	0.0011815	1.4858	-2.2411e-06	0.00026452
17.5	2.3575e-06	0.0061013	1.4483	5.2402e-07	9.5795e-05
17.75	-5.2207e-06	-0.0056764	1.4108	-2.9996e-06	0.00014847
18	4.1146e-06	2.2134e-05	1.3733	1.9822e-06	0.0010882
18.25	-5.6978e-06	0.002906	1.3358	-4.2364e-06	0.00068571
18.5	2.9223e-06	-0.0029523	1.2983	2.0982e-06	0.00031697
18.75	-4.1234e-06	0.0019744	1.2608	-2.773e-06	0.00046496
19	2.4308e-06	-0.00021505	1.2233	3.041e-07	4.416e-05
19.25	-5.1744e-06	0.0040033	1.1858	-3.4889e-06	5.7381e-05
19.5	3.3393e-06	-0.00086857	1.1483	2.215e-06	2.4782e-05
19.75	-4.9201e-06	-0.0044259	1.1108	-2.9941e-06	0.00060769
20	1.8416e-06	0.0035532	1.0733	8.3825e-07	0.00077137
20.25	-6.0116e-06	0.00038334	1.0358	-4.4291e-06	9.052e-05
20.5	4.2988e-06	0.00093532	0.99834	-8.5118e-07	0.0001635
20.75	-1.2155e-05	0.00015858	0.96084	-5.2885e-06	0.00024549
21	1.2592e-05	8.6061e-05	0.92334	7.3141e-06	0.0004049
21.25	-1.1891e-05	-0.00022623	0.88584	-1.1195e-05	0.00047359
21.5	6.7307e-08	-2.5966e-05	0.84834	5.282e-06	0.00046042
21.75	1.1504e-05	0.00019039	0.81084	-4.7054e-07	0.0003473
22	-3.5773e-05	0.0015733	0.77334	-1.0619e-05	0.00021528
22.25	4.2892e-05	-0.002205	0.73584	1.8641e-05	0.00012362
22.5	-7.1075e-05	0.0012987	0.69834	-4.4849e-05	0.0002829
22.75	5.4971e-05	-1.8939e-05	0.66084	2.5358e-05	1.0856e-05
23	-5.8726e-05	0.0014853	0.62334	-5.0962e-05	2.5478e-05
23.25	5.1863e-06	-0.0021417	0.58584	3.446e-05	2.8462e-05
23.5	-9.9429e-06	0.0013391	0.54834	-4.6156e-06	0.00025184
23.75	-0.01036	-0.00074285	0.51084	-5.9856e-05	3.679e-05
24	-0.018613	0.0003906	0.47334	-5.7636e-05	9.1552e-05
24.25	-0.043598	0.00018304	0.43585	-0.023001	1.2052e-06
24.5	-0.070975	0.0007285	0.39835	-0.058481	2.3828e-07
24.75	-0.099826	-0.0013701	0.36121	-0.095312	2.7374e-05
25	-0.11761	0.00088508	0.32497	-0.11375	0.00015198
25.25	-0.12488	0.00084948	0.29019	-0.1191	3.632e-06
25.5	-0.13176	0.00083205	0.25718	-0.12633	3.8829e-05
25.75	-0.13794	0.0024783	0.226	-0.13737	0.00018545
26	-0.14452	-0.0040034	0.19677	-0.14665	0.00038131
26.25	-0.14528	-0.00024945	0.16966	-0.14555	0.00083036
26.5	-0.14076	0.0056838	0.14481	-0.14107	0.00039472
26.75	-0.13816	-0.005732	0.12221	-0.14163	6.8316e-06
27	-0.13607	0.0028893	0.10178	-0.14079	0.00061133
27.25	-0.12892	-0.00083653	0.083534	-0.13327	4.9764e-05
27.5	-0.12211	0.0015445	0.067462	-0.12468	0.00010745
27.75	-0.11434	0.00013721	0.053446	-0.11717	2.3969e-06
28	-0.10652	-0.0019257	0.041353	-0.11336	0.00016681
28.25	-0.098765	0.0017445	0.031067	-0.10803	0.00027175
28.5	-0.087745	-0.00058666	0.02253	-0.09414	7.6784e-06
28.75	-0.079698	0.0025246	0.015659	-0.077047	9.583e-05
29	-0.070361	0.00032453	0.01024	-0.067162	5.0795e-05
29.25	-0.062866	-0.0043987	0.0060091	-0.075589	0.00039676
29.5	-0.054298	0.0026987	0.0028146	-0.080564	0.00061608
29.75	-0.045122	0	0.00078596	-0.050955	2.6388e-11
30	-0.045122	0	-1.1795e-15	-2.504e-14	2.0782e-11
30.25	0	0	0	0	0
30.5	0	0	0	0	0
30.75	0	0	0	0	0
31	0	0	0	0	0
31.25	0	0	0	0	0
31.5	0	0	0	0	0
31.75	0	0	0	0	0
32	0	0	0	0	0
32.25	0	0	0	0	0
32.5	0	0	0	0	0
32.75	0	0	0	0	0
33	0	0	0	0	0
33.25	0	0	0	0	0
33.5	0	0	0	0	0
33.75	0	0	0	0	0
34	0	0	0	0	0
34.25	0	0	0	0	0
34.5	0	0	0	0	0
34.75	0	0	0	0	0
35	0	0	0	0	0
