t	u1	u2	lambda	p	e
0	0	0	3.1416	0	0
0.25	0	0	3.1416	0	0
0.5	0	0	3.1416	0	0
0.75	0	0	3.1416	0	0
1	0	0	3.1416	0	0
1.25	0	0	3.1416	0	0
1.5	0	0	3.1416	0	0
1.75	0	0	3.1416	0	0
2	0	0	3.1416	0	0
2.25	0	0	3.1416	0	0
2.5	0	0	3.1416	0	0
2.75	0	0	3.1416	0	0
3	0	0	3.1416	0	0
3.25	0	0	3.1416	0	0
3.5	0	0	3.1416	0	0
3.75	0	0	3.1416	0	0
4	0	0	3.1416	0	0
4.25	0	0	3.1416	0	0
4.5	0	0	3.1416	0	0
4.75	0	0	3.1416	0	0
5	0.2533	0.099911	3.1416	0	0
5.25	0.06459	0.099953	3.1416	-2.9582e-31	-2.9582e-31
5.5	0.5642	0.10003	3.1416	0.5642	0.015183
5.75	0.5642	0.10019	3.1416	0.5642	0.038172
6	0.5642	0.10052	3.1329	0.5642	0.062876
6.25	0.5642	0.10114	3.1155	0.5642	0.084991
6.5	0.5642	0.10224	3.0894	0.5642	0.10207
6.75	0.5642	0.1041	3.0546	0.5642	0.1133
7	0.5642	0.10708	3.0111	0.5642	0.1191
7.25	0.5642	0.11168	2.9588	0.5642	0.12067
7.5	0.5642	0.11843	2.8979	0.5642	0.11966
7.75	0.5642	0.1278	2.8283	0.5642	0.11777
8	0.5642	0.13988	2.75	0.5642	0.11662
8.25	0.5642	0.15374	2.663	0.5642	0.11755
8.5	0.5642	0.16634	2.5672	0.5642	0.12156
8.75	0.5642	0.17042	2.4628	0.5642	0.12912
9	0.5642	0.15123	2.3497	0.5642	0.13981
9.25	0.5642	0.081169	2.2278	0.5642	0.15158
9.5	0.5642	0.10832	2.0973	0.5642	0.15936
9.75	0.057605	0.11767	1.9581	0.5642	0.15265
10	0.43502	0.11843	1.8101	0.5642	0.14146
10.25	-0.5642	0.11568	1.6535	-0.5642	0.13039
10.5	-0.5642	0.112	1.4881	-0.5642	0.1212
10.75	-0.5642	0.10856	1.3315	-0.5642	0.11425
11	-0.5642	0.10579	1.1835	-0.5642	0.10928
11.25	-0.5642	0.10373	1.0443	-0.5642	0.10586
11.5	-0.5642	0.1023	0.91376	-0.5642	0.10357
11.75	-0.5642	0.10136	0.79193	-0.5642	0.10208
12	-0.5642	0.10076	0.67879	-0.5642	0.10111
12.25	-0.5642	0.1004	0.57436	-0.5642	0.10051
12.5	-0.5642	0.10019	0.47864	-0.5642	0.10015
12.75	-0.5642	0.10008	0.39161	-0.5642	0.099943
13	-0.5642	0.10002	0.31329	-0.5642	0.099845
13.25	-0.5642	0.099995	0.24367	-0.5642	0.099815
13.5	-0.5642	0.099987	0.18275	-0.5642	0.099826
13.75	-0.5642	0.099988	0.13054	-0.5642	0.099859
14	-0.5642	-0.30487	0.087025	-0.5642	0.099901
14.25	-0.5642	0.099994	0.052215	-0.5642	0.099941
14.5	-0.3109	0.099993	0.026107	-0.5642	0.038451
14.75	-0.49961	0.030097	0.0087025	-0.5642	0.0068708
15	-0.49961	0.030097	1.4585e-21	-2.2514e-20	-5.0109e-20
15.25	0	0	0	0	0
15.5	0	0	0	0	0
15.75	0	0	0	0	0
16	0	0	0	0	0
16.25	0	0	0	0	0
16.5	0	0	0	0	0
16.75	0	0	0	0	0
17	0	0	0	0	0
17.25	0	0	0	0	0
17.5	0	0	0	0	0
17.75	0	0	0	0	0
18	0	0	0	0	0
18.25	0	0	0	0	0
18.5	0	0	0	0	0
18.75	0	0	0	0	0
19	0	0	0	0	0
19.25	0	0	0	0	0
19.5	0	0	0	0	0
19.75	0	0	0	0	0
20	0	0	0	0	0
