t	u1	u2	lambda	p	e
0	0	0	3.1416	0	0
0.25	0	0	3.1416	0	0
0.5	0	0	3.1416	0	0
0.75	0	0	3.1416	0	0
1	0	0	3.1416	0	0
1.25	0	0	3.1416	0	0
1.5	0	0	3.1416	0	0
1.75	0	0	3.1416	0	0
2	0	0	3.1416	0	0
2.25	0	0	3.1416	0	0
2.5	0	0	3.1416	0	0
2.75	0	0	3.1416	0	0
3	0	0	3.1416	0	0
3.25	0	0	3.1416	0	0
3.5	0	0	3.1416	0	0
3.75	0	0	3.1416	0	0
4	0	0	3.1416	0	0
4.25	0	0	3.1416	0	0
4.5	0	0	3.1416	0	0
4.75	0	0	3.1416	0	0
5	0.23507	0.0040215	3.1416	0	0
5.25	0.059942	0.0035604	3.1416	-6.1296e-10	3.4687e-11
5.5	0.52359	0.0059245	3.1416	0.5236	0.00061113
5.75	0.5236	0.0017362	3.1416	0.5236	0.0014661
6	0.52359	0.00010798	3.1335	0.52359	0.0027128
6.25	0.52359	-0.0030426	3.1174	0.52359	0.0033943
6.5	0.52359	-0.0040385	3.0931	0.52359	0.0033485
6.75	0.52359	0.0068476	3.0608	0.52359	0.0023468
7	0.52359	-0.00058642	3.0204	0.52359	0.00070963
7.25	0.52359	0.00010699	2.972	0.52359	0.00055255
7.5	0.52359	0.00073998	2.9155	0.52359	0.0002749
7.75	0.52358	0.052753	2.8509	0.52359	6.4699e-05
8	0.52358	0.10062	2.7782	0.52358	2.8028e-05
8.25	0.52357	0.14845	2.6974	0.52358	0.0080176
8.5	0.52357	0.1868	2.6086	0.52357	0.027411
8.75	0.52355	0.20846	2.5117	0.52356	0.058719
9	0.52346	0.18001	2.4067	0.52355	0.099029
9.25	0.46991	0.10871	2.2936	0.52352	0.1425
9.5	0.38592	0.001353	2.1725	0.52332	0.17714
9.75	0.27823	0.0085347	2.0432	0.40397	0.18983
10	0.048851	0.024486	1.9059	0.12835	0.16967
10.25	-0.11734	0.013347	1.7624	-0.081432	0.13181
10.5	-0.24319	0.043243	1.6169	-0.20501	0.090243
10.75	-0.30497	0.035101	1.4727	-0.25348	0.05086
11	-0.36612	0.036295	1.3316	-0.32617	0.023483
11.25	-0.44105	0.025974	1.1944	-0.42232	0.0070261
11.5	-0.49324	0.0049683	1.0623	-0.4868	0.00052374
11.75	-0.5136	0.007445	0.93668	-0.51208	6.6335e-05
12	-0.52035	0.0012039	0.81856	-0.52	0.00050863
12.25	-0.52133	-0.0017024	0.70834	-0.52136	0.0018576
12.5	-0.52092	-0.0026674	0.60615	-0.5218	0.0026562
12.75	-0.51631	0.012011	0.51199	-0.52163	0.0025254
13	-0.50979	0.0057761	0.42588	-0.51972	0.0016492
13.25	-0.49351	0.0042318	0.34782	-0.50836	0.0026405
13.5	-0.47193	0.003667	0.27778	-0.48913	0.003777
13.75	-0.44534	0.0045963	0.21557	-0.46097	0.0046026
14	-0.41652	0.0045886	0.16091	-0.42982	0.00501
14.25	-0.38509	0.0042181	0.11337	-0.40295	0.0052183
14.5	-0.359	0.0020271	0.072446	-0.38019	0.0052613
14.75	-0.32589	0.0010925	0.037742	-0.34621	0.0051314
15	-0.29778	0.0043902	0.0089028	-0.30767	0.0045732
15.25	-0.2593	0.002183	-0.014597	-0.27223	0.0036726
15.5	-0.24487	0.002628	-0.03335	-0.25924	0.0031822
15.75	-0.21652	0.0035727	-0.047905	-0.23375	0.0027039
16	-0.19303	0.0032801	-0.058461	-0.20825	0.002374
16.25	-0.16136	0.0017199	-0.065411	-0.17638	0.0023365
16.5	-0.13242	0.0019167	-0.06915	-0.15061	0.002455
16.75	-0.10817	0.0050051	-0.070167	-0.12373	0.0024221
17	-0.08219	0.0068467	-0.068862	-0.09006	0.0023234
17.25	-0.055368	0.0058174	-0.065648	-0.063968	0.0026652
17.5	-0.040929	0.0039516	-0.061045	-0.05309	0.0035282
17.75	-0.028432	0.0020817	-0.055455	-0.03671	0.0044506
18	-0.010405	0.0012052	-0.049046	-0.013799	0.0049887
18.25	0.0040821	-0.001414	-0.042071	-0.001204	0.0049052
18.5	0.014205	-0.00098897	-0.034884	0.0031448	0.0042873
18.75	0.043896	-0.0022176	-0.027677	0.01381	0.0030096
19	0.075099	0.010014	-0.020519	0.035726	0.0015514
19.25	0.095967	-0.0049571	-0.013575	0.09715	7.9612e-06
19.5	0.10026	0.0021953	-0.0071809	0.16919	0.00050116
19.75	0.13122	0	-0.0022856	0.14818	1.3471e-11
20	0.13122	0	-2.1409e-17	-3.0844e-15	1.0544e-11
20.25	0	0	0	0	0
20.5	0	0	0	0	0
20.75	0	0	0	0	0
21	0	0	0	0	0
21.25	0	0	0	0	0
21.5	0	0	0	0	0
21.75	0	0	0	0	0
22	0	0	0	0	0
22.25	0	0	0	0	0
22.5	0	0	0	0	0
22.75	0	0	0	0	0
23	0	0	0	0	0
23.25	0	0	0	0	0
23.5	0	0	0	0	0
23.75	0	0	0	0	0
24	0	0	0	0	0
24.25	0	0	0	0	0
24.5	0	0	0	0	0
24.75	0	0	0	0	0
25	0	0	0	0	0
