t	u1	u2	lambda	p	e
0	0	0	3.1416	0	0
0.25	0	0	3.1416	0	0
0.5	0	0	3.1416	0	0
0.75	0	0	3.1416	0	0
1	0	0	3.1416	0	0
1.25	0	0	3.1416	0	0
1.5	0	0	3.1416	0	0
1.75	0	0	3.1416	0	0
2	0	0	3.1416	0	0
2.25	0	0	3.1416	0	0
2.5	0	0	3.1416	0	0
2.75	0	0	3.1416	0	0
3	0	0	3.1416	0	0
3.25	0	0	3.1416	0	0
3.5	0	0	3.1416	0	0
3.75	0	0	3.1416	0	0
4	0	0	3.1416	0	0
4.25	0	0	3.1416	0	0
4.5	0	0	3.1416	0	0
4.75	0	0	3.1416	0	0
5	0.22656	0.23243	3.1416	0	0
5.25	0.058565	0.039402	3.1416	-3.7886e-13	2.1174e-07
5.5	0.50032	0.096837	2.0414	0.50464	0.030001
5.75	0.5016	0.10823	2.0413	0.50641	0.046078
6	0.49361	0.11628	2.0336	0.49633	0.059172
6.25	0.48525	0.12278	2.018	0.48818	0.070022
6.5	0.4794	0.12808	1.9947	0.4842	0.078952
6.75	0.47193	0.13239	1.9639	0.47869	0.086235
7	0.46056	0.13594	1.9257	0.4694	0.09212
7.25	0.44475	0.13889	1.88	0.45673	0.096834
7.5	0.42319	0.14134	1.8272	0.44028	0.10059
7.75	0.39291	0.14331	1.7673	0.41779	0.10359
8	0.35024	0.14485	1.7005	0.38547	0.106
8.25	0.2928	0.14601	1.6274	0.3383	0.10796
8.5	0.22081	0.14686	1.5483	0.27186	0.10954
8.75	0.13794	0.14746	1.464	0.18746	0.11081
9	0.052237	0.14783	1.3755	0.095274	0.11182
9.25	-0.02676	0.14799	1.2841	0.0084859	0.11258
9.5	-0.093386	0.14792	1.1912	-0.065243	0.11312
9.75	-0.14704	0.14764	1.0982	-0.12495	0.11346
10	-0.18946	0.14712	1.0062	-0.17241	0.1136
10.25	-0.2225	0.14635	0.91613	-0.20952	0.11354
10.5	-0.24785	0.14528	0.82872	-0.23803	0.11329
10.75	-0.26705	0.14388	0.74455	-0.25968	0.11282
11	-0.28149	0.14208	0.66404	-0.27603	0.11212
11.25	-0.29227	0.13979	0.58754	-0.28828	0.11116
11.5	-0.3002	0.13691	0.5153	-0.29733	0.10989
11.75	-0.30584	0.13329	0.4475	-0.30391	0.10827
12	-0.30961	0.12873	0.38429	-0.30862	0.10623
12.25	-0.31197	0.12296	0.32577	-0.31172	0.10365
12.5	-0.31349	0.11563	0.272	-0.31314	0.10043
12.75	-0.31437	0.10629	0.22305	-0.31333	0.096387
13	-0.31368	0.094385	0.17893	-0.31406	0.091297
13.25	-0.31072	0.079382	0.13963	-0.31617	0.084865
13.5	-0.30906	0.060957	0.10519	-0.31478	0.076708
13.75	-0.31464	0.039604	0.075618	-0.30297	0.066362
14	-0.31998	0.018675	0.050903	-0.29326	0.053332
14.25	-0.29914	0.01492	0.030861	-0.32172	0.03725
14.5	-0.22736	0.11562	0.015343	-0.37398	0.018399
14.75	-0.27484	0	0.0047873	-0.31037	1.9583e-07
15	-0.27484	0	-7.873e-22	-1.8765e-18	3.475e-07
15.25	0	0	0	0	0
15.5	0	0	0	0	0
15.75	0	0	0	0	0
16	0	0	0	0	0
16.25	0	0	0	0	0
16.5	0	0	0	0	0
16.75	0	0	0	0	0
17	0	0	0	0	0
17.25	0	0	0	0	0
17.5	0	0	0	0	0
17.75	0	0	0	0	0
18	0	0	0	0	0
18.25	0	0	0	0	0
18.5	0	0	0	0	0
18.75	0	0	0	0	0
19	0	0	0	0	0
19.25	0	0	0	0	0
19.5	0	0	0	0	0
19.75	0	0	0	0	0
20	0	0	0	0	0
