t	u1	u2	lambda	p	e
0	0	0	3.1416	0	0
0.25	0	0	3.1416	0	0
0.5	0	0	3.1416	0	0
0.75	0	0	3.1416	0	0
1	0	0	3.1416	0	0
1.25	0	0	3.1416	0	0
1.5	0	0	3.1416	0	0
1.75	0	0	3.1416	0	0
2	0	0	3.1416	0	0
2.25	0	0	3.1416	0	0
2.5	0	0	3.1416	0	0
2.75	0	0	3.1416	0	0
3	0	0	3.1416	0	0
3.25	0	0	3.1416	0	0
3.5	0	0	3.1416	0	0
3.75	0	0	3.1416	0	0
4	0	0	3.1416	0	0
4.25	0	0	3.1416	0	0
4.5	0	0	3.1416	0	0
4.75	0	0	3.1416	0	0
5	0.23507	0.0010221	3.1416	0	0
5.25	0.059943	0.00070521	3.1416	-1.2763e-09	5.9688e-11
5.5	0.5236	0.00054235	3.1416	0.5236	0.00015533
5.75	0.5236	0.00038386	3.1416	0.5236	0.00034229
6	0.5236	0.00021254	3.1335	0.5236	0.00049715
6.25	0.5236	2.5194e-05	3.1174	0.5236	0.00058302
6.5	0.5236	-0.00013825	3.0931	0.5236	0.00058388
6.75	0.5236	-0.00019947	3.0608	0.5236	0.00049955
7	0.5236	-4.324e-05	3.0204	0.5236	0.00034648
7.25	0.5236	0.000666	2.972	0.5236	0.00016162
7.5	0.5236	0.011746	2.9155	0.5236	7.4583e-06
7.75	0.5236	0.051203	2.8508	0.5236	5.0074e-06
8	0.5236	0.098838	2.7782	0.5236	0.0017879
8.25	0.5236	0.14784	2.6974	0.5236	0.010485
8.5	0.5236	0.18769	2.6086	0.5236	0.029701
8.75	0.5236	0.20473	2.5116	0.5236	0.060447
9	0.47495	0.18358	2.4066	0.5236	0.10025
9.25	0.37934	0.1099	2.2936	0.52359	0.14263
9.5	0.32705	0.0008287	2.1724	0.41523	0.17707
9.75	0.10763	0.007835	2.0432	0.12154	0.18979
10	-0.0022747	0.016585	1.9076	2.2862e-05	0.16955
10.25	-0.065383	0.025933	1.7701	2.9199e-05	0.13151
10.5	-0.097695	0.034064	1.6326	-0.0050899	0.08871
10.75	-0.20738	0.038502	1.4951	-0.14948	0.050677
11	-0.33838	0.03638	1.3577	-0.31894	0.022834
11.25	-0.4169	0.024901	1.2226	-0.40469	0.0066794
11.5	-0.44577	0.0021479	1.0924	-0.42612	0.00043889
11.75	-0.46563	0.00082897	0.9684	-0.44786	2.1991e-06
12	-0.49243	0.00060903	0.85102	-0.48609	3.784e-05
12.25	-0.5134	0.00053694	0.74055	-0.51592	0.00018208
12.5	-0.51713	0.00050835	0.63758	-0.52244	0.00034321
12.75	-0.50898	0.00051144	0.54256	-0.51517	0.00047999
13	-0.49658	0.00051448	0.4556	-0.50518	0.00057536
13.25	-0.48208	0.00052721	0.37658	-0.49395	0.00062912
13.5	-0.46357	0.0005499	0.30536	-0.47766	0.00064748
13.75	-0.44042	0.00056103	0.24176	-0.45537	0.00064143
14	-0.41429	0.00057399	0.18553	-0.42968	0.00062348
14.25	-0.38703	0.00057458	0.13631	-0.40294	0.00060205
14.5	-0.3592	0.00057138	0.093731	-0.37548	0.00058352
14.75	-0.33074	0.00057027	0.057363	-0.34705	0.00056982
15	-0.30186	0.00056411	0.026786	-0.31805	0.00056094
15.25	-0.27313	0.00055643	0.0015629	-0.28912	0.00055645
15.5	-0.24496	0.00055522	-0.018755	-0.26045	0.00055462
15.75	-0.21757	0.00055767	-0.034613	-0.23214	0.00055368
16	-0.19097	0.00056839	-0.046454	-0.20485	0.00055329
16.25	-0.16524	0.00057981	-0.054715	-0.17937	0.00055369
16.5	-0.14048	0.00060519	-0.059815	-0.15495	0.00055619
16.75	-0.11672	0.00063034	-0.062149	-0.1297	0.00056145
17	-0.093916	0.00065171	-0.062093	-0.10391	0.00057159
17.25	-0.07205	0.00066218	-0.060036	-0.081558	0.00058727
17.5	-0.050995	0.00064348	-0.056377	-0.065007	0.0006075
17.75	-0.030689	0.00059415	-0.05146	-0.048049	0.00062928
18	-0.011039	0.00047869	-0.04554	-0.021162	0.00064593
18.25	0.0080589	0.00032829	-0.038878	0.010649	0.00064915
18.5	0.026743	0.00014042	-0.031891	0.025086	0.00062539
18.75	0.045102	-4.8776e-05	-0.025067	0.015635	0.00056442
19	0.063222	-0.00015832	-0.018631	0.021736	0.0004594
19.25	0.081205	-5.4657e-05	-0.012436	0.085817	0.00031227
19.5	0.09913	0.00062558	-0.0065757	0.16188	0.00014281
19.75	0.11708	0	-0.0020393	0.13221	2.1363e-12
20	0.11708	0	5.4855e-18	-3.8619e-16	1.6743e-12
20.25	0	0	0	0	0
20.5	0	0	0	0	0
20.75	0	0	0	0	0
21	0	0	0	0	0
21.25	0	0	0	0	0
21.5	0	0	0	0	0
21.75	0	0	0	0	0
22	0	0	0	0	0
22.25	0	0	0	0	0
22.5	0	0	0	0	0
22.75	0	0	0	0	0
23	0	0	0	0	0
23.25	0	0	0	0	0
23.5	0	0	0	0	0
23.75	0	0	0	0	0
24	0	0	0	0	0
24.25	0	0	0	0	0
24.5	0	0	0	0	0
24.75	0	0	0	0	0
25	0	0	0	0	0
