t	u1	u2	lambda	p	e
0	0	0	3.1416	0	0
0.25	0	0	3.1416	0	0
0.5	0	0	3.1416	0	0
0.75	0	0	3.1416	0	0
1	0	0	3.1416	0	0
1.25	0	0	3.1416	0	0
1.5	0	0	3.1416	0	0
1.75	0	0	3.1416	0	0
2	0	0	3.1416	0	0
2.25	0	0	3.1416	0	0
2.5	0	0	3.1416	0	0
2.75	0	0	3.1416	0	0
3	0	0	3.1416	0	0
3.25	0	0	3.1416	0	0
3.5	0	0	3.1416	0	0
3.75	0	0	3.1416	0	0
4	0	0	3.1416	0	0
4.25	0	0	3.1416	0	0
4.5	0	0	3.1416	0	0
4.75	0	0	3.1416	0	0
5	0.22866	0.40978	3.1416	0	0
5.25	0.057987	-0.033229	3.1416	-5.9553e-12	8.7667e-07
5.5	0.50123	0.07544	2.0541	0.50528	0.030005
5.75	0.50264	0.095436	2.0541	0.50709	0.04704
6	0.49527	0.10655	2.0466	0.4977	0.06066
6.25	0.48764	0.11494	2.0318	0.4902	0.071958
6.5	0.48252	0.12178	2.0096	0.48671	0.081319
6.75	0.4761	0.12748	1.9802	0.48193	0.088996
7	0.46637	0.13232	1.9437	0.47386	0.095211
7.25	0.45304	0.13644	1.9	0.46299	0.10017
7.5	0.43523	0.13992	1.8495	0.44915	0.10409
7.75	0.41058	0.14274	1.7921	0.43061	0.10715
8	0.37565	0.14493	1.7281	0.40449	0.10954
8.25	0.32725	0.14656	1.6578	0.36676	0.11141
8.5	0.26402	0.14774	1.5816	0.31247	0.11287
8.75	0.1873	0.14856	1.4999	0.23873	0.11401
9	0.10225	0.14908	1.4137	0.15011	0.11488
9.25	0.017854	0.14934	1.324	0.05862	0.11553
9.5	-0.057521	0.14935	1.232	-0.024252	0.11598
9.75	-0.12023	0.14911	1.1392	-0.093615	0.11625
10	-0.17074	0.1486	1.0468	-0.14979	0.11636
10.25	-0.21084	0.14777	0.95575	-0.19456	0.1163
10.5	-0.24224	0.14657	0.86688	-0.22967	0.11606
10.75	-0.26657	0.14491	0.78088	-0.25686	0.11564
11	-0.28536	0.14265	0.69824	-0.27784	0.11499
11.25	-0.29992	0.13964	0.61939	-0.29406	0.11407
11.5	-0.31124	0.13564	0.54461	-0.30664	0.11283
11.75	-0.32004	0.13039	0.47415	-0.31644	0.11118
12	-0.32683	0.12354	0.4082	-0.32417	0.109
12.25	-0.33213	0.11474	0.3469	-0.33019	0.10614
12.5	-0.33653	0.10366	0.29036	-0.33458	0.10239
12.75	-0.34028	0.090143	0.23867	-0.33777	0.097496
13	-0.34261	0.074338	0.19189	-0.34127	0.09117
13.25	-0.34279	0.057	0.15008	-0.34594	0.083078
13.5	-0.3441	0.039951	0.11328	-0.34772	0.072905
13.75	-0.35258	0.027137	0.08156	-0.34032	0.060436
14	-0.36124	0.027354	0.05495	-0.33417	0.045697
14.25	-0.34302	0.060494	0.03334	-0.36281	0.029232
14.5	-0.24675	0.16589	0.016639	-0.41547	0.012669
14.75	-0.31801	0	0.0052678	-0.35858	1.0303e-06
15	-0.31801	0	9.9952e-23	-2.9936e-18	1.4004e-06
15.25	0	0	0	0	0
15.5	0	0	0	0	0
15.75	0	0	0	0	0
16	0	0	0	0	0
16.25	0	0	0	0	0
16.5	0	0	0	0	0
16.75	0	0	0	0	0
17	0	0	0	0	0
17.25	0	0	0	0	0
17.5	0	0	0	0	0
17.75	0	0	0	0	0
18	0	0	0	0	0
18.25	0	0	0	0	0
18.5	0	0	0	0	0
18.75	0	0	0	0	0
19	0	0	0	0	0
19.25	0	0	0	0	0
19.5	0	0	0	0	0
19.75	0	0	0	0	0
20	0	0	0	0	0
