t	u1	u2	lambda	p	e
0	0	0	3.1416	0	0
0.25	0	0	3.1416	0	0
0.5	0	0	3.1416	0	0
0.75	0	0	3.1416	0	0
1	0	0	3.1416	0	0
1.25	0	0	3.1416	0	0
1.5	0	0	3.1416	0	0
1.75	0	0	3.1416	0	0
2	0	0	3.1416	0	0
2.25	0	0	3.1416	0	0
2.5	0	0	3.1416	0	0
2.75	0	0	3.1416	0	0
3	0	0	3.1416	0	0
3.25	0	0	3.1416	0	0
3.5	0	0	3.1416	0	0
3.75	0	0	3.1416	0	0
4	0	0	3.1416	0	0
4.25	0	0	3.1416	0	0
4.5	0	0	3.1416	0	0
4.75	0	0	3.1416	0	0
5	0.23506	0.011652	3.1416	0	0
5.25	0.059942	0.023338	3.1416	-1.5983e-09	4.5963e-11
5.5	0.52358	-0.016007	3.1416	0.52358	0.0017707
5.75	0.52358	-0.028234	3.1416	0.52358	0.0062269
6	0.52358	0.021989	3.1335	0.52358	0.0058146
6.25	0.52357	0.028803	3.1174	0.52357	0.00036582
6.5	0.52357	-0.013373	3.0931	0.52357	2.471e-05
6.75	0.52356	0.019296	3.0608	0.52357	0.0041709
7	0.52356	0.023258	3.0205	0.52356	0.0042648
7.25	0.52355	0.026397	2.972	0.52355	0.0066116
7.5	0.52354	0.016967	2.9155	0.52355	0.010704
7.75	0.52352	0.13671	2.8509	0.52353	0.015813
8	0.5235	0.033676	2.7782	0.52352	0.01939
8.25	0.52347	0.23737	2.6974	0.5235	0.0396
8.5	0.52342	0.13461	2.6086	0.52346	0.052156
8.75	0.52328	0.16739	2.5117	0.5234	0.088664
9	0.52002	0.21837	2.4067	0.52333	0.11996
9.25	0.42694	0.13084	2.2936	0.52308	0.148
9.5	0.34072	-0.093362	2.1725	0.51577	0.17739
9.75	0.25981	0.081641	2.0433	0.3035	0.1899
10	-0.067142	-0.03122	1.9061	-0.032284	0.15523
10.25	-0.17523	0.074996	1.7643	-0.043972	0.121
10.5	-0.15719	-0.017248	1.623	-0.11864	0.075015
10.75	-0.39721	0.049433	1.4823	-0.39197	0.044387
11	-0.42679	0.10146	1.3435	-0.40815	0.014627
11.25	-0.44	0.009727	1.2107	-0.41568	0.0001054
11.5	-0.46642	-0.017137	1.0843	-0.45529	0.0058439
11.75	-0.49814	-0.029536	0.96419	-0.49935	0.010257
12	-0.50895	0.048393	0.85114	-0.51291	0.0090339
12.25	-0.50678	0.0029713	0.74579	-0.50676	0.0023594
12.5	-0.49932	0.011609	0.64836	-0.4995	0.0049121
12.75	-0.48624	0.024486	0.55874	-0.5014	0.0063163
13	-0.48203	0.0020042	0.47682	-0.5005	0.0080553
13.25	-0.43392	-0.0056137	0.40264	-0.46696	0.01171
13.5	-0.40945	-0.019041	0.33618	-0.43438	0.012668
13.75	-0.38353	0.014587	0.27692	-0.36909	0.010527
14	-0.34909	0.03459	0.22437	-0.33021	0.0046088
14.25	-0.31326	-0.015384	0.1775	-0.37229	0.0021855
14.5	-0.38096	-0.0035221	0.13573	-0.40362	0.0054967
14.75	-0.3441	0.045484	0.0997	-0.26413	0.0045277
15	-0.20085	0.0094263	0.069896	-0.24922	0.0026593
15.25	-0.3093	0.0075934	0.044166	-0.43114	0.0079234
15.5	-0.28233	0.0033838	0.022281	-0.277	0.011656
15.75	-0.11688	0.018209	0.0070453	-0.044904	0.013523
16	-0.093435	0.0081633	-0.0039174	-0.11594	0.013225
16.25	-0.18333	0.0018994	-0.014187	-0.25816	0.013785
16.5	-0.17852	0.0029487	-0.022669	-0.17176	0.013303
16.75	-0.051961	0.025687	-0.027169	-0.027108	0.011249
17	-0.047545	0.012518	-0.029019	-0.07906	0.0086203
17.25	-0.08548	0.00049499	-0.030452	-0.12117	0.0094642
17.5	-0.070004	0.0038729	-0.030664	-0.040235	0.01049
17.75	-0.001292	0.014687	-0.029008	0.018625	0.009654
18	-0.018968	0.015566	-0.026731	-0.062694	0.008219
18.25	-0.046077	-0.0044647	-0.024742	-0.086321	0.0082467
18.5	-0.04051	0.0040914	-0.021786	0.017098	0.0093774
18.75	0.059416	0.00076912	-0.017498	0.080368	0.0080265
19	0.052697	-0.001602	-0.013473	-0.064085	0.0065293
19.25	-0.070291	-0.0041021	-0.010689	-0.073917	0.0046573
19.5	0.12369	0.010775	-0.0069156	0.18871	0.0024599
19.75	0.11496	0	-0.0020024	0.12982	1.3301e-11
20	0.11496	0	-2.8506e-17	1.0143e-13	1.0391e-11
20.25	0	0	0	0	0
20.5	0	0	0	0	0
20.75	0	0	0	0	0
21	0	0	0	0	0
21.25	0	0	0	0	0
21.5	0	0	0	0	0
21.75	0	0	0	0	0
22	0	0	0	0	0
22.25	0	0	0	0	0
22.5	0	0	0	0	0
22.75	0	0	0	0	0
23	0	0	0	0	0
23.25	0	0	0	0	0
23.5	0	0	0	0	0
23.75	0	0	0	0	0
24	0	0	0	0	0
24.25	0	0	0	0	0
24.5	0	0	0	0	0
24.75	0	0	0	0	0
25	0	0	0	0	0
