t	u1	u2	lambda	p	e
0	0	0	3.1416	0	0
0.25	0	0	3.1416	0	0
0.5	0	0	3.1416	0	0
0.75	0	0	3.1416	0	0
1	0	0	3.1416	0	0
1.25	0	0	3.1416	0	0
1.5	0	0	3.1416	0	0
1.75	0	0	3.1416	0	0
2	0	0	3.1416	0	0
2.25	0	0	3.1416	0	0
2.5	0	0	3.1416	0	0
2.75	0	0	3.1416	0	0
3	0	0	3.1416	0	0
3.25	0	0	3.1416	0	0
3.5	0	0	3.1416	0	0
3.75	0	0	3.1416	0	0
4	0	0	3.1416	0	0
4.25	0	0	3.1416	0	0
4.5	0	0	3.1416	0	0
4.75	0	0	3.1416	0	0
5	0.23506	0.0014686	3.1416	0	0
5.25	0.059947	0.00015344	3.1416	4.4233e-09	5.385e-11
5.5	0.52359	-0.00076509	3.1416	0.52358	0.00022317
5.75	0.5236	0.0046059	3.1416	0.5236	0.00036113
6	0.5236	-0.0075757	3.1335	0.5236	0.00028182
6.25	0.5236	0.0066651	3.1174	0.5236	0.00088614
6.5	0.5236	-0.0032179	3.0931	0.5236	2.5078e-06
6.75	0.5236	0.0017297	3.0608	0.5236	0.00042678
7	0.5236	0.02055	3.0205	0.5236	0.00015535
7.25	0.5236	0.0007127	2.972	0.5236	0.00021395
7.5	0.5236	0.041061	2.9155	0.5236	0.0033435
7.75	0.5236	0.085734	2.8508	0.5236	0.0050271
8	0.52359	0.094051	2.7782	0.52359	0.011624
8.25	0.52358	0.12618	2.6974	0.5236	0.027278
8.5	0.50682	0.15749	2.6086	0.52359	0.047846
8.75	0.48862	0.21152	2.5116	0.52357	0.073443
9	0.43205	0.22539	2.4067	0.4862	0.10326
9.25	0.35988	0.1065	2.2936	0.4179	0.13955
9.5	0.25184	0.0085638	2.173	0.31468	0.17676
9.75	0.15802	0.038904	2.046	0.21179	0.19086
10	0.043038	0.045564	1.9141	0.098039	0.17254
10.25	-0.045194	0.033486	1.779	0.0072758	0.14004
10.5	-0.1394	0.039985	1.6424	-0.092091	0.10404
10.75	-0.22229	0.046973	1.5056	-0.18362	0.06936
11	-0.29872	0.019405	1.3703	-0.26567	0.041808
11.25	-0.35691	0.018192	1.2378	-0.33087	0.024252
11.5	-0.41036	0.01936	1.1094	-0.38786	0.011828
11.75	-0.44421	0.0036793	0.98606	-0.43132	0.004525
12	-0.47704	0.0047927	0.86874	-0.47038	0.0019179
12.25	-0.49229	0.0020977	0.75807	-0.48912	0.00045015
12.5	-0.50001	0.002407	0.65466	-0.49918	0.00013302
12.75	-0.50193	0.0027396	0.5588	-0.50368	0.00022049
13	-0.49885	-0.0025671	0.47063	-0.50439	0.00061103
13.25	-0.49015	0.00021718	0.39023	-0.50031	0.0011945
13.5	-0.47888	0.005663	0.31761	-0.48901	0.0010113
13.75	-0.45906	-0.00078207	0.25271	-0.46926	0.00076863
14	-0.43187	-0.0051962	0.19535	-0.45171	0.0013509
14.25	-0.41492	0.010546	0.14523	-0.43348	0.0014144
14.5	-0.38533	-0.0027987	0.10208	-0.39394	0.00045202
14.75	-0.33997	-0.0029982	0.065609	-0.36269	0.0013454
15	-0.32604	0.0060416	0.035217	-0.3515	0.0013104
15.25	-0.28001	0.0028178	0.010421	-0.30374	0.00063228
15.5	-0.24176	-0.0019611	-0.0089544	-0.25922	0.0010029
15.75	-0.20536	0.0024942	-0.023644	-0.21772	0.0015255
16	-0.18139	-0.0023673	-0.034336	-0.18942	0.0013435
16.25	-0.15953	0.0050201	-0.04167	-0.16911	0.0013972
16.5	-0.14228	0.00034817	-0.046081	-0.1564	0.00086087
16.75	-0.12034	0.0022988	-0.047885	-0.1383	0.0011359
17	-0.085477	0.00063186	-0.047276	-0.11146	0.0011993
17.25	-0.053337	-0.0039228	-0.044533	-0.078305	0.0014086
17.5	-0.020881	0.0094417	-0.040072	-0.028885	0.0014299
17.75	0.023851	-0.0045489	-0.034402	0.014125	0.00063062
18	0.028077	0.0083148	-0.028287	0.020986	0.0014376
18.25	0.044851	-0.0008035	-0.02239	0.0409	0.001065
18.5	0.051548	-0.0088957	-0.016817	0.051615	0.0019187
18.75	0.05914	0.0040275	-0.011874	0.057684	0.0020733
19	0.054859	0.0053565	-0.0077281	0.055987	0.00050932
19.25	0.05166	-0.0047616	-0.0044715	0.059662	2.8619e-06
19.5	0.036643	0.0020995	-0.0020785	0.056213	0.00047929
19.75	0.034773	0	-0.0006057	0.039269	1.058e-12
20	0.034773	0	6.7162e-12	-1.1187e-12	8.4206e-13
20.25	0	0	0	0	0
20.5	0	0	0	0	0
20.75	0	0	0	0	0
21	0	0	0	0	0
21.25	0	0	0	0	0
21.5	0	0	0	0	0
21.75	0	0	0	0	0
22	0	0	0	0	0
22.25	0	0	0	0	0
22.5	0	0	0	0	0
22.75	0	0	0	0	0
23	0	0	0	0	0
23.25	0	0	0	0	0
23.5	0	0	0	0	0
23.75	0	0	0	0	0
24	0	0	0	0	0
24.25	0	0	0	0	0
24.5	0	0	0	0	0
24.75	0	0	0	0	0
25	0	0	0	0	0
